"time","outChar","outDateAndTime2"
0,0,0
0.1,0,0
0.2,4,600
0.3,6,1500
0.4,8,2800
0.5,10,4500
0.6,12,6600
0.7,14,9100
0.8,16,12000
0.9,18,15300
1,20,19000
1.1,22,23100
1.2,24,27600
1.3,26,32500
1.4,28,37800
1.5,30,43500
1.6,32,49600
1.7,34,56100
1.8,36,63000
1.9,38,70300
2,40,78000
2.1,42,86100
2.2,44,94600
2.3,46,103500
2.4,48,112800
2.5,50,122500
2.6,52,132600
2.7,54,143100
2.8,56,154000
2.9,58,165300
3,60,177000
3.1,62,189100
3.2,64,201600
3.3,66,214500
3.4,68,227800
3.5,70,241500
3.6,72,255600
3.7,74,270100
3.8,76,285000
3.9,78,300300
4,80,316000
4.1,82,332100
4.2,84,348600
4.3,86,365500
4.4,88,382800
4.5,90,400500
4.6,92,418600
4.7,94,437100
4.8,96,456000
4.9,98,475300
5,100,495000
5.1,102,515100
5.2,104,535600
5.3,106,556500
5.4,108,577800
5.5,110,599500
5.6,112,621600
5.7,114,644100
5.8,116,667000
5.9,118,690300
6,120,714000
6.1,122,738100
6.2,124,762600
6.3,126,787500
6.4,128,812800
6.5,130,838500
6.6,132,864600
6.7,134,891100
6.8,136,918000
6.9,138,945300
7,140,973000
7.1,142,1001100
7.2,144,1029600
7.3,146,1058500
7.4,148,1087800
7.5,150,1117500
7.6,152,1147600
7.7,154,1178100
7.8,156,1209000
7.9,158,1240300
8,160,1272000
8.1,162,1304100
8.2,164,1336600
8.3,166,1369500
8.4,168,1402800
8.5,170,1436500
8.6,172,1470600
8.7,174,1505100
8.8,176,1540000
8.9,178,1575300
9,180,1611000
9.1,182,1647100
9.2,184,1683600
9.3,186,1720500
9.4,188,1757800
9.5,190,1795500
9.6,192,1833600
9.7,194,1872100
9.8,196,1911000
9.9,198,1950300
10,200,1990000
10.1,202,2030100
10.2,204,2070600
10.3,206,2111500
10.4,208,2152800
10.5,210,2194500
10.6,212,2236600
10.7,214,2279100
10.8,216,2322000
10.9,218,2365300
11,220,2409000
11.1,222,2453100
11.2,224,2497600
11.3,226,2542500
11.4,228,2587800
11.5,230,2633500
11.6,232,2679600
11.7,234,2726100
11.8,236,2773000
11.9,238,2820300
12,240,2868000
12.1,242,2916100
12.2,244,2964600
12.3,246,3013500
12.4,248,3062800
12.5,250,3112500
12.6,252,3162600
12.7,254,3213100
12.8,0,3264000
12.9,2,3315300
13,4,3367000
13.1,6,3419100
13.2,8,3471600
13.3,10,3524500
13.4,12,3577800
13.5,14,3631500
13.6,16,3685600
13.7,18,3740100
13.8,20,3795000
13.9,22,3850300
14,24,3906000
14.1,26,3962100
14.2,28,4018600
14.3,30,4075500
14.4,32,4132800
14.5,34,4190500
14.6,36,4248600
14.7,38,4307100
14.8,40,4366000
14.9,42,4425300
15,44,4485000
15.1,46,4545100
15.2,48,4605600
15.3,50,4666500
15.4,52,4727800
15.5,54,4789500
15.6,56,4851600
15.7,58,4914100
15.8,60,4977000
15.9,62,5040300
16,64,5104000
16.1,66,5168100
16.2,68,5232600
16.3,70,5297500
16.4,72,5362800
16.5,74,5428500
16.6,76,5494600
16.7,78,5561100
16.8,80,5628000
16.9,82,5695300
17,84,5763000
17.1,86,5831100
17.2,88,5899600
17.3,90,5968500
17.4,92,6037800
17.5,94,6107500
17.6,96,6177600
17.7,98,6248100
17.8,100,6319000
17.9,102,6390300
18,104,6462000
18.1,106,6534100
18.2,108,6606600
18.3,110,6679500
18.4,112,6752800
18.5,114,6826500
18.6,116,6900600
18.7,118,6975100
18.8,120,7050000
18.9,122,7125300
19,124,7201000
19.1,126,7277100
19.2,128,7353600
19.3,130,7430500
19.4,132,7507800
19.5,134,7585500
19.6,136,7663600
19.7,138,7742100
19.8,140,7821000
19.9,142,7900300
20,144,7980000
20.1,146,8060100
20.2,148,8140600
20.3,150,8221500
20.4,152,8302800
20.5,154,8384500
20.6,156,8466600
20.7,158,8549100
20.8,160,8632000
20.9,162,8715300
21,164,8799000
21.1,166,8883100
21.2,168,8967600
21.3,170,9052500
21.4,172,9137800
21.5,174,9223500
21.6,176,9309600
21.7,178,9396100
21.8,180,9483000
21.9,182,9570300
22,184,9658000
22.1,186,9746100
22.2,188,9834600
22.3,190,9923500
22.4,192,10012800
22.5,194,10102500
22.6,196,10192600
22.7,198,10283100
22.8,200,10374000
22.9,202,10465300
23,204,10557000
23.1,206,10649100
23.2,208,10741600
23.3,210,10834500
23.4,212,10927800
23.5,214,11021500
23.6,216,11115600
23.7,218,11210100
23.8,220,11305000
23.9,222,11400300
24,224,11496000
24.1,226,11592100
24.2,228,11688600
24.3,230,11785500
24.4,232,11882800
24.5,234,11980500
24.6,236,12078600
24.7,238,12177100
24.8,240,12276000
24.9,242,12375300
25,244,12475000
25.1,246,12575100
25.2,248,12675600
25.3,250,12776500
25.4,252,12877800
25.5,254,12979500
25.6,0,13081600
25.7,2,13184100
25.8,4,13287000
25.9,6,13390300
26,8,13494000
26.1,10,13598100
26.2,12,13702600
26.3,14,13807500
26.4,16,13912800
26.5,18,14018500
26.6,20,14124600
26.7,22,14231100
26.8,24,14338000
26.9,26,14445300
27,28,14553000
27.1,30,14661100
27.2,32,14769600
27.3,34,14878500
27.4,36,14987800
27.5,38,15097500
27.6,40,15207600
27.7,42,15318100
27.8,44,15429000
27.9,46,15540300
28,48,15652000
28.1,50,15764100
28.2,52,15876600
28.3,54,15989500
28.4,56,16102800
28.5,58,16216500
28.6,60,16330600
28.7,62,16445100
28.8,64,16560000
28.9,66,16675300
29,68,16791000
29.1,70,16907100
29.2,72,17023600
29.3,74,17140500
