time,res_bus/Bus_0/vm_pu,res_bus/Bus_R0/vm_pu,res_bus/Bus_R1/vm_pu,res_bus/Bus_R2/vm_pu,res_bus/Bus_R3/vm_pu,res_bus/Bus_R4/vm_pu,res_bus/Bus_R5/vm_pu,res_bus/Bus_R6/vm_pu,res_bus/Bus_R7/vm_pu,res_bus/Bus_R8/vm_pu,res_bus/Bus_R9/vm_pu,res_bus/Bus_R10/vm_pu,res_bus/Bus_R11/vm_pu,res_bus/Bus_R12/vm_pu,res_bus/Bus_R13/vm_pu,res_bus/Bus_R14/vm_pu,res_bus/Bus_R15/vm_pu,res_bus/Bus_R16/vm_pu,res_bus/Bus_R17/vm_pu,res_bus/Bus_R18/vm_pu,res_bus/Bus_I0/vm_pu,res_bus/Bus_I1/vm_pu,res_bus/Bus_I2/vm_pu,res_bus/Bus_C0/vm_pu,res_bus/Bus_C1/vm_pu,res_bus/Bus_C2/vm_pu,res_bus/Bus_C3/vm_pu,res_bus/Bus_C4/vm_pu,res_bus/Bus_C5/vm_pu,res_bus/Bus_C6/vm_pu,res_bus/Bus_C7/vm_pu,res_bus/Bus_C8/vm_pu,res_bus/Bus_C9/vm_pu,res_bus/Bus_C10/vm_pu,res_bus/Bus_C11/vm_pu,res_bus/Bus_C12/vm_pu,res_bus/Bus_C13/vm_pu,res_bus/Bus_C14/vm_pu,res_bus/Bus_C15/vm_pu,res_bus/Bus_C16/vm_pu,res_bus/Bus_C17/vm_pu,res_bus/Bus_C18/vm_pu,res_bus/Bus_C19/vm_pu,res_bus/Bus_C20/vm_pu
0.5,1,1,0.999913,0.999847,0.999781,0.999731,0.999692,0.999654,0.999618,0.999583,0.999547,0.999517,0.999724,0.99968,0.999629,0.999578,0.999535,0.999641,0.999527,0.999404,1,0.999959,0.999869,1,0.999818,0.999585,0.999353,0.99918,0.999008,0.998977,0.998946,0.998914,0.998894,0.999208,0.999114,0.999015,0.999074,0.999133,0.99867,0.998378,0.998601,0.997944,0.998874,0.998823
1.5,1,1,0.999788,0.999629,0.99947,0.999326,0.999265,0.999205,0.999147,0.999089,0.999032,0.998979,0.999412,0.998963,0.998599,0.998235,0.997924,0.999192,0.999011,0.998783,1,0.999959,0.999869,1,0.99981,0.999568,0.999325,0.999247,0.999168,0.999137,0.999106,0.999074,0.999054,0.998931,0.998837,0.998737,0.998797,0.998486,0.999055,0.998988,0.998987,0.998889,0.999034,0.998983
2.5,1,1,0.99982,0.999701,0.999581,0.999477,0.999417,0.999357,0.9993,0.999243,0.999185,0.999134,0.999523,0.999285,0.999094,0.998902,0.998737,0.999344,0.999165,0.998939,1,0.999964,0.999885,1,0.999778,0.999494,0.999209,0.999139,0.999069,0.999038,0.999007,0.998975,0.998955,0.998693,0.998599,0.9985,0.998559,0.998068,0.998977,0.99893,0.998908,0.998861,0.998935,0.998884
3.5,1,1,0.999804,0.999674,0.999544,0.99943,0.999374,0.999318,0.999265,0.999213,0.99916,0.999113,0.999487,0.999174,0.998918,0.998662,0.998442,0.999306,0.99914,0.998935,1,0.999156,0.997331,1,0.999881,0.999733,0.999584,0.999506,0.999428,0.999397,0.999366,0.999334,0.999314,0.999415,0.999321,0.999221,0.999281,0.999303,0.999316,0.99925,0.999248,0.999152,0.999294,0.999243
4.5,1,1,0.999801,0.999669,0.999538,0.999421,0.999365,0.999309,0.999256,0.999204,0.999151,0.999104,0.99948,0.999156,0.99889,0.998625,0.998397,0.999297,0.999131,0.998926,1,0.999791,0.999339,1,0.99988,0.999731,0.999581,0.999503,0.999425,0.999394,0.999362,0.999331,0.999311,0.999409,0.999315,0.999216,0.999275,0.999293,0.999313,0.999247,0.999245,0.999149,0.999291,0.99924
5.5,1,1,0.999759,0.999592,0.999425,0.999274,0.999171,0.999068,0.998968,0.998868,0.998768,0.998674,0.999368,0.999062,0.998851,0.998639,0.998458,0.999055,0.998748,0.998318,1,0.999791,0.999339,1,0.999873,0.999713,0.999553,0.999475,0.999397,0.999365,0.999334,0.999303,0.999283,0.999356,0.999262,0.999162,0.999222,0.999203,0.999285,0.999219,0.999216,0.999121,0.999262,0.999212
6.5,1,1,0.999556,0.999224,0.998892,0.998575,0.998312,0.998049,0.99779,0.99753,0.99727,0.997016,0.998834,0.998339,0.998102,0.997866,0.997663,0.998037,0.99725,0.996058,1,0.999938,0.999805,1,0.999872,0.999711,0.99955,0.99945,0.999349,0.999275,0.999201,0.999127,0.999107,0.999405,0.999312,0.999212,0.999272,0.99933,0.999286,0.999269,0.999218,0.999244,0.998934,0.999036
7.5,1,1,0.999637,0.999369,0.999101,0.998849,0.998651,0.998453,0.998258,0.998064,0.997869,0.99768,0.999043,0.998609,0.99837,0.998131,0.997926,0.998441,0.997849,0.996967,1,0.99911,0.997184,1,0.999848,0.999655,0.999462,0.999326,0.99919,0.99908,0.99897,0.998861,0.998841,0.999325,0.999231,0.999131,0.999191,0.999261,0.999127,0.99911,0.999058,0.999084,0.998541,0.99877
8.5,1,1,0.999647,0.999398,0.999149,0.998915,0.998781,0.998647,0.998517,0.998386,0.998256,0.998143,0.999091,0.998475,0.998035,0.997594,0.997217,0.998635,0.998187,0.99772,1,0.99979,0.999335,1,0.999855,0.999673,0.99949,0.999351,0.999212,0.999099,0.998986,0.998874,0.998851,0.999385,0.999291,0.999192,0.999251,0.999369,0.999149,0.999132,0.99908,0.999106,0.998554,0.998769
9.5,1,1,0.999684,0.999467,0.99925,0.999048,0.998915,0.998782,0.998652,0.998522,0.998393,0.9983,0.999192,0.998745,0.998443,0.99814,0.997881,0.99877,0.998252,0.997952,1,0.999782,0.99931,1,0.999833,0.99962,0.999407,0.999238,0.999069,0.998927,0.998784,0.998641,0.998588,0.999302,0.999209,0.999109,0.999169,0.999286,0.999006,0.998989,0.998938,0.998964,0.998322,0.9984
10.5,1,1,0.999801,0.999678,0.999556,0.999449,0.999349,0.99925,0.999153,0.999057,0.998961,0.998902,0.999498,0.999416,0.999384,0.999351,0.999323,0.999237,0.99882,0.99868,1,0.999756,0.999227,1,0.999816,0.999582,0.999347,0.999156,0.998965,0.998801,0.998636,0.998471,0.998359,0.999242,0.999148,0.999049,0.999108,0.999226,0.998902,0.998885,0.998834,0.99886,0.998287,0.997957
