time,load/Load_R1/p_mw,load/Load_R1/q_mvar,load/Load_R11/p_mw,load/Load_R11/q_mvar,load/Load_R15/p_mw,load/Load_R15/q_mvar,load/Load_R16/p_mw,load/Load_R16/q_mvar,load/Load_R17/p_mw,load/Load_R17/q_mvar,load/Load_R18/p_mw,load/Load_R18/q_mvar,load/Load_I2/p_mw,load/Load_I2/q_mvar,load/Load_C1/p_mw,load/Load_C1/q_mvar,load/Load_C12/p_mw,load/Load_C12/q_mvar,load/Load_C13/p_mw,load/Load_C13/q_mvar,load/Load_C14/p_mw,load/Load_C14/q_mvar,load/Load_C17/p_mw,load/Load_C17/q_mvar,load/Load_C18/p_mw,load/Load_C18/q_mvar,load/Load_C19/p_mw,load/Load_C19/q_mvar,load/Load_C20/p_mw,load/Load_C20/q_mvar,load/PV_Load_R1/p_mw,load/PV_Load_R1/q_mvar,load/PV_Load_R11/p_mw,load/PV_Load_R11/q_mvar,load/PV_Load_R15/p_mw,load/PV_Load_R15/q_mvar,load/PV_Load_R16/p_mw,load/PV_Load_R16/q_mvar,load/PV_Load_R17/p_mw,load/PV_Load_R17/q_mvar,load/PV_Load_R18/p_mw,load/PV_Load_R18/q_mvar,load/PV_Load_I2/p_mw,load/PV_Load_I2/q_mvar,load/PV_Load_C1/p_mw,load/PV_Load_C1/q_mvar,load/PV_Load_C12/p_mw,load/PV_Load_C12/q_mvar,load/PV_Load_C13/p_mw,load/PV_Load_C13/q_mvar,load/PV_Load_C14/p_mw,load/PV_Load_C14/q_mvar,load/PV_Load_C17/p_mw,load/PV_Load_C17/q_mvar,load/PV_Load_C18/p_mw,load/PV_Load_C18/q_mvar,load/PV_Load_C19/p_mw,load/PV_Load_C19/q_mvar,load/PV_Load_C20/p_mw,load/PV_Load_C20/q_mvar
0,0.000156305,6.12589e-05,0.000360283,0.000141201,0.000272009,0.000106605,7.69279e-05,3.01495e-05,0.000126371,4.95272e-05,0.000706049,0.000276714,0.000240622,9.43041e-05,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,0.000186015,7.29027e-05,0.000169637,6.64838e-05,0.00107484,0.000421248,0.000100181,3.92629e-05,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
1,0.000393634,0.000154273,0.000360283,0.000141201,0.00193963,0.000760175,7.69279e-05,3.01495e-05,0.000126371,4.95272e-05,0.0012258,0.000480415,0.000240622,9.43041e-05,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,0.00110438,0.000432828,0.000169637,6.64838e-05,0.000246228,9.65011e-05,0.000100181,3.92629e-05,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2,0.000704969,0.00027629,0.000360283,0.000141201,0.00102415,0.000401383,7.69279e-05,3.01495e-05,0.000126371,4.95272e-05,0.00121219,0.000475081,0.000211007,8.26975e-05,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,0.00155076,0.000607771,0.000169637,6.64838e-05,0.000170983,6.70113e-05,0.000100181,3.92629e-05,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
3,0.000781527,0.000306295,0.000360283,0.000141201,0.00136663,0.000535607,7.69279e-05,3.01495e-05,0.000126371,4.95272e-05,0.00111011,0.000435074,0.00490499,0.00192235,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,0.00027734,0.000108694,0.000169637,6.64838e-05,0.000243169,9.53023e-05,0.000100181,3.92629e-05,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
4,0.000781527,0.000306295,0.000360283,0.000141201,0.00141668,0.000555225,7.69279e-05,3.01495e-05,0.000126371,4.95272e-05,0.00111011,0.000435074,0.00121792,0.000477324,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,0.000287292,0.000112595,0.000169637,6.64838e-05,0.000243169,9.53023e-05,0.000100181,3.92629e-05,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
5,0.000781527,0.000306295,0.000360283,0.000141201,0.00112953,0.000442683,7.69279e-05,3.01495e-05,0.000126371,4.95272e-05,0.00221597,0.000868481,0.00121792,0.000477324,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,0.000378323,0.000148272,0.000169637,6.64838e-05,0.000243169,9.53023e-05,0.000100181,3.92629e-05,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
6,0.000832565,0.000326298,0.000360283,0.000141201,0.00126125,0.000494308,7.69279e-05,3.01495e-05,0.000126371,4.95272e-05,0.00595038,0.00233206,0.000359082,0.000140731,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,0.000187332,7.3419e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.000479006,0.000187731,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
7,0.000785993,0.000308045,0.000360283,0.000141201,0.0012764,0.000500244,7.69279e-05,3.01495e-05,0.000126371,4.95272e-05,0.00443195,0.00173696,0.005173,0.00202739,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,0.000157915,6.18899e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.00079213,0.00031045,0.000176032,6.89904e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
8,0.00100801,0.000395058,0.000360283,0.000141201,0.00234599,0.000919438,7.69279e-05,3.01495e-05,0.000426503,0.000167154,0.0026328,0.00103184,0.00122532,0.000480226,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.00079213,0.00031045,0.000203114,7.96043e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
9,0.00104629,0.00041006,0.000360283,0.000141201,0.00161361,0.000632404,7.69279e-05,3.01495e-05,0.0008767,0.000343595,0.00216493,0.000848477,0.00126974,0.000497636,7.84112e-05,3.07308e-05,0.000246861,9.67495e-05,9.92744e-05,3.89075e-05,4.02472e-05,1.57736e-05,0.000169637,6.64838e-05,6.27039e-05,2.45748e-05,0.00079213,0.00031045,0.000467163,0.00018309,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
