"time","U@resistance","I@variable_resistance"
0,0,0
1E-07,0.00013111,-3.49322E-09
2E-07,0.00103846,-1.39402E-08
3E-07,0.00347241,-3.12434E-08
4E-07,0.008145,-5.52417E-08
5E-07,0.015721,-8.57124E-08
6E-07,0.0268095,-1.22374E-07
7E-07,0.0419558,-1.6489E-07
8E-07,0.0616345,-2.12871E-07
9E-07,0.0862438,-2.65882E-07
1E-06,0.1161,-3.23442E-07
1.1E-06,0.151433,-3.85036E-07
1.2E-06,0.192385,-4.50114E-07
1.3E-06,0.239007,-5.18102E-07
1.4E-06,0.291258,-5.88403E-07
1.5E-06,0.349005,-6.60408E-07
1.6E-06,0.412028,-7.33499E-07
1.7E-06,0.480017,-8.07055E-07
1.8E-06,0.552578,-8.80461E-07
1.9E-06,0.629238,-9.53112E-07
2E-06,0.709451,-1.02442E-06
2.1E-06,0.792601,-1.09381E-06
2.2E-06,0.878012,-1.16075E-06
2.3E-06,0.964953,-1.22473E-06
2.4E-06,1.05265,-1.28528E-06
2.5E-06,1.14029,-1.34196E-06
2.6E-06,1.22704,-1.39439E-06
2.7E-06,1.31204,-1.44224E-06
2.8E-06,1.39442,-1.48521E-06
2.9E-06,1.47333,-1.52307E-06
3E-06,1.5479,-1.55564E-06
3.1E-06,1.61732,-1.58279E-06
3.2E-06,1.68078,-1.60445E-06
3.3E-06,1.73751,-1.6206E-06
3.4E-06,1.78681,-1.63129E-06
3.5E-06,1.82802,-1.6366E-06
3.6E-06,1.86055,-1.63667E-06
3.7E-06,1.88387,-1.6317E-06
3.8E-06,1.89753,-1.62192E-06
3.9E-06,1.90117,-1.60761E-06
4E-06,1.8945,-1.58908E-06
4.1E-06,1.87735,-1.5667E-06
4.2E-06,1.84959,-1.54083E-06
4.3E-06,1.81124,-1.51188E-06
4.4E-06,1.76237,-1.48029E-06
4.5E-06,1.70317,-1.4465E-06
4.6E-06,1.6339,-1.41095E-06
4.7E-06,1.55493,-1.37411E-06
4.8E-06,1.4667,-1.33644E-06
4.9E-06,1.36974,-1.2984E-06
5E-06,1.26466,-1.26042E-06
5.1E-06,1.01481,0.0229695
5.2E-06,0.764836,0.0119397
5.3E-06,0.517079,0.000952832
5.4E-06,0.272587,-0.00997123
5.5E-06,0.0323681,-0.0208132
5.6E-06,-0.202618,-0.0315549
5.7E-06,-0.431452,-0.0421786
5.8E-06,-0.65326,-0.0526677
5.9E-06,-0.867221,-0.0630065
6E-06,-1.07257,-0.0731805
6.1E-06,-1.26859,-0.0831759
6.2E-06,-1.45462,-0.0929803
6.3E-06,-1.63008,-0.102582
