"time","heatCapacitor.der(T)","heatCapacitor.T","ground.p.i","heatCapacitor.der_T","heatingResistor.R","heatingResistor.v","thermalConductor.port_a.Q_flow","idealSwitch.s","idealSwitch.LossPower","onOffController.reference","onOffController.u","idealSwitch.control","onOffController.y"
0,9.99998,293.15,0,9.99998,10,9.99999,0,0.999999,9.99998e-006,25,20,0,1
0.102726584,9.858156655,294.1698767,0,9.858156655,10.03999516,9.99999004,0.1019876655,0.9960154241,9.92046725e-006,25,21.01987666,0,1
0.205453167,9.718635965,295.1754202,0,9.718635965,10.07942824,9.999990079,0.2025420191,0.9921187827,9.84299679e-006,25,22.02542019,0,1
0.413985669,9.442338721,297.1731993,0,9.442338721,10.15777252,9.999990155,0.4023199281,0.9844668341,9.691749475e-006,25,24.02319928,0,1
0.520858782,9.304244946,298.1748923,0,9.304244946,10.1970546,9.999990193,0.5024892316,0.9806743795,9.617222386e-006,25,25.02489232,0,1
0.627731895,-0.5999212431,299.1492135,0,-0.5999212431,10.23526327,0.001023421577,0.5999213455,9.998976578,0.0009997953262,25,25.99921345,1,0
0.630460513,-0.5997576493,299.1475775,0,-0.5997576493,10.23519912,0.001023415163,0.5997577517,9.998976585,0.0009997953274,25,25.99757752,1,0
0.630460529,-0.5997576484,299.1475775,0,-0.5997576484,10.23519912,0.001023415163,0.5997577507,9.998976585,0.0009997953274,25,25.99757751,1,0
0.630787394,-0.5997380571,299.1473816,0,-0.5997380571,10.23519144,0.001023414395,0.5997381594,9.998976586,0.0009997953276,25,25.99738159,1,0
1.037962586,-0.5758081002,298.908082,0,-0.5758081002,10.22580714,0.001022476157,0.5758082024,9.998977524,0.0009997955152,25,25.75808202,1,0
2,-0.5229839333,298.3798404,0,-0.5229839333,10.20509178,0.001020405045,0.5229840353,9.998979595,0.0009997959294,25,25.22984035,1,0
2.000290334,-0.5229687507,298.3796885,0,-0.5229687507,10.20508582,0.001020404449,0.5229688527,9.998979596,0.0009997959295,25.00120972,25.22968853,1,0
2.267937748,9.287898845,298.2936027,0,9.287898845,10.20170991,9.999990198,0.5143602705,0.9802268724,9.608447213e-006,26.11640728,25.1436027,0,1
2.26793775,9.287898842,298.2936027,0,9.287898842,10.20170991,9.999990198,0.5143602723,0.9802268723,9.608447211e-006,26.11640729,25.14360272,0,1
2.376020305,9.150858294,299.2899979,0,9.150858294,10.24078423,9.999990235,0.6139997908,0.976486762,9.535263964e-006,26.56675127,26.13999791,0,1
2.48410286,9.016105743,300.2717797,0,9.016105743,10.27928548,9.999990272,0.7121779656,0.9728293172,9.463968804e-006,27.01709525,27.12177966,0,1
2.683888306,-0.8795705752,301.9457068,0,-0.8795705752,10.34492968,0.001034385961,0.8795706786,9.998965614,0.0009997931335,27.84953461,28.79570679,1,0
2.683888308,-0.879570575,301.9457068,0,-0.879570575,10.34492968,0.001034385961,0.8795706784,9.998965614,0.0009997931335,27.84953462,28.79570678,1,0
2.684159821,-0.8795467028,301.9454681,0,-0.8795467028,10.34492032,0.001034385025,0.8795468063,9.998965615,0.0009997931337,27.85066592,28.79546806,1,0
3.021025094,-0.8504151295,301.6541523,0,-0.8504151295,10.33349617,0.001033242847,0.8504152328,9.998966757,0.0009997933621,29.25427123,28.50415233,1,0
3.082507294,8.818552388,301.7147192,0,8.818552388,10.33587134,9.999990325,0.8564719218,0.9675033671,9.360627653e-006,29.51044706,28.56471922,0,1
3.082507296,8.818552386,301.7147192,0,8.818552386,10.33587134,9.999990325,0.8564719235,0.967503367,9.360627652e-006,29.51044707,28.56471924,0,1
3.194420851,8.684794478,302.6941114,0,8.684794478,10.37427888,9.999990361,0.954411138,0.9639214907,9.291446403e-006,29.97675355,29.54411138,0,1
3.306334406,8.553314341,303.6587167,0,8.553314341,10.41210654,9.999990396,1.050871668,0.9604195233,9.224056607e-006,30.44306003,30.50871668,0,1
3.534863494,-1.234533447,305.4953355,0,-1.234533447,10.4841308,0.001048303175,1.234533552,9.998951697,0.0009997903504,31.39526456,32.34533552,1,0
3.543784993,-1.23343346,305.4843357,0,-1.23343346,10.48369944,0.001048260047,1.233433565,9.99895174,0.000999790359,31.43243747,32.33433565,1,0
