"time","tempc@tpf_st_chamber","tau@tpf_st_chamber","press@tpf_st_chamber","dm2@tpf_pump","out2@division","torque@expseu_"
0,19.904,25,0.02337,0.130321,0.24,0
1,22.5616,25.7685,0.027506,0.0895202,0.247685,0
2,29.4449,26.2191,0.0413147,0.04253,0.252191,0.738041
3,35.5599,26.4544,0.0582781,0.0179212,0.254544,0.871806
4,41.3369,26.5786,0.0795326,0.00488305,0.255786,0.99703
5,46.9811,26.6487,0.106439,0,0.256487,1.11094
6,52.6316,26.7159,0.140859,0,0.257159,1.20787
7,58.3031,26.7892,0.184567,0,0.257892,1.27619
8,63.9893,26.8681,0.239499,0,0.258681,1.30083
9,69.6844,26.9523,0.307849,0,0.259523,1.2636
10,75.3828,27.0415,0.392076,0,0.260415,1.14305
11,81.0786,27.1352,0.494886,0,0.261352,0.91438
12,86.767,27.2332,0.619256,0,0.262332,0.549163
13,92.4429,27.3351,0.7684,0,0.263351,0.0156095
14,98.093,27.44,0.945454,0,0.2644,-0.908635
15,103.72,27.5481,1.15418,0,0.265481,-2.14142
16,109.318,27.659,1.3983,0,0.26659,-3.74162
17,114.882,27.7721,1.68156,0,0.267721,-5.80755
18,120.404,27.887,2.00764,0,0.26887,-8.42155
19,125.875,28.0028,2.37999,0,0.270028,-11.6735
20,131.279,28.1184,2.80118,0,0.271184,-15.6533
21,136.503,28.2302,3.26404,0,0.272302,-20.3625
22,141.439,28.3343,3.75637,0,0.273343,-25.717
23,145.972,28.426,4.25968,0,0.27426,-31.5171
24,149.991,28.5004,4.75007,0,0.275004,-37.4559
25,153.401,28.5529,5.20073,0,0.275529,-43.1618
26,156.13,28.5797,5.58561,0,0.275797,-48.2574
27,158.141,28.5779,5.88344,0,0.275779,-52.4165
28,159.431,28.5469,6.08109,0,0.275469,-55.4134
29,160.033,28.4872,6.17514,0,0.274872,-57.1534
30,160.01,28.4015,6.17148,0,0.274015,-57.6754
31,159.444,28.2935,6.08308,0,0.272935,-57.1256
32,158.428,28.1676,5.92703,0,0.271676,-55.7111
33,157.057,28.0283,5.72143,0,0.270283,-53.6694
34,155.419,27.88,5.4832,0,0.2688,-51.2209
35,153.764,27.7308,5.25069,0,0.267308,-48.8434
36,153.256,27.6111,5.1809,0,0.266111,-48.456
37,154.482,27.535,5.3506,0,0.26535,-51.0198
38,157.51,27.5032,5.78872,0,0.265032,-56.9809
39,161.13,27.4846,6.34956,0,0.264846,-64.626
40,164.513,27.4568,6.91198,0,0.264568,-72.4352
41,167.371,27.4111,7.41742,0,0.264111,-79.6128
42,169.647,27.345,7.8405,0,0.26345,-85.7653
43,171.381,27.2588,8.17545,0,0.262588,-90.7618
44,172.651,27.1542,8.428,0,0.261542,-94.6417
45,173.547,27.0338,8.60978,0,0.260338,-97.5409
46,174.153,26.9002,8.73442,0,0.259002,-99.6359
47,174.541,26.7558,8.81513,0,0.257558,-101.106
48,174.771,26.6034,8.86301,0.000851828,0.256034,-102.105
49,174.792,26.4681,8.86744,0.00619573,0.254681,-102.502
50,174.623,26.3603,8.83219,0.0104568,0.253603,-102.339
51,174.343,26.2756,8.77374,0.0138032,0.252756,-101.848
52,174.01,26.2104,8.70482,0.0163854,0.252104,-101.211
53,173.666,26.161,8.63401,0.0183404,0.25161,-100.545
54,173.335,26.1244,8.56641,0.0197911,0.251244,-99.923
55,173.031,26.0978,8.50463,0.0208441,0.250978,-99.3795
56,172.759,26.079,8.44964,0.02159,0.25079,-98.927
57,172.519,26.0662,8.40144,0.0221027,0.250662,-98.5643
58,172.31,26.0577,8.35951,0.022442,0.250577,-98.2832
59,172.127,26.0524,8.32312,0.0226546,0.250524,-98.0726
60,171.968,26.0494,8.29147,0.0227766,0.250494,-97.9209
61,171.829,26.048,8.26379,0.0228352,0.25048,-97.8171
62,171.706,26.0477,8.23943,0.022851,0.250477,-97.7517
63,171.596,26.048,8.21778,0.022839,0.25048,-97.7164
64,171.498,26.0488,8.19837,0.0228096,0.250488,-97.7045
65,171.408,26.0499,8.18079,0.0227705,0.250499,-97.7106
66,171.326,26.0511,8.16473,0.022727,0.250511,-97.7302
67,171.251,26.0523,8.14993,0.0226823,0.250523,-97.7601
68,171.181,26.0534,8.13619,0.0226388,0.250534,-97.7975
69,171.115,26.0545,8.12334,0.0225977,0.250545,-97.8405
70,171.053,26.0555,8.11125,0.0225598,0.250555,-97.8874
