"time","valves_mv1","valves_mv2","valves_mv3","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","egsCarSpeed","egsGear","egsTargetGear","tShiftStart"
0.01,0,0,0,0,0,0,0,0,0,0,-2,0,0
0.08,0,0,0,0,0,0.14,0.14,0,0,0,-2,0,0
0.15,0,0,0,0,0,0.28,0.28,0,0,0,-2,0,0
0.22,0,0,0,0,0,0.08,0.08,0,0,0,-2,0,0.17
0.29,0,0,0,0,0,0.22,0.22,0,0,0,-2,0,0.17
0.36,0,0,0,0,0,0.36,0.36,0,0,0.011,-2,0,0.17
0.43,0,0,0,0,0,0.5,0.5,0,0,0.169,-2,0,0.17
0.5,0,0,0,0,0,0.64,0.64,0,0,0.305,-2,0,0.17
0.57,0,0,0,0,0,0.78,0.78,0,0,0.237,-2,0,0.17
0.64,0,0,0,0,0,0.92,0.92,0,0,0.236,-2,0,0.17
0.71,0,0,0,0,0,1,1,0,0,0.234,-2,0,0.17
0.78,0,0,0,0,0,1,1,0,0,0.232,-2,0,0.17
0.85,0,0,0,0,0,1,1,0,0,0.23,-2,0,0.17
0.92,0,0,0,0,0,1,1,0,0,0.228,-2,0,0.17
0.99,0,0,0,0,0,1,1,0,0,0.226,-2,0,0.17
1.06,0,0,0,0,0,1,1,0,0,0.661,-2,0,0.17
1.13,0,0,0,0,0,1,1,0,0,1.77,-2,0,0.17
1.2,0,0,0,0,0,1,1,0,0,3.357,0,1,1.19
1.27,0,0,0,0,0,0.86,1,0,0.14,5.97,0,1,1.19
1.34,0,0,0,0,0,0.72,1,0,0.28,8.827,0,1,1.19
1.41,0,0,0,0,0,0.58,1,0,0.42,10.601,0,1,1.19
1.48,0,0,0,0,0,0.44,1,0,0.56,14.66,0,1,1.19
1.55,0,0,0,0,0,0.3,1,0,0.7,16.701,0,1,1.19
1.62,0,0,0,0,0,0.16,1,0,0.84,18.827,0,1,1.19
1.69,0,0,0,0,0,0.02,1,0,0.98,20.839,0,1,1.19
1.76,0,0,0,0,0,0,1,0,1,22.754,0,1,1.19
1.83,0,0,0,0,0,0,1,0,1,24.581,0,1,1.19
1.9,0,0,0,0,0,0,1,0,1,26.35,0,1,1.19
1.97,0,0,0,0,0,0,1,0,1,28.029,0,1,1.19
2.04,0,0,0,0,0,0,1,0,1,29.695,0,1,1.19
