"time","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel","J1.phi","J1.w"
0,0,-10,0,0,0,0,0,10
0.0015,-0.0156666,-9.969,-1.23104E-05,-0.015691,0,0,0.0156789,9.9847
0.003,-0.0305984,-9.9401,-4.70969E-05,-0.030691,0,0,0.0306455,9.97079
0.0045,-0.0454874,-9.91189,-0.000104383,-0.0456908,0,0,0.0455918,9.95758
0.006,-0.0603346,-9.88439,-0.000184169,-0.0606906,0,0,0.0605188,9.94508
0.0075,-0.075141,-9.85758,-0.000286455,-0.0756901,0,0,0.0754274,9.93327
0.009,-0.0899076,-9.83145,-0.00041124,-0.0906894,0,0,0.0903189,9.92214
0.0105,-0.104636,-9.80601,-0.000558523,-0.105688,0,0,0.105194,9.9117
0.012,-0.119326,-9.78123,-0.000728305,-0.120687,0,0,0.120054,9.90192
0.0135,-0.13398,-9.75712,-0.000920584,-0.135685,0,0,0.1349,9.8928
0.015,-0.148598,-9.73364,-0.00113536,-0.150683,0,0,0.149733,9.88432
0.0165,-0.163181,-9.7108,-0.00137263,-0.16568,0,0,0.164554,9.87648
0.018,-0.17773,-9.68857,-0.0016324,-0.180677,0,0,0.179363,9.86925
0.0195,-0.192247,-9.66694,-0.00191466,-0.195673,0,0,0.194162,9.86261
0.021,-0.206731,-9.64588,-0.00221942,-0.210669,0,0,0.208951,9.85655
0.0225,-0.221185,-9.62539,-0.00254667,-0.225663,0,0,0.223732,9.85105
0.024,-0.235608,-9.60543,-0.00289641,-0.240657,0,0,0.238504,9.84609
0.0255,-0.250001,-9.58599,-0.00326864,-0.25565,0,0,0.25327,9.84164
0.027,-0.264366,-9.56704,-0.00366336,-0.270642,0,0,0.268029,9.83768
0.0285,-0.278703,-9.54856,-0.00408057,-0.285634,0,0,0.282783,9.83419
0.03,-0.293012,-9.53052,-0.00452026,-0.300624,0,0,0.297532,9.83115
0.0315,-0.307295,-9.5129,-0.00498244,-0.315613,0,0,0.312277,9.82852
0.033,-0.321551,-9.49567,-0.0054671,-0.330601,0,0,0.327018,9.82627
0.0345,-0.335782,-9.4788,-0.00597424,-0.345588,0,0,0.341756,9.82439
0.036,-0.349987,-9.46226,-0.00650386,-0.360574,0,0,0.356491,9.82283
0.0375,-0.364169,-9.44602,-0.00705596,-0.375558,0,0,0.371225,9.82158
0.039,-0.378326,-9.43005,-0.00763054,-0.390542,0,0,0.385956,9.82059
0.0405,-0.392459,-9.41433,-0.00822759,-0.405523,0,0,0.400687,9.81985
0.042,-0.406569,-9.39881,-0.00884711,-0.420504,0,0,0.415416,9.81931
0.0435,-0.420655,-9.38347,-0.0094891,-0.435483,0,0,0.430145,9.81895
0.045,-0.434719,-9.36828,-0.0101536,-0.45046,0,0,0.444873,9.81874
0.0465,-0.44876,-9.35319,-0.0108405,-0.465436,0,0,0.459601,9.81863
0.048,-0.462779,-9.33819,-0.0115499,-0.48041,0,0,0.474329,9.8186
0.0495,-0.476775,-9.32323,-0.0122817,-0.495383,0,0,0.489057,9.81862
