    "time",       "x",  "der(x)",       "k"
         0,         1,        -1,         1
       0.1,0.90438208,-0.90438208,         1
       0.2,0.81790694,-0.81790694,         1
       0.3,0.73970037,-0.73970037,         1
       0.4,0.66897176,-0.66897176,         1
       0.5,0.60500607,-0.60500607,         1
       0.6,0.54715664,-0.54715664,         1
       0.7,0.49483866,-0.49483866,         1
       0.8,0.44752321,-0.44752321,         1
       0.9,0.40473197,-0.40473197,         1
         1,0.36603234,-0.36603234,         1
