"time","y"
0,10
0.01,10
0.02,9.99902
0.03,9.99706
0.04,9.99412
0.05,9.9902
0.06,9.9853
0.07,9.97942
0.08,9.97256
0.09,9.96472
0.1,9.9559
0.11,9.9461
0.12,9.93532
0.13,9.92356
0.14,9.91082
0.15,9.8971
0.16,9.8824
0.17,9.86672
0.18,9.85006
0.19,9.83242
0.2,9.8138
0.21,9.7942
0.22,9.77362
0.23,9.75206
0.24,9.72952
0.25,9.706
0.26,9.6815
0.27,9.65602
0.28,9.62956
0.29,9.60212
0.3,9.5737
0.31,9.5443
0.32,9.51392
0.33,9.48256
0.34,9.45022
0.35,9.4169
0.36,9.3826
0.37,9.34732
0.38,9.31106
0.39,9.27382
0.4,9.2356
0.41,9.1964
0.42,9.15622
0.43,9.11506
0.44,9.07292
0.45,9.0298
0.46,8.9857
0.47,8.94062
0.48,8.89456
0.49,8.84752
0.5,8.7995
0.51,8.7505
0.52,8.70052
0.53,8.64956
0.54,8.59762
0.55,8.5447
0.56,8.4908
0.57,8.43592
0.58,8.38006
0.59,8.32322
0.6,8.2654
0.61,8.2066
0.62,8.14682
0.63,8.08606
0.64,8.02432
0.65,7.9616
0.66,7.8979
0.67,7.83322
0.68,7.76756
0.69,7.70092
0.7,7.6333
0.71,7.5647
0.72,7.49512
0.73,7.42456
0.74,7.35302
0.75,7.2805
0.76,7.207
0.77,7.13252
0.78,7.05706
0.79,6.98062
0.8,6.9032
0.81,6.8248
0.82,6.74542
0.83,6.66506
0.84,6.58372
0.85,6.5014
0.86,6.4181
0.87,6.33382
0.88,6.24856
0.89,6.16232
0.9,6.0751
0.91,5.9869
0.92,5.89772
0.93,5.80756
0.94,5.71642
0.95,5.6243
0.96,5.5312
0.97,5.43712
0.98,5.34206
0.99,5.24602
1,5.149
1.01,5.051
1.02,4.95202
1.03,4.85206
1.04,4.75112
1.05,4.6492
1.06,4.5463
1.07,4.44242
1.08,4.33756
1.09,4.23172
1.1,4.1249
1.11,4.0171
1.12,3.90832
1.13,3.79856
1.14,3.68782
1.15,3.5761
1.16,3.4634
1.17,3.34972
1.18,3.23506
1.19,3.11942
1.2,3.0028
1.21,2.8852
1.22,2.76662
1.23,2.64706
1.24,2.52652
1.25,2.405
1.26,2.2825
1.27,2.15902
1.28,2.03456
1.29,1.90912
1.3,1.7827
1.31,1.6553
1.32,1.52692
1.33,1.39756
1.34,1.26722
1.35,1.1359
1.36,1.0036
1.37,0.87032
1.38,0.73606
1.39,0.60082
1.4,0.4646
1.41,0.3274
1.42,0.18922
1.43,0.05006
1.44,-0.09008
1.45,0.01576
1.46,0.12062
1.47,0.2245
1.48,0.3274
1.49,0.42932
1.5,0.53026
1.51,0.63022
1.52,0.7292
1.53,0.8272
1.54,0.92422
1.55,1.02026
1.56,1.11532
1.57,1.2094
1.58,1.3025
1.59,1.39462
1.6,1.48576
1.61,1.57592
1.62,1.6651
1.63,1.7533
1.64,1.84052
1.65,1.92676
1.66,2.01202
1.67,2.0963
1.68,2.1796
1.69,2.26192
1.7,2.34326
1.71,2.42362
1.72,2.503
1.73,2.5814
1.74,2.65882
1.75,2.73526
1.76,2.81072
1.77,2.8852
1.78,2.9587
1.79,3.03122
1.8,3.10276
1.81,3.17332
1.82,3.2429
1.83,3.3115
1.84,3.37912
1.85,3.44576
1.86,3.51142
1.87,3.5761
1.88,3.6398
1.89,3.70252
1.9,3.76426
1.91,3.82502
1.92,3.8848
1.93,3.9436
1.94,4.00142
1.95,4.05826
1.96,4.11412
1.97,4.169
1.98,4.2229
1.99,4.27582
2,4.32776
2.01,4.37872
2.02,4.4287
2.03,4.4777
2.04,4.52572
2.05,4.57276
2.06,4.61882
2.07,4.6639
2.08,4.708
2.09,4.75112
2.1,4.79326
2.11,4.83442
2.12,4.8746
2.13,4.9138
2.14,4.95202
2.15,4.98926
2.16,5.02552
2.17,5.0608
2.18,5.0951
2.19,5.12842
2.2,5.16076
2.21,5.19212
2.22,5.2225
2.23,5.2519
2.24,5.28032
2.25,5.30776
2.26,5.33422
2.27,5.3597
2.28,5.3842
2.29,5.40772
2.3,5.43026
2.31,5.45182
2.32,5.4724
2.33,5.492
2.34,5.51062
2.35,5.52826
2.36,5.54492
2.37,5.5606
2.38,5.5753
2.39,5.58902
2.4,5.60176
2.41,5.61352
2.42,5.6243
2.43,5.6341
2.44,5.64292
2.45,5.65076
2.46,5.65762
2.47,5.6635
2.48,5.6684
2.49,5.67232
2.5,5.67526
2.51,5.67722
2.52,5.6782
2.53,5.6782
2.54,5.67722
2.55,5.67526
2.56,5.67232
2.57,5.6684
2.58,5.6635
2.59,5.65762
2.6,5.65076
2.61,5.64292
2.62,5.6341
2.63,5.6243
2.64,5.61352
2.65,5.60176
2.66,5.58902
2.67,5.5753
2.68,5.5606
2.69,5.54492
2.7,5.52826
2.71,5.51062
2.72,5.492
2.73,5.4724
2.74,5.45182
2.75,5.43026
2.76,5.40772
2.77,5.3842
2.78,5.3597
2.79,5.33422
2.8,5.30776
2.81,5.28032
2.82,5.2519
2.83,5.2225
2.84,5.19212
2.85,5.16076
2.86,5.12842
2.87,5.0951
2.88,5.0608
2.89,5.02552
2.9,4.98926
2.91,4.95202
2.92,4.9138
2.93,4.8746
2.94,4.83442
2.95,4.79326
2.96,4.75112
2.97,4.708
2.98,4.6639
2.99,4.61882
3,4.57276
3.01,4.52572
3.02,4.4777
3.03,4.4287
3.04,4.37872
3.05,4.32776
3.06,4.27582
3.07,4.2229
3.08,4.169
3.09,4.11412
3.1,4.05826
3.11,4.00142
3.12,3.9436
3.13,3.8848
3.14,3.82502
3.15,3.76426
3.16,3.70252
3.17,3.6398
3.18,3.5761
3.19,3.51142
3.2,3.44576
3.21,3.37912
3.22,3.3115
3.23,3.2429
3.24,3.17332
3.25,3.10276
3.26,3.03122
3.27,2.9587
3.28,2.8852
3.29,2.81072
3.3,2.73526
3.31,2.65882
3.32,2.5814
3.33,2.503
3.34,2.42362
3.35,2.34326
3.36,2.26192
3.37,2.1796
3.38,2.0963
3.39,2.01202
3.4,1.92676
3.41,1.84052
3.42,1.7533
3.43,1.6651
3.44,1.57592
3.45,1.48576
3.46,1.39462
3.47,1.3025
3.48,1.2094
3.49,1.11532
3.5,1.02026
3.51,0.92422
3.52,0.8272
3.53,0.7292
3.54,0.63022
3.55,0.53026
3.56,0.42932
3.57,0.3274
3.58,0.2245
3.59,0.12062
3.6,0.01576
3.61,-0.09008
3.62,-0.009965
3.63,0.06917
3.64,0.147325
3.65,0.2245
3.66,0.300695
3.67,0.37591
3.68,0.450145
3.69,0.5234
3.7,0.595675
3.71,0.66697
3.72,0.737285
3.73,0.80662
3.74,0.874975
3.75,0.94235
3.76,1.008745
3.77,1.07416
3.78,1.138595
3.79,1.20205
3.8,1.264525
3.81,1.32602
3.82,1.386535
3.83,1.44607
3.84,1.504625
3.85,1.5622
3.86,1.618795
3.87,1.67441
3.88,1.729045
3.89,1.7827
3.9,1.835375
3.91,1.88707
3.92,1.937785
3.93,1.98752
3.94,2.036275
3.95,2.08405
3.96,2.130845
3.97,2.17666
3.98,2.221495
3.99,2.26535
4,2.308225
4.01,2.35012
4.02,2.391035
4.03,2.43097
4.04,2.469925
4.05,2.5079
4.06,2.544895
4.07,2.58091
4.08,2.615945
4.09,2.65
4.1,2.683075
4.11,2.71517
4.12,2.746285
4.13,2.77642
4.14,2.805575
4.15,2.83375
4.16,2.860945
4.17,2.88716
4.18,2.912395
4.19,2.93665
4.2,2.959925
4.21,2.98222
4.22,3.003535
4.23,3.02387
4.24,3.043225
4.25,3.0616
4.26,3.078995
4.27,3.09541
4.28,3.110845
4.29,3.1253
4.3,3.138775
4.31,3.15127
4.32,3.162785
4.33,3.17332
4.34,3.182875
4.35,3.19145
4.36,3.199045
4.37,3.20566
4.38,3.211295
4.39,3.21595
4.4,3.219625
4.41,3.22232
4.42,3.224035
4.43,3.22477
4.44,3.224525
4.45,3.2233
4.46,3.221095
4.47,3.21791
4.48,3.213745
4.49,3.2086
4.5,3.202475
4.51,3.19537
4.52,3.187285
4.53,3.17822
4.54,3.168175
4.55,3.15715
4.56,3.145145
4.57,3.13216
4.58,3.118195
4.59,3.10325
4.6,3.087325
4.61,3.07042
4.62,3.052535
4.63,3.03367
4.64,3.013825
