"Time","FMU_Interface_OUT0_Battery Charge - Battery Charge","FMU_Interface_OUT1_Current - Current","FMU_Interface_OUT2_Net Voltage - Net Voltage","FMU_Interface_OUT3_Power - Power"
0,0,0,0,0
0,0,0,0,0
0.01,91.2,-115.345,19.5768,-2.25808
0.02,91.1997,-115.344,19.5768,-2.25807
0.03,91.1994,-115.344,19.5768,-2.25807
0.04,91.199,-115.343,19.5768,-2.25806
0.05,91.1987,-115.343,19.5768,-2.25805
0.06,91.1984,-115.342,19.5769,-2.25804
0.07,91.1981,-115.342,19.5769,-2.25804
0.08,91.1978,-115.341,19.5769,-2.25803
0.09,91.1974,-115.341,19.5769,-2.25802
0.1,91.1971,-115.34,19.5769,-2.25801
0.11,91.1968,-115.339,19.577,-2.258
0.12,91.1965,-115.339,19.577,-2.258
0.13,91.1962,-115.338,19.577,-2.25799
0.14,91.1958,-115.338,19.577,-2.25798
0.15,91.1955,-115.337,19.577,-2.25797
0.16,91.1952,-115.337,19.5771,-2.25796
0.17,91.1949,-115.336,19.5771,-2.25796
0.18,91.1946,-115.336,19.5771,-2.25795
0.19,91.1942,-115.335,19.5771,-2.25794
0.2,91.1939,-115.335,19.5771,-2.25793
0.21,91.1936,-115.334,19.5772,-2.25792
0.22,91.1933,-115.334,19.5772,-2.25792
0.23,91.193,-115.333,19.5772,-2.25791
0.24,91.1926,-115.333,19.5772,-2.2579
0.25,91.1923,-115.332,19.5772,-2.25789
0.26,91.192,-115.332,19.5773,-2.25788
0.27,91.1917,-115.331,19.5773,-2.25788
0.28,91.1913,-115.331,19.5773,-2.25787
0.29,91.191,-115.33,19.5773,-2.25786
0.3,91.1907,-115.329,19.5773,-2.25785
0.31,91.1904,-115.329,19.5774,-2.25784
0.32,91.1901,-115.328,19.5774,-2.25784
0.33,91.1897,-115.328,19.5774,-2.25783
0.34,91.1894,-115.327,19.5774,-2.25782
0.35,91.1891,-115.327,19.5774,-2.25781
0.36,91.1888,-115.326,19.5775,-2.2578
0.37,91.1885,-115.326,19.5775,-2.2578
0.38,91.1881,-115.325,19.5775,-2.25779
0.39,91.1878,-115.325,19.5775,-2.25778
0.4,91.1875,-115.324,19.5775,-2.25777
0.41,91.1872,-115.324,19.5776,-2.25776
0.42,91.1869,-115.323,19.5776,-2.25776
0.43,91.1865,-115.323,19.5776,-2.25775
0.44,91.1862,-115.322,19.5776,-2.25774
0.45,91.1859,-115.322,19.5776,-2.25773
0.46,91.1856,-115.321,19.5777,-2.25772
0.47,91.1853,-115.321,19.5777,-2.25772
0.48,91.1849,-115.32,19.5777,-2.25771
0.49,91.1846,-115.319,19.5777,-2.2577
0.5,91.1843,-115.319,19.5777,-2.25769
0.51,91.184,-115.318,19.5778,-2.25768
0.52,91.1837,-115.318,19.5778,-2.25768
0.53,91.1833,-115.317,19.5778,-2.25767
0.54,91.183,-115.317,19.5778,-2.25766
0.55,91.1827,-115.316,19.5778,-2.25765
0.56,91.1824,-115.316,19.5779,-2.25764
0.57,91.1821,-115.315,19.5779,-2.25764
0.58,91.1817,-115.315,19.5779,-2.25763
0.59,91.1814,-115.314,19.5779,-2.25762
0.6,91.1811,-115.314,19.5779,-2.25761
0.61,91.1808,-115.313,19.578,-2.2576
0.62,91.1805,-115.313,19.578,-2.2576
0.63,91.1801,-115.312,19.578,-2.25759
0.64,91.1798,-115.312,19.578,-2.25758
0.65,91.1795,-115.311,19.578,-2.25757
0.66,91.1792,-115.311,19.5781,-2.25756
0.67,91.1789,-115.31,19.5781,-2.25756
0.68,91.1785,-115.309,19.5781,-2.25755
0.69,91.1782,-115.309,19.5781,-2.25754
0.7,91.1779,-115.308,19.5781,-2.25753
0.71,91.1776,-115.308,19.5782,-2.25752
0.72,91.1773,-115.307,19.5782,-2.25752
0.73,91.1769,-115.307,19.5782,-2.25751
0.74,91.1766,-115.306,19.5782,-2.2575
0.75,91.1763,-115.306,19.5782,-2.25749
0.76,91.176,-115.305,19.5783,-2.25748
0.77,91.1757,-115.305,19.5783,-2.25748
0.78,91.1753,-115.304,19.5783,-2.25747
0.79,91.175,-115.304,19.5783,-2.25746
0.8,91.1747,-115.303,19.5783,-2.25745
0.81,91.1744,-115.303,19.5784,-2.25744
0.82,91.1741,-115.302,19.5784,-2.25744
0.83,91.1737,-115.302,19.5784,-2.25743
0.84,91.1734,-115.301,19.5784,-2.25742
0.85,91.1731,-115.301,19.5784,-2.25741
0.86,91.1728,-115.3,19.5785,-2.2574
0.87,91.1725,-115.3,19.5785,-2.2574
0.88,91.1721,-115.299,19.5785,-2.25739
0.89,91.1718,-115.298,19.5785,-2.25738
0.9,91.1715,-115.298,19.5785,-2.25737
0.91,91.1712,-115.297,19.5786,-2.25736
0.92,91.1708,-115.297,19.5786,-2.25736
0.93,91.1705,-115.296,19.5786,-2.25735
0.94,91.1702,-115.296,19.5786,-2.25734
0.95,91.1699,-115.295,19.5786,-2.25733
0.96,91.1696,-115.295,19.5787,-2.25732
0.97,91.1692,-115.294,19.5787,-2.25732
0.98,91.1689,-115.294,19.5787,-2.25731
0.99,91.1686,-115.293,19.5787,-2.2573
1,91.1683,-115.293,19.5787,-2.25729
1.01,91.168,-115.292,19.5788,-2.25728
1.02,91.1676,-115.292,19.5788,-2.25728
1.03,91.1673,-115.291,19.5788,-2.25727
1.04,91.167,-115.291,19.5788,-2.25726
1.05,91.1667,-115.29,19.5788,-2.25725
1.06,91.1664,-115.29,19.5789,-2.25724
1.07,91.166,-115.289,19.5789,-2.25724
1.08,91.1657,-115.288,19.5789,-2.25723
1.09,91.1654,-115.288,19.5789,-2.25722
1.1,91.1651,-115.287,19.5789,-2.25721
1.11,91.1648,-115.287,19.579,-2.2572
