Time,In1,Out1,
0,0,2.68208e-310,
0.01,0.01,0,
0.02,0.019999,0.0001,
0.03,0.029996,0.00029999,
0.04,0.039989,0.00059995,
0.05,0.049979,0.00099984,
0.06,0.059964,0.00149963,
0.07,0.069943,0.00209927,
0.08,0.079915,0.0027987,
0.09,0.089879,0.00359785,
0.1,0.099833,0.00449664,
0.11,0.109778,0.00549497,
0.12,0.119712,0.00659275,
0.13,0.129634,0.00778987,
0.14,0.139543,0.00908621,
0.15,0.149438,0.0104816,
0.16,0.159318,0.011976,
0.17,0.169182,0.0135692,
0.18,0.17903,0.015261,
0.19,0.188859,0.0170513,
0.2,0.198669,0.0189399,
0.21,0.20846,0.0209266,
0.22,0.21823,0.0230112,
0.23,0.227978,0.0251935,
0.24,0.237703,0.0274733,
0.25,0.247404,0.0298503,
0.26,0.257081,0.0323244,
0.27,0.266731,0.0348952,
0.28,0.276356,0.0375625,
0.29,0.285952,0.040326,
0.3,0.29552,0.0431855,
0.31,0.305059,0.0461407,
0.32,0.314567,0.0491913,
0.33,0.324043,0.052337,
0.34,0.333487,0.0555774,
0.35,0.342898,0.0589123,
0.36,0.352274,0.0623413,
0.37,0.361615,0.065864,
0.38,0.37092,0.0694802,
0.39,0.380188,0.0731894,
0.4,0.389418,0.0769913,
0.41,0.398609,0.0808854,
0.42,0.40776,0.0848715,
0.43,0.416871,0.0889491,
0.44,0.425939,0.0931178,
0.45,0.434966,0.0973772,
0.46,0.443948,0.101727,
0.47,0.452886,0.106166,
0.48,0.461779,0.110695,
0.49,0.470626,0.115313,
0.5,0.479426,0.120019,
0.51,0.488177,0.124814,
0.52,0.49688,0.129695,
0.53,0.505533,0.134664,
0.54,0.514136,0.139719,
0.55,0.522687,0.144861,
0.56,0.531186,0.150088,
0.57,0.539632,0.1554,
0.58,0.548024,0.160796,
0.59,0.556361,0.166276,
0.6,0.564642,0.17184,
0.61,0.572867,0.177486,
0.62,0.581035,0.183215,
0.63,0.589145,0.189025,
0.64,0.597195,0.194917,
0.65,0.605186,0.200889,
0.66,0.613117,0.20694,
0.67,0.620986,0.213072,
0.68,0.628793,0.219281,
0.69,0.636537,0.225569,
0.7,0.644218,0.231935,
0.71,0.651834,0.238377,
0.72,0.659385,0.244895,
0.73,0.66687,0.251489,
0.74,0.674288,0.258158,
0.75,0.681639,0.264901,
0.76,0.688921,0.271717,
0.77,0.696135,0.278606,
0.78,0.703279,0.285568,
0.79,0.710353,0.2926,
0.8,0.717356,0.299704,
0.81,0.724287,0.306878,
0.82,0.731146,0.31412,
0.83,0.737931,0.321432,
0.84,0.744643,0.328811,
0.85,0.75128,0.336258,
0.86,0.757843,0.34377,
0.87,0.764329,0.351349,
0.88,0.770739,0.358992,
0.89,0.777072,0.366699,
0.9,0.783327,0.37447,
0.91,0.789504,0.382303,
0.92,0.795602,0.390199,
0.93,0.80162,0.398155,
0.94,0.807558,0.406171,
0.95,0.813416,0.414246,
0.96,0.819192,0.42238,
0.97,0.824886,0.430572,
0.98,0.830497,0.438821,
0.99,0.836026,0.447126,
1,0.841471,0.455486,
1.01,0.846832,0.463901,
1.02,0.852108,0.47237,
1.03,0.857299,0.480891,
1.04,0.862404,0.489464,
1.05,0.867423,0.498088,
1.06,0.872355,0.506762,
1.07,0.877201,0.515485,
1.08,0.881958,0.524257,
1.09,0.886627,0.533077,
1.1,0.891207,0.541943,
1.11,0.895699,0.550855,
1.12,0.9001,0.559812,
1.13,0.904412,0.568813,
1.14,0.908633,0.577857,
1.15,0.912764,0.586944,
1.16,0.916803,0.596071,
1.17,0.920751,0.605239,
1.18,0.924606,0.614447,
1.19,0.928369,0.623693,
1.2,0.932039,0.632977,
1.21,0.935616,0.642297,
1.22,0.939099,0.651653,
1.23,0.942489,0.661044,
1.24,0.945784,0.670469,
1.25,0.948985,0.679927,
1.26,0.95209,0.689417,
1.27,0.955101,0.698938,
1.28,0.958016,0.708489,
1.29,0.960835,0.718069,
1.3,0.963558,0.727677,
1.31,0.966185,0.737313,
1.32,0.968715,0.746975,
1.33,0.971148,0.756662,
1.34,0.973485,0.766373,
1.35,0.975723,0.776108,
1.36,0.977865,0.785865,
1.37,0.979908,0.795644,
1.38,0.981854,0.805443,
1.39,0.983701,0.815262,
1.4,0.98545,0.825099,
1.41,0.9871,0.834953,
1.42,0.988652,0.844824,
1.43,0.990105,0.854711,
1.44,0.991458,0.864612,
1.45,0.992713,0.874526,
1.46,0.993868,0.884453,
1.47,0.994924,0.894392,
1.48,0.995881,0.904341,
1.49,0.996738,0.9143,
1.5,0.997495,0.924268,
1.51,0.998152,0.934243,
1.52,0.99871,0.944224,
1.53,0.999168,0.954211,
1.54,0.999526,0.964203,
1.55,0.999784,0.974198,
1.56,0.999942,0.984196,
1.57,1,0.994195,
1.58,0.999958,1.0042,
1.59,0.999816,1.01419,
1.6,0.999574,1.02419,
1.61,0.999232,1.03419,
1.62,0.99879,1.04418,
1.63,0.998248,1.05417,
1.64,0.997606,1.06415,
1.65,0.996865,1.07413,
1.66,0.996024,1.0841,
1.67,0.995083,1.09406,
1.68,0.994043,1.10401,
1.69,0.992904,1.11395,
1.7,0.991665,1.12388,
1.71,0.990327,1.13379,
1.72,0.98889,1.1437,
1.73,0.987354,1.15359,
1.74,0.985719,1.16346,
1.75,0.983986,1.17332,
1.76,0.982154,1.18316,
1.77,0.980224,1.19298,
1.78,0.978197,1.20278,
1.79,0.976071,1.21256,
1.8,0.973848,1.22232,
1.81,0.971527,1.23206,
1.82,0.969109,1.24178,
1.83,0.966594,1.25147,
1.84,0.963983,1.26113,
1.85,0.961275,1.27077,
1.86,0.958471,1.28039,
1.87,0.955572,1.28997,
1.88,0.952576,1.29953,
1.89,0.949486,1.30905,
1.9,0.9463,1.31855,
1.91,0.94302,1.32801,
1.92,0.939645,1.33744,
1.93,0.936177,1.34684,
1.94,0.932615,1.3562,
1.95,0.92896,1.36552,
1.96,0.925212,1.37481,
1.97,0.921371,1.38407,
1.98,0.917438,1.39328,
1.99,0.913413,1.40245,
2,0.909297,1.41159,
2.01,0.905091,1.42068,
2.02,0.900793,1.42973,
2.03,0.896406,1.43874,
2.04,0.891929,1.4477,
2.05,0.887362,1.45662,
2.06,0.882707,1.4655,
2.07,0.877964,1.47432,
2.08,0.873133,1.4831,
2.09,0.868215,1.49184,
2.1,0.863209,1.50052,
2.11,0.858118,1.50915,
2.12,0.85294,1.51773,
2.13,0.847678,1.52626,
2.14,0.84233,1.53474,
2.15,0.836899,1.54316,
2.16,0.831383,1.55153,
2.17,0.825785,1.55984,
2.18,0.820104,1.5681,
2.19,0.814341,1.5763,
2.2,0.808496,1.58445,
2.21,0.802571,1.59253,
2.22,0.796565,1.60056,
2.23,0.79048,1.60852,
2.24,0.784316,1.61643,
2.25,0.778073,1.62427,
2.26,0.771753,1.63205,
2.27,0.765355,1.63977,
2.28,0.758881,1.64742,
2.29,0.752331,1.65501,
2.3,0.745705,1.66253,
2.31,0.739005,1.66999,
2.32,0.732231,1.67738,
2.33,0.725384,1.6847,
2.34,0.718465,1.69196,
2.35,0.711473,1.69914,
2.36,0.704411,1.70626,
2.37,0.697278,1.7133,
2.38,0.690075,1.72027,
2.39,0.682803,1.72717,
2.4,0.675463,1.734,
2.41,0.668056,1.74076,
2.42,0.660581,1.74744,
2.43,0.653041,1.75404,
2.44,0.645435,1.76057,
2.45,0.637765,1.76703,
2.46,0.630031,1.77341,
2.47,0.622234,1.77971,
2.48,0.614374,1.78593,
2.49,0.606454,1.79207,
2.5,0.598472,1.79814,
2.51,0.590431,1.80412,
2.52,0.582331,1.81003,
2.53,0.574172,1.81585,
2.54,0.565956,1.82159,
2.55,0.557684,1.82725,
2.56,0.549355,1.83283,
2.57,0.540972,1.83832,
2.58,0.532535,1.84373,
2.59,0.524044,1.84906,
2.6,0.515501,1.8543,
2.61,0.506907,1.85945,
2.62,0.498262,1.86452,
2.63,0.489567,1.8695,
2.64,0.480823,1.8744,
2.65,0.472031,1.87921,
2.66,0.463191,1.88393,
2.67,0.454306,1.88856,
2.68,0.445375,1.8931,
2.69,0.436399,1.89756,
2.7,0.42738,1.90192,
2.71,0.418318,1.90619,
2.72,0.409214,1.91038,
2.73,0.400069,1.91447,
2.74,0.390885,1.91847,
2.75,0.381661,1.92238,
2.76,0.372399,1.92619,
2.77,0.3631,1.92992,
2.78,0.353764,1.93355,
2.79,0.344393,1.93709,
2.8,0.334988,1.94053,
2.81,0.325549,1.94388,
2.82,0.316078,1.94714,
2.83,0.306575,1.9503,
2.84,0.297041,1.95336,
2.85,0.287478,1.95633,
2.86,0.277886,1.95921,
2.87,0.268266,1.96199,
2.88,0.258619,1.96467,
2.89,0.248947,1.96726,
2.9,0.239249,1.96975,
2.91,0.229528,1.97214,
2.92,0.219784,1.97443,
2.93,0.210017,1.97663,
2.94,0.20023,1.97873,
2.95,0.190423,1.98073,
2.96,0.180596,1.98264,
2.97,0.170752,1.98444,
2.98,0.16089,1.98615,
2.99,0.151013,1.98776,
3,0.14112,1.98927,
3.01,0.131213,1.99068,
3.02,0.121293,1.99199,
3.03,0.111361,1.99321,
3.04,0.101418,1.99432,
3.05,0.091465,1.99533,
3.06,0.081502,1.99625,
3.07,0.071532,1.99706,
3.08,0.061554,1.99778,
3.09,0.05157,1.99839,
3.1,0.041581,1.99891,
3.11,0.031587,1.99933,
3.12,0.021591,1.99964,
3.13,0.011592,1.99986,
3.14,0.001593,1.99997,
3.15,-0.008407,1.99999,
3.16,-0.018406,1.99991,
3.17,-0.028404,1.99972,
3.18,-0.038398,1.99944,
3.19,-0.048388,1.99905,
3.2,-0.058374,1.99857,
3.21,-0.068354,1.99799,
3.22,-0.078327,1.9973,
3.23,-0.088292,1.99652,
3.24,-0.098249,1.99564,
3.25,-0.108195,1.99465,
3.26,-0.118131,1.99357,
3.27,-0.128055,1.99239,
3.28,-0.137966,1.99111,
3.29,-0.147863,1.98973,
3.3,-0.157746,1.98825,
3.31,-0.167612,1.98667,
3.32,-0.177462,1.985,
3.33,-0.187295,1.98322,
3.34,-0.197108,1.98135,
3.35,-0.206902,1.97938,
3.36,-0.216675,1.97731,
3.37,-0.226427,1.97514,
3.38,-0.236155,1.97288,
3.39,-0.245861,1.97052,
3.4,-0.255541,1.96806,
3.41,-0.265196,1.9655,
3.42,-0.274825,1.96285,
3.43,-0.284426,1.9601,
3.44,-0.293998,1.95726,
3.45,-0.303542,1.95432,
3.46,-0.313054,1.95128,
3.47,-0.322536,1.94815,
3.48,-0.331985,1.94493,
3.49,-0.341401,1.94161,
3.5,-0.350783,1.93819,
3.51,-0.36013,1.93469,
3.52,-0.369441,1.93109,
3.53,-0.378715,1.92739,
3.54,-0.387951,1.9236,
3.55,-0.397148,1.91972,
3.56,-0.406306,1.91575,
3.57,-0.415423,1.91169,
3.58,-0.424498,1.90754,
3.59,-0.433531,1.90329,
3.6,-0.44252,1.89896,
3.61,-0.451466,1.89453,
3.62,-0.460366,1.89002,
3.63,-0.46922,1.88541,
