"time","h","v","der(h)","der(v)","v_new"
0,1,0,0,-9.81,0
0.000225,1,-0.00220725,-0.00220725,-9.81,0
0.00045,0.99999950336875,-0.0044145,-0.0044145,-9.81,0
0.000675,0.99999851010625,-0.00662175,-0.00662175,-9.81,0
0.0009,0.9999970202125,-0.008829,-0.008829,-9.81,0
0.001125,0.9999950336875,-0.01103625,-0.01103625,-9.81,0
0.00135,0.99999255053125,-0.0132435,-0.0132435,-9.81,0
0.001575,0.99998957074375,-0.01545075,-0.01545075,-9.81,0
0.0018,0.999986094325,-0.017658,-0.017658,-9.81,0
0.002025,0.999982121275,-0.01986525,-0.01986525,-9.81,0
0.00225,0.99997765159375,-0.0220725,-0.0220725,-9.81,0
0.002475,0.99997268528125,-0.02427975,-0.02427975,-9.81,0
0.0027,0.9999672223375,-0.026487,-0.026487,-9.81,0
0.002925,0.9999612627625,-0.02869425,-0.02869425,-9.81,0
0.00315,0.99995480655625,-0.0309015,-0.0309015,-9.81,0
0.003375,0.99994785371875,-0.03310875,-0.03310875,-9.81,0
0.0036,0.99994040425,-0.035316,-0.035316,-9.81,0
0.003825,0.99993245815,-0.03752325,-0.03752325,-9.81,0
0.00405,0.99992401541875,-0.0397305,-0.0397305,-9.81,0
0.004275,0.99991507605625,-0.04193775,-0.04193775,-9.81,0
0.0045,0.9999056400625,-0.044145,-0.044145,-9.81,0
0.004725,0.9998957074375,-0.04635225,-0.04635225,-9.81,0
0.00495,0.99988527818125,-0.0485595,-0.0485595,-9.81,0
0.005175,0.99987435229375,-0.05076675,-0.05076675,-9.81,0
0.0054,0.999862929775,-0.052974,-0.052974,-9.81,0
0.005625,0.999851010625,-0.05518125,-0.05518125,-9.81,0
0.00585,0.99983859484375,-0.0573885,-0.0573885,-9.81,0
0.006075,0.99982568243125,-0.05959575,-0.05959575,-9.81,0
0.0063,0.9998122733875,-0.061803,-0.061803,-9.81,0
0.006525,0.9997983677125,-0.06401025,-0.06401025,-9.81,0
0.00675,0.99978396540625,-0.0662175,-0.0662175,-9.81,0
0.006975,0.99976906646875,-0.06842475,-0.06842475,-9.81,0
0.0072,0.9997536709,-0.070632,-0.070632,-9.81,0
0.007425,0.9997377787,-0.07283925,-0.07283925,-9.81,0
0.00765,0.99972138986875,-0.0750465,-0.0750465,-9.81,0
0.007875,0.99970450440625,-0.07725375,-0.07725375,-9.81,0
0.0081,0.9996871223125,-0.079461,-0.079461,-9.81,0
0.008325,0.9996692435875,-0.08166825,-0.08166825,-9.81,0
0.00855,0.99965086823125,-0.0838755,-0.0838755,-9.81,0
0.008775,0.99963199624375,-0.08608275,-0.08608275,-9.81,0
0.009,0.999612627625,-0.08829,-0.08829,-9.81,0
0.009225,0.999592762375,-0.0904972499999999,-0.0904972499999999,-9.81,0
0.00945,0.99957240049375,-0.0927044999999999,-0.0927044999999999,-9.81,0
0.009675,0.99955154198125,-0.0949117499999999,-0.0949117499999999,-9.81,0
0.0099,0.9995301868375,-0.0971189999999999,-0.0971189999999999,-9.81,0
0.010125,0.9995083350625,-0.0993262499999999,-0.0993262499999999,-9.81,0
0.01035,0.99948598665625,-0.1015335,-0.1015335,-9.81,0
0.010575,0.99946314161875,-0.10374075,-0.10374075,-9.81,0
0.0108,0.99943979995,-0.105948,-0.105948,-9.81,0
0.011025,0.99941596165,-0.10815525,-0.10815525,-9.81,0
0.01125,0.99939162671875,-0.1103625,-0.1103625,-9.81,0
0.011475,0.99936679515625,-0.11256975,-0.11256975,-9.81,0
0.0117,0.9993414669625,-0.114777,-0.114777,-9.81,0
0.011925,0.9993156421375,-0.11698425,-0.11698425,-9.81,0
0.01215,0.99928932068125,-0.1191915,-0.1191915,-9.81,0
0.012375,0.99926250259375,-0.12139875,-0.12139875,-9.81,0
0.0126,0.999235187875,-0.123606,-0.123606,-9.81,0
0.012825,0.999207376525,-0.12581325,-0.12581325,-9.81,0
0.01305,0.99917906854375,-0.1280205,-0.1280205,-9.81,0
0.013275,0.99915026393125,-0.13022775,-0.13022775,-9.81,0
0.0135,0.9991209626875,-0.132435,-0.132435,-9.81,0
0.013725,0.9990911648125,-0.13464225,-0.13464225,-9.81,0
