time,V,X
0.00000,0.00000,2.00000
0.01000,-0.00199,2.00000
0.02000,-0.02129,1.99988
0.03000,-0.03946,1.99958
0.04000,-0.05657,1.99910
0.05000,-0.07268,1.99845
0.06000,-0.08785,1.99765
0.07000,-0.10214,1.99669
0.08000,-0.11560,1.99561
0.09000,-0.12828,1.99439
0.10000,-0.14023,1.99304
0.11000,-0.15148,1.99158
0.12000,-0.16210,1.99001
0.13000,-0.17210,1.98834
0.14000,-0.18154,1.98657
0.15000,-0.19045,1.98471
0.16000,-0.19886,1.98277
0.17000,-0.20680,1.98074
0.18000,-0.21430,1.97863
0.19000,-0.22139,1.97645
0.20000,-0.22810,1.97421
0.21000,-0.23445,1.97189
0.22000,-0.24046,1.96952
0.23000,-0.24615,1.96708
0.24000,-0.25155,1.96460
0.25000,-0.25668,1.96205
0.26000,-0.26154,1.95946
0.27000,-0.26617,1.95682
0.28000,-0.27056,1.95414
0.29000,-0.27475,1.95141
0.30000,-0.27874,1.94865
0.31000,-0.28254,1.94584
0.32000,-0.28617,1.94300
0.33000,-0.28964,1.94012
0.34000,-0.29295,1.93720
0.35000,-0.29613,1.93426
0.36000,-0.29917,1.93128
0.37000,-0.30209,1.92828
0.38000,-0.30489,1.92524
0.39000,-0.30759,1.92218
0.40000,-0.31018,1.91909
0.41000,-0.31268,1.91597
0.42000,-0.31510,1.91284
0.43000,-0.31743,1.90967
0.44000,-0.31968,1.90649
0.45000,-0.32187,1.90328
0.46000,-0.32399,1.90005
0.47000,-0.32604,1.89680
0.48000,-0.32804,1.89353
0.49000,-0.32999,1.89024
0.50000,-0.33189,1.88693
0.51000,-0.33374,1.88360
0.52000,-0.33555,1.88026
0.53000,-0.33732,1.87689
0.54000,-0.33905,1.87351
0.55000,-0.34075,1.87011
0.56000,-0.34241,1.86669
0.57000,-0.34405,1.86326
0.58000,-0.34566,1.85981
0.59000,-0.34725,1.85635
0.60000,-0.34881,1.85287
0.61000,-0.35036,1.84937
0.62000,-0.35189,1.84586
0.63000,-0.35339,1.84234
0.64000,-0.35489,1.83879
0.65000,-0.35637,1.83524
0.66000,-0.35784,1.83167
0.67000,-0.35929,1.82808
0.68000,-0.36074,1.82448
0.69000,-0.36218,1.82087
0.70000,-0.36361,1.81724
0.71000,-0.36504,1.81359
0.72000,-0.36646,1.80993
0.73000,-0.36788,1.80626
0.74000,-0.36929,1.80258
0.75000,-0.37070,1.79888
0.76000,-0.37211,1.79516
0.77000,-0.37352,1.79143
0.78000,-0.37494,1.78769
0.79000,-0.37635,1.78393
0.80000,-0.37776,1.78016
0.81000,-0.37918,1.77638
0.82000,-0.38060,1.77258
0.83000,-0.38202,1.76877
0.84000,-0.38345,1.76494
0.85000,-0.38488,1.76110
0.86000,-0.38632,1.75724
0.87000,-0.38776,1.75337
0.88000,-0.38921,1.74948
0.89000,-0.39067,1.74558
0.90000,-0.39213,1.74167
0.91000,-0.39361,1.73774
0.92000,-0.39509,1.73380
0.93000,-0.39658,1.72984
0.94000,-0.39808,1.72587
0.95000,-0.39959,1.72188
0.96000,-0.40111,1.71788
0.97000,-0.40264,1.71386
0.98000,-0.40419,1.70982
0.99000,-0.40574,1.70577
1.00000,-0.40731,1.70171
1.01000,-0.40889,1.69763
1.02000,-0.41048,1.69353
1.03000,-0.41209,1.68942
1.04000,-0.41371,1.68529
1.05000,-0.41534,1.68114
1.06000,-0.41699,1.67698
1.07000,-0.41865,1.67280
1.08000,-0.42033,1.66861
1.09000,-0.42203,1.66440
1.10000,-0.42374,1.66017
1.11000,-0.42547,1.65592
1.12000,-0.42721,1.65166
1.13000,-0.42897,1.64738
1.14000,-0.43075,1.64308
1.15000,-0.43255,1.63876
1.16000,-0.43436,1.63443
1.17000,-0.43620,1.63007
1.18000,-0.43805,1.62570
1.19000,-0.43992,1.62131
1.20000,-0.44182,1.61690
1.21000,-0.44373,1.61248
1.22000,-0.44567,1.60803
1.23000,-0.44762,1.60356
1.24000,-0.44960,1.59908
1.25000,-0.45160,1.59457
1.26000,-0.45363,1.59005
1.27000,-0.45567,1.58550
1.28000,-0.45774,1.58093
1.29000,-0.45984,1.57634
1.30000,-0.46196,1.57173
1.31000,-0.46410,1.56710
1.32000,-0.46628,1.56245
1.33000,-0.46847,1.55778
1.34000,-0.47070,1.55308
1.35000,-0.47295,1.54836
1.36000,-0.47523,1.54362
1.37000,-0.47754,1.53886
1.38000,-0.47987,1.53407
1.39000,-0.48224,1.52926
1.40000,-0.48464,1.52443
1.41000,-0.48706,1.51957
1.42000,-0.48952,1.51469
1.43000,-0.49202,1.50978
1.44000,-0.49454,1.50485
1.45000,-0.49710,1.49989
1.46000,-0.49969,1.49490
1.47000,-0.50232,1.48989
1.48000,-0.50498,1.48486
1.49000,-0.50768,1.47979
1.50000,-0.51041,1.47470
1.51000,-0.51319,1.46959
1.52000,-0.51600,1.46444
1.53000,-0.51885,1.45927
1.54000,-0.52174,1.45406
1.55000,-0.52468,1.44883
1.56000,-0.52765,1.44357
1.57000,-0.53067,1.43828
1.58000,-0.53374,1.43296
1.59000,-0.53684,1.42760
1.60000,-0.54000,1.42222
1.61000,-0.54320,1.41680
1.62000,-0.54645,1.41135
1.63000,-0.54974,1.40587
1.64000,-0.55309,1.40036
1.65000,-0.55649,1.39481
1.66000,-0.55994,1.38923
1.67000,-0.56345,1.38361
1.68000,-0.56701,1.37796
1.69000,-0.57062,1.37227
1.70000,-0.57430,1.36655
1.71000,-0.57803,1.36079
1.72000,-0.58182,1.35499
1.73000,-0.58567,1.34915
1.74000,-0.58959,1.34327
1.75000,-0.59357,1.33736
1.76000,-0.59761,1.33140
1.77000,-0.60173,1.32541
1.78000,-0.60591,1.31937
1.79000,-0.61016,1.31329
1.80000,-0.61449,1.30716
1.81000,-0.61889,1.30100
1.82000,-0.62336,1.29479
1.83000,-0.62792,1.28853
1.84000,-0.63255,1.28223
1.85000,-0.63726,1.27588
1.86000,-0.64206,1.26948
1.87000,-0.64695,1.26304
1.88000,-0.65192,1.25654
1.89000,-0.65698,1.25000
1.90000,-0.66214,1.24340
1.91000,-0.66739,1.23675
1.92000,-0.67274,1.23005
1.93000,-0.67819,1.22330
1.94000,-0.68374,1.21649
1.95000,-0.68939,1.20962
1.96000,-0.69516,1.20270
1.97000,-0.70103,1.19572
1.98000,-0.70702,1.18868
1.99000,-0.71313,1.18158
