"time","heatCapacitor_0T","switch_0Controll"
0,20,0
0.02,20.1997,0
0.04,20.3989,0
0.06,20.5975,0
0.08,20.7956,0
0.1,20.9931,0
0.12,21.1901,0
0.14,21.3865,0
0.16,21.5824,0
0.18,21.7777,0
0.2,21.9725,0
0.22,22.1668,0
0.24,22.3606,0
0.26,22.5538,0
0.28,22.7464,0
0.3,22.9386,0
0.32,23.1302,0
0.34,23.3213,0
0.36,23.5119,0
0.38,23.702,0
0.4,23.8916,0
0.42,24.0806,0
0.44,24.2692,0
0.46,24.4572,0
0.48,24.6447,0
0.5,24.8317,0
0.52,25.0182,0
0.54,25.2041,0
0.56,25.3896,0
0.58,25.5745,0
0.6,25.7589,0
0.62,25.9428,0
0.626235,26,0
0.626235,26,1
0.64,25.9917,1
0.66,25.9798,1
0.68,25.9678,1
0.7,25.9559,1
0.72,25.944,1
0.74,25.9321,1
0.76,25.9203,1
0.78,25.9084,1
0.8,25.8966,1
0.82,25.8849,1
0.84,25.8731,1
0.86,25.8614,1
0.88,25.8497,1
0.9,25.838,1
0.92,25.8263,1
0.94,25.8147,1
0.96,25.803,1
0.98,25.7914,1
1,25.7799,1
1,25.7799,1
1.02,25.7683,1
1.04,25.7568,1
1.06,25.7453,1
1.08,25.7338,1
1.1,25.7224,1
1.12,25.7109,1
1.14,25.6995,1
1.16,25.6881,1
1.18,25.6768,1
1.2,25.6654,1
1.22,25.6541,1
1.24,25.6428,1
1.26,25.6315,1
1.28,25.6203,1
1.3,25.609,1
1.32,25.5978,1
1.34,25.5866,1
1.36,25.5755,1
1.38,25.5643,1
1.4,25.5532,1
1.42,25.5421,1
1.44,25.531,1
1.46,25.52,1
1.48,25.509,1
1.5,25.4979,1
1.52,25.487,1
1.54,25.476,1
1.56,25.465,1
1.58,25.4541,1
1.6,25.4432,1
1.62,25.4324,1
1.64,25.4215,1
1.66,25.4107,1
1.68,25.3998,1
1.7,25.3891,1
1.72,25.3783,1
1.74,25.3675,1
1.76,25.3568,1
1.78,25.3461,1
1.8,25.3354,1
1.82,25.3247,1
1.84,25.3141,1
1.86,25.3035,1
1.88,25.2929,1
1.9,25.2823,1
1.92,25.2717,1
1.94,25.2612,1
1.96,25.2507,1
1.98,25.2402,1
2,25.2297,1
2,25.2297,1
2.02,25.2193,1
2.04,25.2089,1
2.06,25.1984,1
2.08,25.1881,1
2.1,25.1777,1
2.12,25.1674,1
2.14,25.157,1
2.16,25.1467,1
2.18,25.1364,1
2.2,25.1262,1
2.22,25.1159,1
2.24,25.1057,1
2.26,25.0955,1
2.2626,25.0942,1
2.2626,25.0942,0
2.28,25.2557,0
2.3,25.4409,0
2.32,25.6256,0
2.34,25.8097,0
2.36,25.9934,0
2.38,26.1766,0
2.4,26.3593,0
2.42,26.5414,0
2.44,26.7231,0
2.46,26.9043,0
2.48,27.085,0
2.5,27.2652,0
2.52,27.4449,0
2.54,27.6241,0
2.56,27.8028,0
2.58,27.9811,0
2.6,28.1589,0
2.62,28.3362,0
2.64,28.5131,0
2.66,28.6894,0
2.67308,28.8045,0
2.67308,28.8045,1
2.68,28.7984,1
2.7,28.7808,1
2.72,28.7633,1
2.74,28.7458,1
2.76,28.7283,1
2.78,28.7109,1
2.8,28.6935,1
2.82,28.6761,1
2.84,28.6587,1
2.86,28.6414,1
2.88,28.6242,1
2.9,28.607,1
2.92,28.5898,1
2.94,28.5726,1
2.96,28.5555,1
2.98,28.5384,1
3,28.5213,1
3,28.5213,1
3,28.5213,1
3.02,28.5043,1
3.04,28.4873,1
3.06,28.4703,1
3.0707,28.4613,1
3.0707,28.4613,0
3.08,28.5433,0
3.1,28.7195,0
3.12,28.8952,0
3.14,29.0705,0
3.16,29.2452,0
3.18,29.4195,0
3.2,29.5933,0
3.22,29.7666,0
3.24,29.9395,0
3.26,30.1119,0
3.28,30.2838,0
3.3,30.4553,0
3.32,30.6263,0
3.34,30.7968,0
3.36,30.9669,0
3.38,31.1365,0
3.4,31.3057,0
3.42,31.4744,0
3.44,31.6427,0
3.46,31.8106,0
3.48,31.978,0
3.5,32.1449,0
3.52,32.3114,0
3.5253,32.3554,0
3.5253,32.3554,1
3.54,32.3373,1
3.56,32.3126,1
3.58,32.288,1
3.6,32.2635,1
3.62,32.239,1
3.64,32.2145,1
3.66,32.1901,1
3.68,32.1658,1
3.7,32.1415,1
3.72,32.1172,1
3.74,32.093,1
3.76,32.0688,1
3.78,32.0447,1
3.8,32.0206,1
3.82,31.9966,1
3.84,31.9726,1
3.86,31.9487,1
3.88,31.9248,1
3.89708,31.9045,1
3.89708,31.9045,0
