"time","uDC"
0,565.685
0.0001,561.198
0.0002,558.912
0.0003,555.592
0.0004,551.926
0.0005,549.017
0.0006,545.765
0.0007,542.545
0.0008,539.355
0.0009,536.189
0.001,533.039
0.0011,529.893
0.0012,526.736
0.0013,523.552
0.0014,520.32
0.0015,517.049
0.0016,512.697
0.0017,509.36
0.0018,506.023
0.0019,503.637
0.002,500.17
0.0021,496.396
0.0022,493.685
0.0023,490.899
0.0024,487.644
0.0025,485.702
0.0026,483.183
0.0027,481.793
0.0028,480.181
0.0029,479.44
0.003,478.853
0.0031,478.823
0.0032,479.327
0.0033,480.032
0.0034,481.029
0.0035,483.063
0.0036,484.767
0.0037,487.82
0.0038,490.166
0.0039,494.113
0.004,497.002
0.0041,501.347
0.0042,505.813
0.0043,508.911
0.0044,513.202
0.0045,517.572
0.0046,522.986
0.0047,527.787
0.0048,532.064
0.0049,536.152
0.005,539.982
0.0051,543.484
0.0052,546.589
0.0053,548.57
0.0054,551.032
0.0055,552.959
0.0056,553.849
0.0057,554.474
0.0058,554.496
0.0059,553.89
0.006,552.741
0.0061,551.427
0.0062,550.002
0.0063,549.073
0.0064,547.479
0.0065,546.407
0.0066,545.414
0.0067,544.507
0.0068,543.69
0.0069,542.963
0.007,542.324
0.0071,541.766
0.0072,541.279
0.0073,540.848
0.0074,540.457
0.0075,540.086
0.0076,539.711
0.0077,539.307
0.0078,538.843
0.0079,538.377
0.008,537.912
0.0081,537.065
0.0082,536.036
0.0083,534.938
0.0084,533.437
0.0085,531.846
0.0086,529.569
0.0087,527.195
0.0088,524.505
0.0089,521.251
0.009,518.354
0.0091,514.91
0.0092,512.324
0.0093,509.922
0.0094,507.74
0.0095,505.807
0.0096,504.15
0.0097,502.789
0.0098,501.742
0.0099,501.019
0.01,500.628
0.0101,500.571
0.0102,500.843
0.0103,501.438
0.0104,502.341
0.0105,503.536
0.0106,504.999
0.0107,506.705
0.0108,508.621
0.0109,510.713
0.011,512.94
0.0111,515.261
0.0112,517.629
0.0113,519.994
0.0114,522.304
0.0115,524.505
0.0116,526.541
0.0117,528.352
0.0118,529.879
0.0119,530.583
0.012,531.595
0.0121,532.293
0.0122,532.465
0.0123,532.27
0.0124,531.69
0.0125,530.709
0.0126,529.412
0.0127,527.899
0.0128,527.13
0.0129,526.133
0.013,525.501
0.0131,524.948
0.0132,524.587
0.0133,524.424
0.0134,524.462
0.0135,524.699
0.0136,525.131
0.0137,525.747
0.0138,526.534
0.0139,527.473
0.014,528.544
0.0141,529.72
0.0142,530.972
0.0143,532.268
0.0144,533.573
0.0145,534.848
0.0146,536.051
0.0147,537.14
0.0148,538.068
0.0149,538.787
0.015,539.249
0.0151,539.403
0.0152,539.199
0.0153,538.625
0.0154,537.482
0.0155,536.194
0.0156,533.633
0.0157,532.185
0.0158,529.417
0.0159,527.403
0.016,525.066
0.0161,523.095
0.0162,521.291
0.0163,519.678
0.0164,518.277
0.0165,517.104
0.0166,516.172
0.0167,515.488
0.0168,515.055
0.0169,514.871
0.017,514.932
0.0171,515.226
0.0172,515.738
0.0173,516.451
0.0174,517.34
0.0175,518.379
0.0176,519.536
0.0177,520.779
0.0178,522.067
0.0179,523.362
0.018,524.496
0.0181,525.565
0.0182,526.97
0.0183,527.722
0.0184,528.28
0.0185,528.583
0.0186,528.669
0.0187,528.419
0.0188,527.825
0.0189,526.481
0.019,525.044
0.0191,523.816
0.0192,522.097
0.0193,520.198
0.0194,519.056
0.0195,517.46
0.0196,516.476
0.0197,515.719
0.0198,515.202
0.0199,514.934
0.02,514.92
0.0201,515.158
0.0202,515.646
0.0203,516.374
0.0204,517.328
0.0205,518.491
0.0206,519.841
0.0207,521.352
0.0208,522.994
0.0209,524.734
0.021,526.534
0.0211,528.355
0.0212,530.153
0.0213,531.881
0.0214,533.493
0.0215,534.87
0.0216,535.943
0.0217,536.783
0.0218,537.656
0.0219,537.949
0.022,537.897
0.0221,537.48
0.0222,536.536
0.0223,534.956
0.0224,533.346
0.0225,531.668
0.0226,529.803
0.0227,527.685
0.0228,525.746
0.0229,524.422
0.023,523.109
0.0231,521.992
0.0232,521.085
0.0233,520.398
0.0234,519.934
0.0235,519.696
0.0236,519.68
0.0237,519.877
0.0238,520.276
0.0239,520.861
0.024,521.61
0.0241,522.5
0.0242,523.503
0.0243,524.587
0.0244,525.717
0.0245,526.855
0.0246,527.96
0.0247,528.988
0.0248,529.893
0.0249,530.627
0.025,531.141
0.0251,531.383
0.0252,531.353
0.0253,530.967
0.0254,530.247
0.0255,529.171
0.0256,527.716
0.0257,525.882
0.0258,524.07
0.0259,521.814
0.026,520.245
0.0261,518.663
0.0262,517.269
0.0263,516.086
0.0264,515.133
0.0265,514.424
0.0266,513.969
0.0267,513.774
0.0268,513.838
0.0269,514.159
0.027,514.727
0.0271,515.441
0.0272,516.735
0.0273,517.733
0.0274,519.255
0.0275,520.945
0.0276,522.143
0.0277,524.012
0.0278,525.73
0.0279,527.438
0.028,529.094
0.0281,530.652
0.0282,532.063
0.0283,533.563
0.0284,534.381
0.0285,535.041
0.0286,535.253
0.0287,535.083
0.0288,534.505
0.0289,533.711
0.029,532.377
0.0291,530.848
0.0292,528.912
0.0293,526.827
0.0294,525.175
0.0295,523.469
0.0296,522.222
0.0297,521.171
0.0298,520.331
0.0299,519.712
0.03,519.321
0.0301,519.159
0.0302,519.224
0.0303,519.51
0.0304,520.005
0.0305,520.693
0.0306,521.556
0.0307,522.569
0.0308,523.706
0.0309,524.935
0.031,526.222
0.0311,527.53
0.0312,528.818
0.0313,530.042
0.0314,531.157
0.0315,532.115
0.0316,532.866
0.0317,533.359
0.0318,533.542
0.0319,533.481
0.032,532.992
0.0321,531.89
0.0322,530.578
0.0323,528.872
0.0324,527.751
0.0325,525.631
0.0326,523.914
0.0327,521.992
0.0328,520.258
0.0329,518.866
0.033,517.683
0.0331,516.724
0.0332,516.004
0.0333,515.531
0.0334,515.309
0.0335,515.338
0.0336,515.612
0.0337,516.123
0.0338,516.857
0.0339,517.795
0.034,518.916
0.0341,520.194
0.0342,521.598
0.0343,523.095
0.0344,524.648
0.0345,526.217
0.0346,527.757
0.0347,529.224
0.0348,530.569
0.0349,531.741
0.035,532.69
0.0351,533.36
0.0352,533.659
0.0353,533.703
0.0354,533.269
0.0355,532.482
0.0356,531.295
0.0357,529.7
0.0358,528.078
0.0359,526.399
0.036,524.372
0.0361,522.543
0.0362,521.455
0.0363,520.257
0.0364,519.265
0.0365,518.495
0.0366,517.957
0.0367,517.656
0.0368,517.594
0.0369,517.767
0.037,518.167
0.0371,518.784
0.0372,519.601
0.0373,520.596
0.0374,521.747
0.0375,523.025
0.0376,524.398
0.0377,525.83
0.0378,527.283
0.0379,528.717
0.038,530.085
0.0381,531.342
0.0382,532.439
0.0383,533.325
0.0384,533.949
0.0385,534.256
0.0386,534.225
0.0387,533.729
0.0388,532.887
0.0389,531.884
0.039,530.311
0.0391,528.453
0.0392,526.426
0.0393,524.275
0.0394,522.581
0.0395,521.311
0.0396,519.967
0.0397,518.828
0.0398,517.911
0.0399,517.227
0.04,516.783
0.0401,516.584
0.0402,516.627
0.0403,516.908
0.0404,517.415
0.0405,518.135
0.0406,519.048
0.0407,520.133
0.0408,521.362
0.0409,522.705
0.041,524.127
0.0411,525.592
0.0412,527.059
0.0413,528.484
0.0414,529.822
0.0415,531.024
0.0416,532.04
0.0417,532.818
0.0418,533.305
0.0419,533.451
0.042,533.223
0.0421,532.492
0.0422,531.526
0.0423,530.214
0.0424,528.735
0.0425,526.505
0.0426,524.368
0.0427,523.043
0.0428,521.242
0.0429,520.06
0.043,518.937
0.0431,518.032
0.0432,517.359
0.0433,516.926
0.0434,516.736
0.0435,516.788
0.0436,517.078
0.0437,517.595
0.0438,518.327
0.0439,519.254
0.044,520.355
0.0441,521.604
0.0442,522.97
0.0443,524.419
0.0444,525.916
0.0445,527.42
0.0446,528.887
0.0447,530.272
0.0448,531.527
0.0449,532.603
0.045,533.447
0.0451,534.007
0.0452,534.209
0.0453,534.14
0.0454,533.578
0.0455,532.488
0.0456,531.118
0.0457,529.337
0.0458,528.016
0.0459,526.114
0.046,524.361
0.0461,522.44
0.0462,521.292
0.0463,520.024
0.0464,518.963
0.0465,518.126
0.0466,517.521
0.0467,517.157
0.0468,517.034
0.0469,517.15
0.047,517.497
0.0471,518.066
0.0472,518.84
0.0473,519.798
0.0474,520.918
0.0475,522.172
0.0476,523.528
0.0477,524.95
0.0478,526.402
0.0479,527.841
0.048,529.224
0.0481,530.504
0.0482,531.632
0.0483,532.558
0.0484,533.229
0.0485,533.593
0.0486,533.609
0.0487,533.165
0.0488,532.372
0.0489,531.413
0.049,529.897
0.0491,527.946
0.0492,525.938
0.0493,524.405
0.0494,522.693
0.0495,520.926
0.0496,519.639
0.0497,518.559
0.0498,517.702
0.0499,517.08
0.05,516.7
0.0501,516.564
0.0502,516.671
0.0503,517.014
0.0504,517.582
0.0505,518.36
0.0506,519.33
0.0507,520.468
0.0508,521.746
0.0509,523.134
0.051,524.597
0.0511,526.096
0.0512,527.593
0.0513,529.041
0.0514,530.396
0.0515,531.608
0.0516,532.627
0.0517,533.401
0.0518,533.877
0.0519,534.008
0.052,533.772
0.0521,533.236
0.0522,532.025
0.0523,530.972
0.0524,529.289
0.0525,527.046
0.0526,524.889
0.0527,523.549
0.0528,521.722
0.0529,520.517
0.053,519.367
0.0531,518.434
0.0532,517.729
0.0533,517.262
0.0534,517.037
0.0535,517.052
0.0536,517.304
0.0537,517.782
0.0538,518.473
0.0539,519.359
0.054,520.418
0.0541,521.625
0.0542,522.949
0.0543,524.356
0.0544,525.812
0.0545,527.274
0.0546,528.701
0.0547,530.047
0.0548,531.265
0.0549,532.305
0.055,533.114
0.0551,533.642
0.0552,533.819
0.0553,533.727
0.0554,533.143
0.0555,532.23
0.0556,530.917
0.0557,529.199
0.0558,527.556
0.0559,525.654
0.056,523.903
0.0561,521.988
0.0562,520.846
0.0563,519.587
0.0564,518.537
0.0565,517.712
0.0566,517.123
0.0567,516.776
0.0568,516.673
0.0569,516.81
0.057,517.182
0.0571,517.776
0.0572,518.577
0.0573,519.565
0.0574,520.716
0.0575,522.002
0.0576,523.391
0.0577,524.849
0.0578,526.337
0.0579,527.813
0.058,529.234
0.0581,530.553
0.0582,531.72
0.0583,532.686
0.0584,533.398
0.0585,533.802
0.0586,533.852
0.0587,533.439
0.0588,532.669
0.0589,531.728
0.059,530.23
0.0591,528.44
0.0592,526.573
0.0593,524.732
0.0594,523.025
0.0595,521.263
0.0596,519.977
0.0597,518.898
0.0598,518.04
0.0599,517.415
0.06,517.03
0.0601,516.887
0.0602,516.985
0.0603,517.318
0.0604,517.874
0.0605,518.638
0.0606,519.591
0.0607,520.711
0.0608,521.969
0.0609,523.334
0.061,524.773
0.0611,526.248
0.0612,527.716
0.0613,529.136
0.0614,530.46
0.0615,531.64
0.0616,532.626
0.0617,533.366
0.0618,533.806
0.0619,533.908
0.062,533.646
0.0621,533.129
0.0622,531.853
0.0623,530.483
0.0624,529.054
0.0625,526.865
0.0626,524.697
0.0627,523.35
0.0628,521.514
0.0629,520.304
0.063,519.148
0.0631,518.209
0.0632,517.501
0.0633,517.032
0.0634,516.805
0.0635,516.82
0.0636,517.073
0.0637,517.554
0.0638,518.25
0.0639,519.142
0.064,520.209
0.0641,521.425
0.0642,522.76
0.0643,524.181
0.0644,525.65
0.0645,527.129
0.0646,528.573
0.0647,529.939
0.0648,531.178
0.0649,532.239
0.065,533.073
0.0651,533.625
0.0652,533.825
0.0653,533.751
0.0654,533.188
0.0655,532.291
0.0656,530.994
0.0657,529.292
0.0658,527.625
0.0659,525.731
0.066,523.989
0.0661,522.083
0.0662,520.947
0.0663,519.695
0.0664,518.652
0.0665,517.834
0.0666,517.251
0.0667,516.909
0.0668,516.81
0.0669,516.951
0.067,517.325
0.0671,517.921
0.0672,518.723
0.0673,519.71
0.0674,520.859
0.0675,522.142
0.0676,523.528
0.0677,524.98
0.0678,526.462
0.0679,527.93
0.068,529.342
0.0681,530.651
0.0682,531.806
0.0683,532.759
0.0684,533.457
0.0685,533.846
0.0686,533.882
0.0687,533.457
0.0688,532.677
0.0689,531.727
0.069,530.219
0.0691,528.443
0.0692,526.257
0.0693,524.727
0.0694,523.015
0.0695,521.246
0.0696,519.953
0.0697,518.866
0.0698,518.001
0.0699,517.369
0.07,516.977
0.0701,516.828
0.0702,516.92
0.0703,517.247
0.0704,517.797
0.0705,518.557
0.0706,519.507
0.0707,520.623
0.0708,521.879
0.0709,523.243
0.071,524.682
0.0711,526.157
0.0712,527.627
0.0713,529.049
0.0714,530.377
0.0715,531.562
0.0716,532.554
0.0717,533.301
0.0718,533.749
0.0719,533.858
0.072,533.602
0.0721,533.09
0.0722,531.823
0.0723,530.461
0.0724,529.044
0.0725,526.832
0.0726,524.669
0.0727,523.325
0.0728,521.494
0.0729,520.288
0.073,519.136
0.0731,518.202
0.0732,517.499
0.0733,517.034
0.0734,516.811
0.0735,516.831
0.0736,517.089
0.0737,517.574
0.0738,518.274
0.0739,519.17
0.074,520.241
0.0741,521.46
0.0742,522.798
0.0743,524.222
0.0744,525.694
0.0745,527.174
0.0746,528.621
0.0747,529.987
0.0748,531.227
0.0749,532.289
0.075,533.122
0.0751,533.674
0.0752,533.872
0.0753,533.798
0.0754,533.233
0.0755,532.335
0.0756,531.036
0.0757,529.332
0.0758,527.669
0.0759,525.774
0.076,524.029
0.0761,522.121
0.0762,520.983
0.0763,519.729
0.0764,518.683
0.0765,517.862
0.0766,517.276
0.0767,516.931
0.0768,516.829
0.0769,516.966
0.077,517.337
0.0771,517.929
0.0772,518.727
0.0773,519.711
0.0774,520.857
0.0775,522.137
0.0776,523.519
0.0777,524.968
0.0778,526.446
0.0779,527.912
0.078,529.32
0.0781,530.626
0.0782,531.779
0.0783,532.73
0.0784,533.425
0.0785,533.812
0.0786,533.846
0.0787,533.42
0.0788,532.639
0.0789,531.688
0.079,530.179
0.0791,528.404
0.0792,526.218
0.0793,524.688
0.0794,522.976
0.0795,521.208
0.0796,519.916
0.0797,518.83
0.0798,517.967
0.0799,517.336
0.08,516.946
0.0801,516.799
0.0802,516.893
0.0803,517.222
0.0804,517.776
0.0805,518.538
0.0806,519.49
0.0807,520.61
0.0808,521.868
0.0809,523.236
0.081,524.677
0.0811,526.155
0.0812,527.629
0.0813,529.054
0.0814,530.385
0.0815,531.573
0.0816,532.568
0.0817,533.318
0.0818,533.769
0.0819,533.88
0.082,533.626
0.0821,533.115
0.0822,531.848
0.0823,530.485
0.0824,529.072
0.0825,526.861
0.0826,524.698
0.0827,523.355
0.0828,521.524
0.0829,520.317
0.083,519.165
0.0831,518.231
0.0832,517.527
0.0833,517.062
0.0834,516.839
0.0835,516.858
0.0836,517.114
0.0837,517.599
0.0838,518.297
0.0839,519.192
0.084,520.261
0.0841,521.478
0.0842,522.814
0.0843,524.236
0.0844,525.705
0.0845,527.184
0.0846,528.628
0.0847,529.992
0.0848,531.228
0.0849,532.287
0.085,533.118
0.0851,533.666
0.0852,533.862
0.0853,533.786
0.0854,533.219
0.0855,532.319
0.0856,531.019
0.0857,529.313
0.0858,527.652
0.0859,525.756
0.086,524.011
0.0861,522.102
0.0862,520.964
0.0863,519.709
0.0864,518.663
0.0865,517.842
0.0866,517.256
0.0867,516.91
0.0868,516.808
0.0869,516.946
0.087,517.317
0.0871,517.91
0.0872,518.709
0.0873,519.693
0.0874,520.84
0.0875,522.12
0.0876,523.504
0.0877,524.954
0.0878,526.434
0.0879,527.901
0.088,529.311
0.0881,530.618
0.0882,531.774
0.0883,532.726
0.0884,533.424
0.0885,533.813
0.0886,533.849
0.0887,533.424
0.0888,532.645
0.0889,531.696
0.089,530.188
0.0891,528.411
0.0892,526.225
0.0893,524.696
0.0894,522.984
0.0895,521.217
0.0896,519.926
0.0897,518.841
0.0898,517.978
0.0899,517.348
0.09,516.959
0.0901,516.812
0.0902,516.907
0.0903,517.236
0.0904,517.789
0.0905,518.552
0.0906,519.504
0.0907,520.623
0.0908,521.881
0.0909,523.248
0.091,524.689
0.0911,526.167
0.0912,527.639
0.0913,529.064
0.0914,530.394
0.0915,531.581
0.0916,532.574
0.0917,533.322
0.0918,533.772
0.0919,533.882
0.092,533.627
0.0921,533.115
0.0922,531.847
0.0923,530.483
0.0924,529.071
0.0925,526.859
0.0926,524.696
0.0927,523.352
0.0928,521.521
0.0929,520.313
0.093,519.161
0.0931,518.227
0.0932,517.522
0.0933,517.056
0.0934,516.833
0.0935,516.852
0.0936,517.108
0.0937,517.591
0.0938,518.29
0.0939,519.184
0.094,520.253
0.0941,521.471
0.0942,522.807
0.0943,524.228
0.0944,525.698
0.0945,527.176
0.0946,528.62
0.0947,529.985
0.0948,531.222
0.0949,532.282
0.095,533.112
0.0951,533.662
0.0952,533.858
0.0953,533.783
0.0954,533.216
0.0955,532.316
0.0956,531.017
0.0957,529.312
0.0958,527.65
0.0959,525.754
0.096,524.009
0.0961,522.101
0.0962,520.963
0.0963,519.708
0.0964,518.663
0.0965,517.842
0.0966,517.256
0.0967,516.911
0.0968,516.81
0.0969,516.948
0.097,517.319
0.0971,517.913
0.0972,518.712
0.0973,519.696
0.0974,520.843
0.0975,522.124
0.0976,523.508
0.0977,524.958
0.0978,526.438
0.0979,527.905
0.098,529.316
0.0981,530.623
0.0982,531.778
0.0983,532.73
0.0984,533.428
0.0985,533.817
0.0986,533.853
0.0987,533.428
0.0988,532.649
0.0989,531.699
0.099,530.191
0.0991,528.415
0.0992,526.229
0.0993,524.699
0.0994,522.988
0.0995,521.22
0.0996,519.929
0.0997,518.843
0.0998,517.98
0.0999,517.35
0.1,517.029
