"time","T2","freqHz","clutch3.phi_rel","J1.phi","clutch2.w_rel","clutch1.phi_rel","clutch2.phi_rel","clutch1.w_rel","clutch3.w_rel","J1.w"
0.00000000000000E+00,4.00000000000000E-01,2.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E+01,0.00000000000000E+00,1.00000000000000E+01
1.00000000000000E-02,4.00000000000000E-01,2.00000000000000E-01,0.00000000000000E+00,9.95520989416401E-02,-9.99978360183167E-02,-9.90521041706116E-02,-4.99994771028451E-04,-9.81558057642296E+00,0.00000000000000E+00,9.91557841244127E+00
2.00000000000000E-02,4.00000000000000E-01,2.00000000000000E-01,0.00000000000000E+00,1.98410861261370E-01,-1.99980882064937E-01,-1.96410953190913E-01,-1.99990807045670E-03,-9.66084294961457E+00,0.00000000000000E+00,9.86082383167951E+00
3.00000000000000E-02,4.00000000000000E-01,2.00000000000000E-01,0.00000000000000E+00,2.96852884169401E-01,-2.99933350107952E-01,-2.92353372922313E-01,-4.49951124708816E-03,-9.53135913266206E+00,0.00000000000000E+00,9.83129248277001E+00
4.00000000000000E-02,4.00000000000000E-01,2.00000000000000E-01,0.00000000000000E+00,3.95097952185785E-01,-3.99839455809788E-01,-3.87099531634854E-01,-7.99842055093137E-03,-9.42028773520184E+00,0.00000000000000E+00,9.82012719101163E+00
5.00000000000000E-02,4.00000000000000E-01,2.00000000000000E-01,0.00000000000000E+00,4.93287811818696E-01,-4.99683423014464E-01,-4.80791718649606E-01,-1.24960931690907E-02,-9.31895664450027E+00,0.00000000000000E+00,9.81864006751474E+00
6.00000000000000E-02,4.00000000000000E-01,2.00000000000000E-01,0.00000000000000E+00,5.91471257907125E-01,-5.99449485052769E-01,-5.73479428747957E-01,-1.79918291591683E-02,-9.21779096240132E+00,0.00000000000000E+00,9.81724044745409E+00
7.00000000000000E-02,4.00000000000000E-01,2.00000000000000E-01,0.00000000000000E+00,6.89600668683612E-01,-6.99121887620998E-01,-6.65115897936898E-01,-2.44847707467142E-02,-9.10717805547386E+00,0.00000000000000E+00,9.80629994309486E+00
8.00000000000000E-02,4.00000000000000E-01,2.00000000000000E-01,0.00000000000000E+00,7.87536593423601E-01,-7.98684891636782E-01,-7.55562691187391E-01,-3.19739022362095E-02,-8.97848362594639E+00,0.00000000000000E+00,9.77716851758317E+00
9.00000000000000E-02,4.00000000000000E-01,2.00000000000000E-01,0.00000000000000E+00,8.85060233937306E-01,-8.98122774559311E-01,-8.44602182510786E-01,-4.04580514265195E-02,-8.82481679310141E+00,0.00000000000000E+00,9.72293956766072E+00
