"time","J4_w1","J3_w1","J2_w1","J1_w1"
0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+01
1.00000031717046E-11,0.00000000000000E+00,0.00000000000000E+00,1.00000000010341E-10,9.99999999990000E+00
1.00000031717046E-11,0.00000000000000E+00,0.00000000000000E+00,1.00000000010341E-10,9.99999999990000E+00
1.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,9.07054144382761E-02,9.92212354197103E+00
2.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,1.99162705894449E-01,9.86107552963199E+00
3.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,2.85903708566723E-01,9.83397600283147E+00
4.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,3.72611465265350E-01,9.82153108474465E+00
5.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,4.73168333817254E-01,9.81834683806498E+00
6.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,5.73650451255553E-01,9.81787307087641E+00
7.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,6.74041713656336E-01,9.81019402716218E+00
8.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,7.74326067458119E-01,9.78614035472678E+00
9.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,8.76981958580069E-01,9.73662147387801E+00
1.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,9.79491410278904E-01,9.65643786832677E+00
1.10000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.08183718095854E+00,9.54328641553197E+00
1.20000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.13294330537552E+00,9.47457590424203E+00
1.30000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.21878952586735E+00,9.34233048127438E+00
1.40000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.39003912789861E+00,9.02913805153855E+00
1.50000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.47542213998688E+00,8.85871831526164E+00
1.60000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.56063041177337E+00,8.68729756442085E+00
1.70000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.64565380824655E+00,8.52124954404915E+00
1.80000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.73048221633815E+00,8.36656563471615E+00
1.90000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.81510554612525E+00,8.22841742735170E+00
2.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.89951373207795E+00,8.11077198410298E+00
2.10000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,2.06764453960372E+00,7.94517290237239E+00
2.20000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,2.15134716289599E+00,7.89705046475880E+00
2.30000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,2.23479464815463E+00,7.86910977610948E+00
2.40000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,2.31797706972659E+00,7.85726027567653E+00
