"time","temperatureSensor.T"
0.000000,20.000000
0.004880,20.048811
0.024410,20.243726
0.122070,21.210396
0.222070,22.186777
0.322070,23.149723
0.422070,24.099446
0.522070,25.036155
0.622070,25.960052
0.626390,25.999693
0.631270,25.997091
0.650810,25.985389
0.748460,25.927223
0.848460,25.868246
0.948460,25.809856
1.048460,25.752047
1.148460,25.694813
1.248460,25.638149
1.348460,25.582048
1.448460,25.526506
1.548460,25.471516
1.648460,25.417074
1.748460,25.363173
1.848460,25.309809
1.948460,25.256975
2.000000,25.229952
2.004880,25.227399
2.024410,25.217199
2.122070,25.166498
2.222070,25.115090
2.262650,25.094386
2.267530,25.139755
2.287070,25.320926
2.362640,26.017394
2.462640,26.927898
2.562640,27.825998
2.662640,28.711885
2.673240,28.805063
2.678120,28.800973
2.697650,28.783800
2.795310,28.698438
2.895310,28.611887
2.995310,28.526198
3.070860,28.462024
3.075740,28.504935
3.095270,28.677102
3.192930,29.531080
3.292930,30.393841
3.392930,31.244931
3.492930,32.084527
3.525610,32.356444
3.530490,32.351029
3.550020,32.326930
3.629420,32.229446
3.729420,32.107761
3.829420,31.987287
3.897390,31.906084
3.902270,31.946401
3.921810,32.109423
4.019460,32.918086
4.119460,33.735141
4.219460,34.541215
4.319460,35.336472
4.408350,36.034387
4.413230,36.027579
4.432760,35.996305
4.530420,35.840852
4.630420,35.683233
4.730420,35.527182
4.756630,35.486542
4.761510,35.524006
4.781040,35.677587
4.878700,36.439461
4.978700,37.209310
5.078700,37.968881
5.178700,38.718324
5.278700,39.457789
5.343160,39.929266
5.348040,39.921237
5.367580,39.882366
5.465230,39.689148
5.565230,39.493237
5.665230,39.299276
5.669560,39.290924
5.674440,39.325226
5.693970,39.468846
5.791630,40.181347
5.891630,40.901372
5.991630,41.611849
6.091630,42.312916
6.191630,43.004710
6.291630,43.687364
6.366670,44.193709
6.371550,44.184600
6.391090,44.137411
6.488740,43.902841
6.588740,43.665004
6.672040,43.468705
6.676920,43.499297
6.696450,43.632060
6.794110,44.290732
6.894110,44.956426
6.994110,45.613355
7.094110,46.261644
7.194110,46.901417
7.294110,47.532796
7.394110,48.155898
7.494110,48.770841
7.556860,49.152641
7.561750,49.142936
7.581280,49.086072
7.678930,48.803411
7.778930,48.516812
7.840910,48.340609
7.845800,48.366251
7.865330,48.486454
7.962980,49.082853
8.000000,49.306916
8.004880,49.336391
8.024410,49.454103
8.115290,49.997816
8.215290,50.588691
8.285520,50.999046
8.290400,50.985375
8.309930,50.924916
8.407590,50.624385
8.507590,50.319667
8.607590,50.017981
8.707590,49.719297
8.807590,49.423586
8.907590,49.130816
8.952420,49.000503
8.957300,49.028619
8.976830,49.147120
9.067460,49.693005
9.167460,50.287858
9.267460,50.874950
9.288750,50.998974
9.293640,50.985413
9.313170,50.924954
9.410820,50.624422
9.510820,50.319704
9.610820,50.018018
9.710820,49.719334
9.810820,49.423622
9.910820,49.130852
9.955660,49.000536
9.960540,49.028550
9.980070,49.147052
10.000000,49.267643
