"time","'tempc@tpf_0st_0chamber'","'press@tpf_0st_0chamber'","'out2@division'","'tau@tpf_0st_0chamber'","'dm2@tpf_0pump'","'torque@expseu_0'"
0,19.904,0.02337,0.24,25,0.130321,0
0.1,19.904,0.02337,0.24,25,0.130321,0
0.1,20.2064,0.0238114,0.240846,25.0846,0.130355,0
0.2,20.2064,0.0238114,0.240846,25.0846,0.130355,0
0.2,21.0755,0.025121,0.24172,25.172,0.130389,0.576008
0.3,21.0755,0.025121,0.24172,25.172,0.130389,0.576008
0.3,21.9403,0.026486,0.242597,25.2597,0.130422,0.593643
0.4,21.9403,0.026486,0.242597,25.2597,0.130422,0.593643
0.4,22.8015,0.0279091,0.243476,25.3476,0.130456,0.611516
0.5,22.8015,0.0279091,0.243476,25.3476,0.130456,0.611516
0.5,23.6535,0.0293821,0.244343,25.4343,0.124295,0.629485
0.6,23.6535,0.0293821,0.244343,25.4343,0.124295,0.629485
0.6,24.4823,0.0308795,0.245158,25.5158,0.115816,0.647197
0.7,24.4823,0.0308795,0.245158,25.5158,0.115816,0.647197
0.7,25.2894,0.0324014,0.245922,25.5922,0.107873,0.664651
0.8,25.2894,0.0324014,0.245922,25.5922,0.107873,0.664651
0.8,26.0767,0.0339483,0.246637,25.6637,0.100431,0.681859
0.9,26.0767,0.0339483,0.246637,25.6637,0.100431,0.681859
0.9,26.8457,0.0355209,0.247306,25.7306,0.0934612,0.69883
1,26.8457,0.0355209,0.247306,25.7306,0.0934612,0.69883
1,27.5978,0.0371198,0.247933,25.7933,0.0869326,0.715574
1.1,27.5978,0.0371198,0.247933,25.7933,0.0869326,0.715574
1.1,28.3343,0.0387458,0.24852,25.852,0.0808166,0.732101
1.2,28.3343,0.0387458,0.24852,25.852,0.0808166,0.732101
1.2,29.0563,0.0403996,0.24907,25.907,0.0750856,0.748416
1.3,29.0563,0.0403996,0.24907,25.907,0.0750856,0.748416
1.3,29.765,0.0420822,0.249585,25.9585,0.0697177,0.764531
1.4,29.765,0.0420822,0.249585,25.9585,0.0697177,0.764531
1.4,30.4616,0.0437948,0.250067,26.0067,0.0646895,0.780454
1.5,30.4616,0.0437948,0.250067,26.0067,0.0646895,0.780454
1.5,31.1468,0.0455383,0.250519,26.0519,0.0599799,0.796193
1.6,31.1468,0.0455383,0.250519,26.0519,0.0599799,0.796193
1.6,31.8216,0.0473139,0.250942,26.0942,0.0555685,0.811755
1.7,31.8216,0.0473139,0.250942,26.0942,0.0555685,0.811755
1.7,32.4868,0.0491226,0.251338,26.1338,0.0514363,0.827147
1.8,32.4868,0.0491226,0.251338,26.1338,0.0514363,0.827147
1.8,33.1432,0.0509657,0.251708,26.1708,0.0475652,0.842375
1.9,33.1432,0.0509657,0.251708,26.1708,0.0475652,0.842375
1.9,33.7914,0.0528444,0.252056,26.2056,0.043939,0.857445
2,33.7914,0.0528444,0.252056,26.2056,0.043939,0.857445
2,34.4322,0.0547603,0.252381,26.2381,0.0405451,0.872367
2.1,34.4322,0.0547603,0.252381,26.2381,0.0405451,0.872367
2.1,35.066,0.0567139,0.252685,26.2685,0.0373623,0.887134
2.2,35.066,0.0567139,0.252685,26.2685,0.0373623,0.887134
2.2,35.6935,0.0587075,0.25297,26.297,0.0343833,0.901761
2.3,35.6935,0.0587075,0.25297,26.297,0.0343833,0.901761
2.3,36.3151,0.0607418,0.253237,26.3237,0.0315921,0.916247
2.4,36.3151,0.0607418,0.253237,26.3237,0.0315921,0.916247
2.4,36.9314,0.0628184,0.253487,26.3487,0.0289766,0.930593
2.5,36.9314,0.0628184,0.253487,26.3487,0.0289766,0.930593
2.5,37.5427,0.0649385,0.253722,26.3722,0.0265252,0.944802
2.6,37.5427,0.0649385,0.253722,26.3722,0.0265252,0.944802
2.6,38.1491,0.0671025,0.253941,26.3941,0.0242246,0.958866
2.7,38.1491,0.0671025,0.253941,26.3941,0.0242246,0.958866
2.7,38.7513,0.0693128,0.254147,26.4147,0.0220683,0.972793
2.8,38.7513,0.0693128,0.254147,26.4147,0.0220683,0.972793
2.8,39.3496,0.0715708,0.25434,26.434,0.0200464,0.986585
2.9,39.3496,0.0715708,0.25434,26.434,0.0200464,0.986585
2.9,39.9443,0.0738778,0.254521,26.4521,0.0181506,1.00024
3,39.9443,0.0738778,0.254521,26.4521,0.0181506,1.00024
3,40.5357,0.0762355,0.254691,26.4691,0.0163726,1.01376
3.1,40.5357,0.0762355,0.254691,26.4691,0.0163726,1.01376
3.1,41.1244,0.0786463,0.25485,26.485,0.0147072,1.02714
3.2,41.1244,0.0786463,0.25485,26.485,0.0147072,1.02714
3.2,41.71,0.0811096,0.254999,26.4999,0.0131428,1.04038
3.3,41.71,0.0811096,0.254999,26.4999,0.0131428,1.04038
3.3,42.2931,0.0836279,0.255139,26.5139,0.011675,1.05347
3.4,42.2931,0.0836279,0.255139,26.5139,0.011675,1.05347
3.4,42.8739,0.0862029,0.25527,26.5271,0.0102974,1.06642
3.5,42.8739,0.0862029,0.25527,26.5271,0.0102974,1.06642
3.5,43.4525,0.088836,0.255394,26.5394,0.00900419,1.07921
3.6,43.4525,0.088836,0.255394,26.5394,0.00900419,1.07921
3.6,44.0292,0.0915289,0.255509,26.5509,0.00778991,1.09186
3.7,44.0292,0.0915289,0.255509,26.5509,0.00778991,1.09186
3.7,44.6042,0.0942832,0.255618,26.5618,0.00664942,1.10434
3.8,44.6042,0.0942832,0.255618,26.5618,0.00664942,1.10434
3.8,45.1775,0.0971004,0.25572,26.572,0.00557794,1.11665
3.9,45.1775,0.0971004,0.25572,26.572,0.00557794,1.11665
3.9,45.7494,0.0999822,0.255816,26.5816,0.00457096,1.1288
4,45.7494,0.0999822,0.255816,26.5816,0.00457096,1.1288
4,46.3199,0.10293,0.255906,26.5906,0.00362407,1.14077
4.1,46.3199,0.10293,0.255906,26.5906,0.00362407,1.14077
4.1,46.8893,0.105946,0.25599,26.599,0.0027319,1.15256
4.2,46.8893,0.105946,0.25599,26.599,0.0027319,1.15256
4.2,47.4575,0.109032,0.25607,26.607,0.00188424,1.16417
4.3,47.4575,0.109032,0.25607,26.607,0.00188424,1.16417
4.3,48.0248,0.112188,0.256145,26.6145,0.0010627,1.17557
4.4,48.0248,0.112188,0.256145,26.6145,0.0010627,1.17557
4.4,48.5911,0.115418,0.256215,26.6215,0.000302768,1.18677
4.5,48.5911,0.115418,0.256215,26.6215,0.000302768,1.18677
4.5,49.157,0.118724,0.256281,26.6281,0,1.19777
4.6,49.157,0.118724,0.256281,26.6281,0,1.19777
4.6,49.7229,0.122111,0.256348,26.6348,0,1.20856
4.7,49.7229,0.122111,0.256348,26.6348,0,1.20856
