"time","outdata_3263","outdata_0031","rdy_next_next_cycle","rdy_next_cycle","rdy","c17_out_3263","c17_out_0031","b1_out","key_l_out","countup_out"
0.086,1760299270,1642118831,0,0,0,859884180,-487340088,39,252496559,0
0.087,1760299270,1642118831,0,0,0,859884180,-487340088,24,260466007,1
0.088,1760299270,1642118831,0,0,0,859884180,-487340088,44,266443093,2
0.089,1760299270,1642118831,0,0,0,859884180,-487340088,20,133719637,3
0.09,1760299270,1642118831,0,0,0,859884180,-487340088,22,100538773,4
0.091,1760299270,1642118831,0,0,0,859884180,-487340088,58,92243557,5
0.092,1760299270,1642118831,0,0,0,859884180,-487340088,2,90169753,6
0.093,1760299270,1642118831,0,0,0,859884180,-487340088,58,89651302,7
0.094,1760299270,1642118831,0,0,0,859884180,-487340088,22,44825651,8
0.095,1760299270,1642118831,0,0,0,859884180,-487340088,34,212533004,9
0.096,1760299270,1642118831,0,0,0,859884180,-487340088,12,53133251,10
0.097,1760299270,1642118831,0,0,0,859884180,-487340088,17,214609904,11
0.098,1760299270,1642118831,0,0,0,859884180,-487340088,39,53652476,12
0.099,1760299270,1642118831,0,0,0,859884180,-487340088,3,13413119,13
0.1,1760299270,1642118831,1,0,0,859884180,-487340088,62,204679871,14
0.101,1760299270,1642118831,0,1,0,859884180,-487340088,3,236557663,15
0.102,1500476786,543975792,0,0,1,-275962297,16671498,41,252496559,0
0.103,1500476786,543975792,0,0,0,-275962297,16671498,35,236557663,0
0.104,1500476786,543975792,0,0,0,-275962297,16671498,28,204679871,1
0.105,1500476786,543975792,0,0,0,-275962297,16671498,62,13413119,2
0.106,1500476786,543975792,0,0,0,-275962297,16671498,23,53652476,3
0.107,1500476786,543975792,0,0,0,-275962297,16671498,16,214609904,4
0.108,1500476786,543975792,0,0,0,-275962297,16671498,39,53133251,5
0.109,1500476786,543975792,0,0,0,-275962297,16671498,41,212533004,6
0.11,1500476786,543975792,0,0,0,-275962297,16671498,18,44825651,7
0.111,1500476786,543975792,0,0,0,-275962297,16671498,24,89651302,8
0.112,1500476786,543975792,0,0,0,-275962297,16671498,34,90169753,9
0.113,1500476786,543975792,0,0,0,-275962297,16671498,37,92243557,10
0.114,1500476786,543975792,0,0,0,-275962297,16671498,4,100538773,11
0.115,1500476786,543975792,0,0,0,-275962297,16671498,12,133719637,12
0.116,1500476786,543975792,0,0,0,-275962297,16671498,57,266443093,13
0.117,1500476786,543975792,1,0,0,-275962297,16671498,24,260466007,14
0.118,1500476786,543975792,0,1,0,-275962297,16671498,2,252496559,15
0.119,-1290368963,-978969719,0,0,1,273365721,-1255551901,40,236557663,0
0.12,-1290368963,-978969719,0,0,0,273365721,-1255551901,2,252496559,0
0.121,-1290368963,-978969719,0,0,0,273365721,-1255551901,24,260466007,1
0.122,-1290368963,-978969719,0,0,0,273365721,-1255551901,57,266443093,2
0.123,-1290368963,-978969719,0,0,0,273365721,-1255551901,12,133719637,3
0.124,-1290368963,-978969719,0,0,0,273365721,-1255551901,4,100538773,4
0.125,-1290368963,-978969719,0,0,0,273365721,-1255551901,37,92243557,5
0.126,-1290368963,-978969719,0,0,0,273365721,-1255551901,34,90169753,6
0.127,-1290368963,-978969719,0,0,0,273365721,-1255551901,24,89651302,7
0.128,-1290368963,-978969719,0,0,0,273365721,-1255551901,18,44825651,8
0.129,-1290368963,-978969719,0,0,0,273365721,-1255551901,41,212533004,9
0.13,-1290368963,-978969719,0,0,0,273365721,-1255551901,39,53133251,10
0.131,-1290368963,-978969719,0,0,0,273365721,-1255551901,16,214609904,11
0.132,-1290368963,-978969719,0,0,0,273365721,-1255551901,23,53652476,12
0.133,-1290368963,-978969719,0,0,0,273365721,-1255551901,62,13413119,13
0.134,-1290368963,-978969719,1,0,0,273365721,-1255551901,28,204679871,14
0.135,-1290368963,-978969719,0,1,0,273365721,-1255551901,35,236557663,15
0.136,1931501938,1696625517,0,0,1,-582381355,16744521,9,252496559,0
0.137,1931501938,1696625517,0,0,0,-582381355,16744521,54,43390800,0
0.138,1931501938,1696625517,0,0,0,-582381355,16744521,16,86781600,1
0.139,1931501938,1696625517,0,0,0,-582381355,16744521,34,78690945,2
0.14,1931501938,1696625517,0,0,0,-582381355,16744521,30,46328325,3
0.141,1931501938,1696625517,0,0,0,-582381355,16744521,28,185313300,4
0.142,1931501938,1696625517,0,0,0,-582381355,16744521,62,204382290,5
0.143,1931501938,1696625517,0,0,0,-582381355,16744521,47,12222795,6
0.144,1931501938,1696625517,0,0,0,-582381355,16744521,29,48891180,7
0.145,1931501938,1696625517,0,0,0,-582381355,16744521,26,97782360,8
0.146,1931501938,1696625517,0,0,0,-582381355,16744521,26,122693985,9
0.147,1931501938,1696625517,0,0,0,-582381355,16744521,8,222340485,10
0.148,1931501938,1696625517,0,0,0,-582381355,16744521,11,84055575,11
0.149,1931501938,1696625517,0,0,0,-582381355,16744521,19,67786845,12
0.15,1931501938,1696625517,0,0,0,-582381355,16744521,17,2711925,13
0.151,1931501938,1696625517,1,0,0,-582381355,16744521,8,10847700,14
0.152,1931501938,1696625517,0,1,0,-582381355,16744521,49,21695400,15
0.153,1207069092,-700218992,0,0,1,932321637,-636615629,43,43390800,0
0.154,1207069092,-700218992,0,0,0,932321637,-636615629,49,21695400,0
0.155,1207069092,-700218992,0,0,0,932321637,-636615629,8,10847700,1
0.156,1207069092,-700218992,0,0,0,932321637,-636615629,17,2711925,2
0.157,1207069092,-700218992,0,0,0,932321637,-636615629,19,67786845,3
0.158,1207069092,-700218992,0,0,0,932321637,-636615629,11,84055575,4
0.159,1207069092,-700218992,0,0,0,932321637,-636615629,8,222340485,5
0.16,1207069092,-700218992,0,0,0,932321637,-636615629,26,122693985,6
0.161,1207069092,-700218992,0,0,0,932321637,-636615629,26,97782360,7
0.162,1207069092,-700218992,0,0,0,932321637,-636615629,29,48891180,8
0.163,1207069092,-700218992,0,0,0,932321637,-636615629,47,12222795,9
