"time","J1.phi","J1.w","T2","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel","freqHz"
0.000000,0.000000,10.000000,0.400000,0.000000,-10.000000,0.000000,0.000000,0.000000,0.000000,0.200000
0.000000,0.000000,10.000000,0.400000,-0.000000,-10.000000,-0.000000,-0.000000,0.000000,0.000000,0.200000
0.000000,0.000000,10.000000,0.400000,-0.000000,-10.000000,-0.000000,-0.000000,0.000000,0.000000,0.200000
0.000000,0.000000,10.000000,0.400000,-0.000000,-10.000000,-0.000000,-0.000000,0.000000,0.000000,0.200000
0.000000,0.000001,9.999999,0.400000,-0.000001,-9.999999,-0.000000,-0.000001,0.000000,0.000000,0.200000
0.000001,0.000008,9.999992,0.400000,-0.000008,-9.999984,-0.000000,-0.000008,0.000000,0.000000,0.200000
0.000003,0.000032,9.999968,0.400000,-0.000032,-9.999936,-0.000000,-0.000032,0.000000,0.000000,0.200000
0.000009,0.000091,9.999909,0.400000,-0.000091,-9.999818,-0.000000,-0.000091,0.000000,0.000000,0.200000
0.000021,0.000208,9.999792,0.400000,-0.000208,-9.999584,-0.000000,-0.000208,0.000000,0.000000,0.200000
0.000042,0.000420,9.999580,0.400000,-0.000420,-9.999160,-0.000000,-0.000420,0.000000,0.000000,0.200000
0.000079,0.000795,9.999207,0.400000,-0.000795,-9.998412,-0.000000,-0.000795,0.000000,0.000000,0.200000
0.000145,0.001449,9.998555,0.400000,-0.001449,-9.997106,-0.000000,-0.001449,0.000000,0.000000,0.200000
0.000259,0.002594,9.997421,0.400000,-0.002594,-9.994826,-0.000000,-0.002595,0.000000,0.000000,0.200000
0.000463,0.004630,9.995438,0.400000,-0.004627,-9.990806,-0.000002,-0.004632,0.000000,0.000000,0.200000
0.000842,0.008417,9.991749,0.400000,-0.008412,-9.983326,-0.000005,-0.008423,0.000000,0.000000,0.200000
0.001619,0.016170,9.984338,0.400000,-0.016154,-9.968151,-0.000017,-0.016187,0.000000,0.000000,0.200000
0.003359,0.033533,9.968378,0.400000,-0.033470,-9.934787,-0.000063,-0.033591,0.000000,0.000000,0.200000
0.005985,0.059684,9.946021,0.400000,-0.059495,-9.886171,-0.000189,-0.059849,0.000000,0.000000,0.200000
0.011361,0.113049,9.906692,0.400000,-0.112392,-9.793090,-0.000658,-0.113601,0.000000,0.000000,0.200000
0.016736,0.166227,9.875745,0.400000,-0.164813,-9.708396,-0.001413,-0.167349,0.000000,0.000000,0.200000
0.022112,0.219258,9.852578,0.400000,-0.216801,-9.631490,-0.002457,-0.221089,0.000000,0.000000,0.200000
0.027487,0.272187,9.836215,0.400000,-0.268396,-9.561397,-0.003790,-0.274818,0.000000,0.000000,0.200000
0.037751,0.373049,9.820567,0.400000,-0.365912,-9.443194,-0.007137,-0.377372,0.000000,0.000000,0.200000
0.048015,0.473815,9.817532,0.400000,-0.462279,-9.337667,-0.011536,-0.479865,0.000000,0.000000,0.200000
0.058279,0.574568,9.816833,0.400000,-0.557580,-9.234554,-0.016987,-0.582279,0.000000,0.000000,0.200000
0.068542,0.675281,9.807922,0.400000,-0.651792,-9.123325,-0.023489,-0.684597,0.000000,0.000000,0.200000
0.078806,0.775816,9.781277,0.400000,-0.744776,-8.994474,-0.031040,-0.786802,0.000000,0.000000,0.200000
0.089070,0.875931,9.729825,0.400000,-0.836291,-8.840948,-0.039640,-0.888878,0.000000,0.000000,0.200000
0.099334,0.975386,9.647241,0.400000,-0.926100,-8.656434,-0.049286,-0.990806,0.000000,0.000000,0.200000
0.103162,1.012241,9.607970,0.400000,-0.959090,-8.579188,-0.053152,-1.028781,0.000000,0.000000,0.200000
0.104022,1.020496,9.598396,0.400000,-0.966453,-8.561089,-0.054042,-1.037307,0.000000,0.000000,0.200000
