"time","Ball1_pos","Ball2_pos","Ball1_vel","Ball2_vel"
1.950,20.5987,20.5987,-4.1295,-4.1295
1.965,20.5357,20.5357,-4.27665,-4.27665
1.980,20.4704,20.4704,-4.4238,-4.4238
1.995,20.403,20.403,-4.57095,-4.57095
2.010,20.3333,20.3333,-4.7181,-4.7181
2.025,20.2614,20.2614,-4.86525,-4.86525
2.040,20.1874,20.1874,-5.0124,-5.0124
2.055,20.1111,20.1111,-5.15955,-5.15955
2.070,20.0326,20.0326,-5.3067,-5.3067
2.085,19.9519,19.9519,-5.45385,-5.45385
2.100,19.8689,19.8689,-5.601,-5.601
2.115,19.7838,19.7838,-5.74815,-5.74815
2.130,19.6965,19.6965,-5.8953,-5.8953
2.145,19.607,19.607,-6.04245,-6.04245
2.160,19.5152,19.5152,-6.1896,-6.1896
2.175,19.4213,19.4213,-6.33675,-6.33675
2.190,19.3251,19.3251,-6.4839,-6.4839
2.205,19.2268,19.2268,-6.63105,-6.63105
2.220,19.1262,19.1262,-6.7782,-6.7782
2.235,19.0234,19.0234,-6.92535,-6.92535
2.250,18.9184,18.9184,-7.0725,-7.0725
2.265,18.8112,18.8112,-7.21965,-7.21965
2.280,18.7018,18.7018,-7.3668,-7.3668
2.295,18.5902,18.5902,-7.51395,-7.51395
2.310,18.4764,18.4764,-7.6611,-7.6611
2.325,18.3604,18.3604,-7.80825,-7.80825
2.340,18.2422,18.2422,-7.9554,-7.9554
2.355,18.1217,18.1217,-8.10255,-8.10255
2.370,17.9991,17.9991,-8.2497,-8.2497
2.385,17.8743,17.8743,-8.39685,-8.39685
2.400,17.7472,17.7472,-8.544,-8.544
2.415,17.6179,17.6179,-8.69115,-8.69115
2.430,17.4865,17.4865,-8.8383,-8.8383
2.445,17.3528,17.3528,-8.98545,-8.98545
2.460,17.2169,17.2169,-9.1326,-9.1326
2.475,17.0788,17.0788,-9.27975,-9.27975
2.490,16.9385,16.9385,-9.4269,-9.4269
2.505,16.796,16.796,-9.57405,-9.57405
2.520,16.6513,16.6513,-9.7212,-9.7212
2.535,16.5044,16.5044,-9.86835,-9.86835
2.550,16.3552,16.3552,-10.0155,-10.0155
2.565,16.2039,16.2039,-10.1627,-10.1627
2.580,16.0504,16.0504,-10.3098,-10.3098
2.595,15.8946,15.8946,-10.457,-10.457
2.610,15.7366,15.7366,-10.6041,-10.6041
2.625,15.5765,15.5765,-10.7513,-10.7513
2.640,15.4141,15.4141,-10.8984,-10.8984
2.655,15.2495,15.2495,-11.0456,-11.0456
2.670,15.0827,15.0827,-11.1927,-11.1927
2.685,14.9138,14.9138,-11.3399,-11.3399
2.700,14.7425,14.7425,-11.487,-11.487
2.715,14.5691,14.5691,-11.6341,-11.6341
2.730,14.3935,14.3935,-11.7813,-11.7813
2.745,14.2157,14.2157,-11.9284,-11.9284
2.760,14.0357,14.0357,-12.0756,-12.0756
2.775,13.8534,13.8534,-12.2227,-12.2227
2.790,13.669,13.669,-12.3699,-12.3699
2.805,13.4823,13.4823,-12.517,-12.517
2.820,13.2935,13.2935,-12.6642,-12.6642
2.835,13.1024,13.1024,-12.8113,-12.8113
2.850,12.9091,12.9091,-12.9585,-12.9585
2.865,12.7137,12.7137,-13.1056,-13.1056
2.880,12.516,12.516,-13.2528,-13.2528
2.895,12.3161,12.3161,-13.4,-13.4
2.910,12.114,12.114,-13.5471,-13.5471
2.925,11.9097,11.9097,-13.6943,-13.6943
2.940,11.7031,11.7031,-13.8414,-13.8414
2.955,11.4944,11.4944,-13.9886,-13.9886
2.970,11.2835,11.2835,-14.1357,-14.1357
2.985,11.0703,11.0703,-14.2829,-14.2829
3.000,10.855,10.855,-14.43,-14.43
3.015,10.6374,10.6374,-14.5772,-14.5772
3.030,10.4177,10.4177,-14.7243,-14.7243
