"time","Inductor1.der(i)","Inductor2.der(i)","Capacitor1.der(v)","Capacitor2.der(v)","Inductor1.i","Inductor1.n.i","Inductor2.i","Inductor2.n.i","SineVoltage1.n.v","SineVoltage2.n.v","SineVoltage2.v","Inductor1.v","Inductor1.p.v","Inductor2.v","Inductor2.p.v","Inductor3.v","SineVoltage3.n.i","SineVoltage3.i","Inductor3.p.v","IdealDiode1.s","IdealDiode1.v","IdealDiode1.p.v","IdealDiode1.p.i","IdealDiode1.i","IdealDiode1.n.i","IdealDiode1.LossPower","IdealDiode6.s","IdealDiode6.v","IdealDiode6.n.i","IdealDiode6.LossPower","Capacitor1.p.v","Capacitor1.p.i","Capacitor2.n.v","Ground1.p.i","SignalCurrent1.v","Inductor3.der(i)","IdealDiode1.off","IdealDiode2.off","IdealDiode3.off","IdealDiode4.off","IdealDiode5.off","IdealDiode6.off"
0.002,103056.4516,-102775.2588,-16486.88922,-16486.88922,6.449094013,-6.449094013,-6.847663123,6.847663123,66.42805218,66.42805218,-324.8094909,6.183387097,258.3979117,-6.166515526,-258.3814387,-0.01687157131,0.3985691102,-0.3985691102,199.2676835,5.944670909,2.005944671,252.2145246,5.946670909,5.946670909,-5.946670909,11.92869282,-451.4931351,-449.4931351,0.4494931351,202.0440785,250.2085799,-494.6066766,-250.2085799,0,500.4171599,-281.1928552,0,1,1,1,0,1
0.0022,267514.5216,-267226.0213,-15239.88585,-15239.88585,43.87180919,-43.87180919,-44.21339024,44.21339024,56.93006119,56.93006119,-322.0249572,16.05087129,265.1118645,-16.03356128,-265.094896,-0.01731001519,0.3415810503,-0.3415810503,170.7732151,43.37373058,2.043373731,249.0609932,43.37573058,43.37573058,-43.37573058,88.6328284,-419.8081446,-417.8081446,0.4178081446,174.5636457,247.0176195,-457.1965755,-247.0176195,0,494.0352389,-288.5002532,0,1,1,1,0,1
0.0024,408126.2061,-407831.5352,-12973.98749,-12973.98749,111.863879,-111.863879,-112.1471239,112.1471239,47.2073933,47.2073933,-317.9695382,24.48757237,270.7795419,-24.46989211,-270.7621449,-0.0176802557,0.2832449263,-0.2832449263,141.6047829,111.3714064,2.111371406,246.2919695,111.3734064,111.3734064,-111.3734064,235.1506257,-387.8030613,-385.8030613,0.3858030613,148.8440021,244.1805981,-389.2196246,-244.1805981,0,488.3611962,-294.6709284,0,1,1,1,0,1
0.0026,521485.8983,-521186.2233,-9859.920703,-9859.920703,205.3043163,-205.3043163,-205.5281073,205.5281073,37.29841929,37.29841929,-312.6592386,31.2891539,275.3785761,-31.2711734,-275.3608193,-0.01798050018,0.2237909633,-0.2237909633,111.8775012,204.8163423,2.204816342,244.0894222,204.8183423,204.8183423,-204.8183423,451.5868283,-355.7800875,-353.7800875,0.3537800875,125.1603503,241.8846058,-295.7976211,-241.8846058,0,483.7692116,-299.675003,0,1,1,1,0,1
0.0028,604872.9741,-604569.504,-6088.862279,-6088.862279,318.4584432,-318.4584432,-318.6218969,318.6218969,27.24224468,27.24224468,-306.1150159,36.29237845,278.890816,-36.27417024,-278.8727712,-0.01820820446,0.163453795,-0.163453795,81.70868927,317.9735642,2.317973564,242.5984375,317.9755642,317.9755642,-317.9755642,737.058952,-324.0073615,-322.0073615,0.3220073615,103.6887408,240.280464,-182.6658684,-240.280464,0,480.560928,-303.4700744,0,1,1,1,0,1
0.003,656311.031,-656004.9086,-1867.643326,-1867.643326,445.1217493,-445.1217493,-445.2242209,445.2242209,17.07855901,17.07855901,-298.3626971,39.37866186,281.3024029,-39.36029451,-281.2841381,-0.0183673429,0.102471559,-0.102471559,51.21741216,444.6383465,2.444638346,241.9237411,444.6403465,444.6403465,-444.6403465,1086.984841,-292.7148822,-290.7148822,0.2907148822,84.51514275,239.4791027,-56.02929979,-239.4791027,0,478.9582055,-306.1223817,0,1,1,1,0,1
0.0032,674608.4956,-674300.9691,2586.339696,2586.339696,578.7725501,-578.7725501,-578.813635,578.813635,6.84747087,6.84747087,-289.432877,40.47650973,282.6038166,-40.45805815,-282.5854061,-0.01845158655,0.04108490739,-0.04108490739,20.52400211,578.2888738,2.578288874,242.1273069,578.2908738,578.2908738,-578.2908738,1491.000926,-262.0914717,-260.0914717,0.2600914717,67.64757365,239.549018,77.59019089,-239.549018,0,479.098036,-307.5264425,0,1,1,1,0,1
0.0034,659386.9088,-659079.1681,7050.399303,7050.399303,712.7302078,-712.7302078,-712.7097439,712.7097439,-3.410640392,-3.410640392,-279.3607975,39.56321453,282.7899228,-39.54475008,-282.7714379,-0.0184644439,-0.02046388328,0.02046388328,-10.25040608,712.2444666,2.712244467,243.2267083,712.2464666,712.2464666,-712.2464666,1931.786538,-232.2825222,-230.2825222,0.2302825222,53.03004004,240.5144639,211.5119791,-240.5144639,-1.136868377e-013,481.0289277,-307.7407317,0,1,1,1,0,1
0.0036,611084.762,-610778.0283,11302.07563,11302.07563,840.3206899,-840.3206899,-840.238758,840.238758,-13.65529162,-13.65529162,-268.1862087,36.66508572,281.8599862,-36.6466817,-281.8415003,-0.01840402187,-0.08193191358,0.08193191358,-40.98436081,839.8311399,2.83983114,245.1949005,839.8331399,839.8331399,-839.8331399,2384.984303,-203.3891126,-201.3891126,0.2013891126,40.55757467,242.3550694,339.062269,-242.3550694,1.136868377e-013,484.7101388,-306.7336979,0,1,1,1,0,1
0.0038,530941.3777,-530636.7613,15124.57035,15124.57035,955.0395909,-955.0395909,-954.8965143,954.8965143,-23.84604864,-23.84604864,-255.9532114,31.85648266,279.8176801,-31.83820568,-279.79926,-0.0182769814,-0.143076578,0.143076578,-71.55656598,954.544623,2.954544623,247.9611974,954.546623,954.546623,-954.546623,2820.250592,-175.4683638,-173.4683638,0.1734683638,30.09127323,245.0066528,453.7371104,-245.0066528,0,490.0133056,-304.6163566,0,1,1,1,0,1
0.004,420971.8948,-420670.8058,18311.91915,18311.91915,1050.707316,-1050.707316,-1050.503659,1050.503659,-33.94270244,-33.94270244,-242.7100837,25.25831369,276.6710551,-25.24024835,-276.6527861,-0.01806534195,-0.2036566219,0.2036566219,-101.8463763,1050.205541,3.050205541,251.4127414,1050.207541,1050.207541,-1050.207541,3203.348859,-148.5342249,-146.5342249,0.1465342249,21.47227906,248.3625359,549.3575746,-248.3625359,0,496.7250717,-301.0890325,0,1,1,1,0,1
0.0042,283917.3952,-283620.9159,20674.05456,20674.05456,1121.620977,-1121.620977,-1121.357544,1121.357544,-43.90539672,-43.90539672,-228.5090901,17.03504371,272.432539,-17.01725495,-272.4144869,-0.0177887581,-0.2634329072,0.2634329072,-131.7342424,1121.111303,3.121111303,255.3974953,1121.113303,1121.113303,-1121.113303,3499.119403,-122.5599304,-120.5599304,0.1205599304,14.53469683,252.276384,620.2216369,-252.276384,0,504.5527681,-296.4793017,0,1,1,1,0,1
0.0044,123181.5058,-122890.8077,22041.46449,22041.46449,1162.694172,-1162.694172,-1162.372003,1162.372003,-53.6948165,-53.6948165,-213.4062756,7.390890348,267.1188562,-7.373448465,-267.1010921,-0.01744188357,-0.3221695434,0.3221695434,-161.1022136,1162.175879,3.162175879,259.7279658,1162.177879,1162.177879,-1162.177879,3675.010854,-97.48101828,-95.48101828,0.09548101828,9.116624851,256.56579,661.2439346,-256.56579,-2.273736754e-013,513.1315799,-290.6980594,0,1,1,1,0,1
0.0046,-57250.01043,57533.24261,22269.28332,22269.28332,1169.579739,-1169.579739,-1169.200105,1169.200105,-63.2723435,-63.2723435,-197.461244,-3.435000626,260.7509611,3.451994556,-260.7335875,-0.01699393058,-0.3796348202,0.3796348202,-189.8344041,1169.052537,3.169052537,264.1859617,1169.054537,1169.054537,-1169.054537,3704.795244,-73.19949907,-71.19949907,0.07119949907,5.069368668,261.0169092,668.0784997,-261.0169092,2.273736754e-013,522.0338184,-283.2321764,0,1,1,1,0,1
0.0048,-252898.4049,253174.1335,21240.92021,21240.92021,1138.778632,-1138.778632,-1138.34303,1138.34303,-72.60013106,-72.60013106,-180.7369231,-15.17390429,253.3540335,15.19044801,-253.3370542,-0.01654371463,-0.4356016575,0.4356016575,-217.8173725,1138.242714,3.138242714,268.5279378,1138.244714,1138.244714,-1138.244714,3572.08818,-49.58886633,-47.58886633,0.04758886633,2.264700199,265.3896951,637.2276063,-265.3896951,-2.273736754e-013,530.7793902,-275.7285771,0,1,1,1,0,1
0.005,-458896.3757,459162.9562,18871.05586,18871.05586,1067.729853,-1067.729853,-1067.240004,1067.240004,-81.64141575,-81.64141575,-163.2993162,-27.53378254,244.9572166,27.54977737,-244.9407319,-0.0159948272,-0.4898494742,0.4898494742,-244.9407319,1067.185939,3.067185939,272.4909992,1067.187939,1067.187939,-1067.187939,3273.263839,-26.49907611,-24.49907611,0.02449907611,0.6002047302,269.4238132,566.1316757,-269.4238132,-2.273736754e-013,538.8476264,-266.5804534,0,1,1,1,0,1
0.0052,-670096.927,670353.3247,15107.7257,15107.7257,954.8729868,-954.8729868,-954.3308228,954.3308228,-90.36049856,-90.36049856,-145.2172414,-40.20581562,235.593666,40.22119948,-235.57774,-0.01538386244,-0.5421640757,0.5421640757,-271.0974217,954.3223422,2.954322342,275.7994816,954.3243422,954.3243422,-954.3243422,2819.381726,-3.763121442,-1.763121442,0.001763121442,0.003108597219,272.8451593,453.2317709,-272.8451593,0,545.6903186,-256.3977074,0,1,1,1,0,1
0.0054,-777262.5486,985894.564,10224.0998,10224.0998,808.3829406,-808.3829406,-790.397492,790.397492,-92.46266885,-92.46266885,-126.5620606,-46.63575292,231.5606358,59.15367384,-219.0247294,-12.51792092,-17.98544857,17.98544857,-289.9239129,807.8273556,2.807827356,278.1963887,807.8293556,807.8293556,-807.8293556,2268.245363,17.43065402,2.017430654,-17.43265402,35.1691706,275.3885613,306.7229941,-275.3885613,1.136868377e-013,550.7771226,-208632.0154,0,1,1,1,0,0
0.0056,-861532.045,1318051.441,4759.310755,4759.310755,644.4479884,-644.4479884,-559.9100305,559.9100305,-92.96528701,-92.96528701,-107.4073971,-51.6919227,227.8483857,79.08308643,-200.3726841,-27.39116373,-84.53795792,84.53795792,-306.3715626,643.8895517,2.643889552,279.5403084,643.8915517,643.8915517,-643.8915517,1702.378146,83.9800811,2.083980081,-83.9820811,175.0169842,276.8964188,142.7793227,-276.8964188,0,553.7928376,-456519.3955,0,1,1,1,0,0
