"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0.049,529.9897252,81.78739103,164.8720099,-246.659401,-0.08308453582,534.4001883,-534.3171037,1927.194769
0.05,516.7646075,5.540557157e-005,454.4465986,-454.446654,-260.8085263,521.6724583,-260.8639319,2900.506599
0.051,524.2691135,-0.3027205644,723.2404058,-722.9376852,-416.2175504,529.7142336,-113.4966833,4673.126584
0.052,533.8386115,-16.41940591,448.6357646,-432.2163587,-538.3025905,538.718387,-0.415796537,3041.046868
0.053,519.6468193,-335.9522182,336.0546898,-0.1024715662,-524.3177782,313.3947235,210.9230548,2252.217846
0.054,520.0980207,-666.0741922,665.8705356,0.2036566306,-525.4289159,160.8860408,364.5428751,4249.994377
0.055,532.9111901,-614.7030965,614.2132471,0.4898494763,-538.1390314,24.14453263,513.9944988,4045.037995
0.056,524.0429877,-246.4114832,0.2037650129,246.2077182,-366.1498835,-162.3846668,528.5345503,1815.981512
0.057,517.1654701,-571.7565918,-0.1023613545,571.8589532,-209.9732927,-312.3347495,522.3080422,3617.111479
0.058,529.1582191,-708.7797207,-0.3984678781,709.1781886,-68.05341634,-466.5216929,534.5751092,4622.736982
0.059,530.3414187,-85.68995831,-164.090252,249.7802103,0.07840021527,-534.75422,534.6758198,1942.744539
0.06,517.0998643,-5.54056291e-005,-452.587155,452.5872104,260.9742949,-522.0039956,261.0297006,2890.563553
0.061,524.4040425,0.3027205644,-719.3780765,719.0753559,416.2811524,-529.8414377,113.5602853,4646.890192
0.062,533.7058355,16.51386125,-444.8825633,428.368702,538.166156,-538.5780104,0.4118544289,3018.946391
0.063,519.400589,335.9349998,-336.0374714,0.102471559,524.071514,-313.2715877,-210.7999263,2251.485234
0.064,519.9290488,667.8743219,-667.6706653,-0.2036566245,525.2635446,-160.8033582,-364.4601864,4261.556689
0.065,532.9042524,617.1384123,-616.6485628,-0.4898494738,538.1369643,-24.14350035,-513.993464,4060.758178
