"time","valves_mv1","valves_mv2","valves_mv3","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","egsCarSpeed","egsGear","egsTargetGear","tShiftStart"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07,0,0,0,0,0,0.12,0.12,0,0,0,-2,0,0
0.14,0,0,0,0,0,0.26,0.26,0,0,0,-2,0,0
0.21,0,0,0,0,0,0.06,0.06,0,0,0,-2,0,0.17
0.28,0,0,0,0,0,0.2,0.2,0,0,0,-2,0,0.17
0.35,0,0,0,0,0,0.34,0.34,0,0,-0.385,-2,0,0.17
0.42,0,0,0,0,0,0.48,0.48,0,0,0.161,-2,0,0.17
0.49,0,0,0,0,0,0.62,0.62,0,0,0.246,-2,0,0.17
0.56,0,0,0,0,0,0.76,0.76,0,0,0.234,-2,0,0.17
0.63,0,0,0,0,0,0.9,0.9,0,0,0.237,-2,0,0.17
0.7,0,0,0,0,0,1,1,0,0,0.235,-2,0,0.17
0.77,0,0,0,0,0,1,1,0,0,0.233,-2,0,0.17
0.84,0,0,0,0,0,1,1,0,0,0.231,-2,0,0.17
0.91,0,0,0,0,0,1,1,0,0,0.229,-2,0,0.17
0.98,0,0,0,0,0,1,1,0,0,0.227,-2,0,0.17
1.05,0,0,0,0,0,1,1,0,0,0.225,-2,0,0.17
1.12,0,0,0,0,0,1,1,0,0,1.544,-2,0,0.17
1.19,0,0,0,0,0,1,1,0,0,3.053,0,0,0.17
1.26,0,0,0,0,0,0.88,1,0,0.12,5.593,0,1,1.19
1.33,0,0,0,0,0,0.74,1,0,0.26,8.301,0,1,1.19
1.4,0,0,0,0,0,0.6,1,0,0.4,11.287,0,1,1.19
1.47,0,0,0,0,0,0.46,1,0,0.54,14.376,0,1,1.19
1.54,0,0,0,0,0,0.32,1,0,0.68,16.371,0,1,1.19
1.61,0,0,0,0,0,0.18,1,0,0.82,18.533,0,1,1.19
1.68,0,0,0,0,0,0.04,1,0,0.96,20.558,0,1,1.19
1.75,0,0,0,0,0,0,1,0,1,22.486,0,1,1.19
1.82,0,0,0,0,0,0,1,0,1,24.325,0,1,1.19
1.89,0,0,0,0,0,0,1,0,1,26.078,0,1,1.19
1.96,0,0,0,0,0,0,1,0,1,27.797,0,1,1.19
2.03,0,0,0,0,0,0,1,0,1,29.459,0,1,1.19
2.1,0,0,0,0,0,0,1,0,1,31.076,0,1,1.19
2.17,0,0,0,0,0,0,1,0,1,32.651,0,1,1.19
2.24,0,0,0,0,0,0,1,0,1,34.183,1,1,1.19
2.31,0,0,0,0,0,0,1,0,1,35.672,1,1,1.19
2.38,0,0,0,0,0,0,1,0,1,37.121,1,1,1.19
2.45,0,0,0,0,0,0,1,0,1,38.53,1,1,1.19
2.52,0,0,0,0,0,0,1,0,1,38.549,1,1,1.19
2.59,0,0,0,0,0,0,1,0,1,38.534,1,1,1.19
2.66,0,0,0,0,0,0,1,0,1,39.706,1,1,1.19
2.73,0,0,0,0,0,0,1,0,1,39.04,1,1,1.19
2.8,0,0,0,0,0,0,1,0,1,39.207,1,1,1.19
2.87,0,0,0,0,0,0,1,0,1,39.695,1,1,1.19
2.94,1,0,0,0,0,0,0.94,0,0.94,40.501,1,2,2.9
3.01,1,0,0,0,0,0,0.8,0,0.8,41.359,1,2,2.9
3.08,1,0,0,0,0,0,0.66,0,0.66,42.435,1,2,2.9
3.15,1,0,0,0,0,0,0.52,0,0.52,43.486,1,2,2.9
3.22,1,0,0,0,0,0,0.38,0,0.38,44.522,1,2,2.9
3.29,1,0,0,0,0,0,0.24,0,0.24,45.551,1,2,2.9
3.36,1,0,0,0,0,0,0.1,0,0.1,46.563,1,2,2.9
3.43,1,0,0,0,0,0,0,0,0,47.57,1,2,2.9
3.5,1,0,0,0,0,0,0,0,0,48.576,1,2,2.9
3.57,1,0,0,0,0,0,0,0,0,49.572,1,2,2.9
3.64,1,0,0,0,0,0,0,0,0,50.559,1,2,2.9
3.71,1,0,0,0,0,0,0,0,0,51.537,1,2,2.9
3.78,1,0,0,0,0,0,0,0,0,52.505,1,2,2.9
3.85,1,0,0,0,0,0,0,0,0,53.465,1,2,2.9
3.92,1,0,0,0,0,0,0,0,0,54.417,2,2,2.9
3.99,1,0,0,0,0,0,0,0,0,55.359,2,2,2.9
4.06,1,0,0,0,0,0,0,0,0,56.292,2,2,2.9
4.13,1,0,0,0,0,0,0,0,0,57.217,2,2,2.9
4.2,1,0,0,0,0,0,0,0,0,58.133,2,2,2.9
4.27,1,0,0,0,0,0,0,0,0,59.04,2,2,2.9
4.34,1,0,0,0,0,0,0,0,0,59.939,2,2,2.9
4.41,1,0,0,0,0,0,0,0,0,60.829,2,2,2.9
4.48,1,0,0,0,0,0,0,0,0,61.71,2,2,2.9
4.55,1,0,0,0,0,0,0,0,0,62.583,2,2,2.9
4.62,1,0,0,0,0,0,0,0,0,63.448,2,2,2.9
4.69,1,0,0,0,0,0,0,0,0,64.304,2,2,2.9
4.76,1,0,0,0,0,0,0,0,0,65.152,2,2,2.9
4.83,1,0,0,0,0,0,0,0,0,65.992,2,2,2.9
4.9,1,0,0,0,0,0,0,0,0,66.823,2,2,2.9
4.97,1,0,0,0,0,0,0,0,0,67.647,2,2,2.9
5.04,1,0,0,0,0,0,0,0,0,68.463,2,2,2.9
5.11,1,0,0,0,0,0,0,0,0,69.27,2,2,2.9
5.18,1,0,0,0,0,0,0,0,0,70.07,2,2,2.9
5.25,1,0,0,0,0,0,0,0,0,70.856,2,2,2.9
5.32,1,0,0,0,0,0,0,0,0,71.633,2,2,2.9
5.39,1,0,0,0,0,0,0,0,0,72.396,2,2,2.9
5.46,1,0,0,0,0,0,0,0,0,73.145,2,2,2.9
5.53,1,0,0,0,0,0,0,0,0,73.881,2,2,2.9
5.6,1,0,0,0,0,0,0,0,0,74.604,2,2,2.9
5.67,1,0,0,0,0,0,0,0,0,75.313,2,2,2.9
5.74,1,0,0,0,0,0,0,0,0,76.01,2,2,2.9
5.81,1,0,0,0,0,0,0,0,0,76.695,2,2,2.9
5.88,1,0,0,0,0,0,0,0,0,76.259,2,2,2.9
5.95,1,0,0,0,0,0,0,0,0,78.541,2,2,2.9
6.02,1,0,0,0,0,0,0,0,0,79.159,2,2,2.9
6.09,1,0,0,0,0,0,0,0,0,79.777,2,2,2.9
6.16,0,0,0,0,0,0,0,0,0,80.393,2,3,6.12
6.23,0,0,0,0,0,0,0,0,0,81.005,2,3,6.12
6.3,0,0,0,0,0,0,0,0,0,81.615,2,3,6.12
6.37,0,0,0,0,0,0,0,0,0,82.222,2,3,6.12
6.44,0,0,0,0,0,0,0,0,0,82.827,2,3,6.12
6.51,0,0,0,0,0,0,0,0,0,83.429,2,3,6.12
6.58,0,0,0,0,0,0,0,0,0,84.028,2,3,6.12
6.65,0,0,0,0,0,0,0,0,0,84.625,2,3,6.12
6.72,0,0,0,0,0,0,0,0,0,85.219,2,3,6.12
6.79,0,0,0,0,0,0,0,0,0,85.811,2,3,6.12
6.86,0,0,0,0,0,0,0,0,0,86.399,2,3,6.12
6.93,0,0,0,0,0,0,0,0,0,86.986,2,3,6.12
7,0,0,0,0,0,0,0,0,0,87.569,2,3,6.12
7.07,0,0,0,0,0,0,0,0,0,88.15,2,3,6.12
7.14,0,0,0,0,0,0,0,0,0,88.729,3,3,6.12
7.21,0,0,0,0,0,0,0,0,0,89.304,3,3,6.12
7.28,0,0,0,0,0,0,0,0,0,89.878,3,3,6.12
7.35,0,0,0,0,0,0,0,0,0,90.448,3,3,6.12
7.42,0,0,0,0,0,0,0,0,0,91.016,3,3,6.12
