"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6[1]","Out6[2]","Out6[3]","Out6[4]","Out6[5]","Out6[6]","Out7","Out8.signal1","Out8.signal2","Out9","Out10","Out11"
2.000000,1.000000,0.909297,10.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.973848,0.909297,1.000000,0.917438,0.181859,6.000000
2.100000,1.000000,0.863209,10.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.863209,0.863209,1.000000,0.917438,0.172642,6.000000
2.200000,1.000000,0.808496,9.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.863209,0.808496,1.000000,0.808496,0.161699,6.000000
2.300000,1.000000,0.745705,8.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.863209,0.745705,1.000000,0.808496,0.149141,6.000000
2.400000,1.000000,0.675463,8.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.675463,0.675463,1.000000,0.808496,0.135093,6.000000
2.420000,1.000000,0.660581,7.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.675463,0.660581,1.000000,0.660581,0.135093,6.000000
2.500000,1.000000,0.598472,7.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.675463,0.598472,1.000000,0.660581,0.119694,6.000000
2.600000,1.000000,0.515501,6.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.675463,0.515501,1.000000,0.660581,0.103100,6.000000
2.640000,1.000000,0.480823,5.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.675463,0.480823,1.000000,0.480823,0.103100,6.000000
2.700000,1.000000,0.427380,5.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.427380,0.427380,1.000000,0.480823,0.085476,6.000000
2.800000,1.000000,0.334988,4.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.427380,0.334988,1.000000,0.480823,0.066998,6.000000
2.860000,1.000000,0.277886,3.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.427380,0.277886,1.000000,0.277886,0.066998,6.000000
2.900000,1.000000,0.239249,2.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.427380,0.239249,1.000000,0.277886,0.047850,6.000000
3.000000,1.000000,0.141120,1.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.141120,0.141120,1.000000,0.277886,0.028224,6.000000
3.080000,1.000000,0.061554,0.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.141120,0.061554,1.000000,0.061554,0.028224,6.000000
3.100000,1.000000,0.041581,0.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.141120,0.041581,1.000000,0.061554,0.008316,6.000000
3.200000,1.000000,-0.058374,-1.000000,-1.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.141120,-0.058374,1.000000,0.061554,-0.011675,6.000000
3.300000,1.000000,-0.157746,-2.000000,-1.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,-0.157746,-0.157746,1.000000,-0.157746,-0.031549,6.000000
3.400000,1.000000,-0.255541,-4.000000,-1.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,-0.157746,-0.255541,1.000000,-0.157746,-0.051108,6.000000
3.500000,1.000000,-0.350783,-5.000000,-1.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,-0.157746,-0.350783,1.000000,-0.157746,-0.070157,6.000000
3.520000,1.000000,-0.369441,-5.000000,-1.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,-0.157746,-0.369441,1.000000,-0.369441,-0.070157,6.000000
3.600000,1.000000,-0.442520,-6.000000,-1.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,-0.442520,-0.442520,1.000000,-0.369441,-0.088504,6.000000
3.700000,1.000000,-0.529836,-7.000000,-1.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,-0.442520,-0.529836,1.000000,-0.369441,-0.105967,6.000000
3.740000,1.000000,-0.563327,-7.000000,-1.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,-0.442520,-0.563327,1.000000,-0.563327,-0.105967,6.000000
3.800000,1.000000,-0.611858,-8.000000,-1.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,-0.442520,-0.611858,1.000000,-0.563327,-0.122372,6.000000
3.900000,1.000000,-0.687766,-9.000000,-1.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,-0.687766,-0.687766,1.000000,-0.563327,-0.137553,6.000000
3.960000,1.000000,-0.730058,-9.000000,-1.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,-0.687766,-0.730058,1.000000,-0.730058,-0.137553,6.000000
4.000000,1.000000,-0.756802,-10.000000,-1.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,-0.687766,-0.756802,1.000000,-0.730058,-0.151360,6.000000
4.100000,1.000000,-0.818277,-10.000000,-1.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,-0.687766,-0.818277,1.000000,-0.730058,-0.163655,6.000000
4.180000,1.000000,-0.861597,-11.000000,-1.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,-0.687766,-0.861597,1.000000,-0.861597,-0.163655,6.000000
4.200000,1.000000,-0.871576,-11.000000,-1.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,-0.871576,-0.871576,1.000000,-0.861597,-0.174315,6.000000
4.300000,1.000000,-0.916166,-11.000000,-1.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,-0.871576,-0.916166,1.000000,-0.861597,-0.183233,6.000000
4.400000,1.000000,-0.951602,-12.000000,-1.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,-0.871576,-0.951602,1.000000,-0.951602,-0.190320,6.000000
