"Time","resistorv"
0,0
2.0261e-08,1.0933e-06
1.2157e-07,0.00023458
3.8664e-07,0.0073665
6.4042e-07,0.032415
8.5588e-07,0.074756
1.1062e-06,0.1538
1.4015e-06,0.29209
1.7476e-06,0.514
2.1523e-06,0.83706
2.6291e-06,1.252
3.206e-06,1.6844
3.7972e-06,1.8973
4.4031e-06,1.7607
4.4666e-06,1.724
4.5301e-06,1.6833
4.8476e-06,1.4215
4.914e-06,1.3555
4.9803e-06,1.2859
4.9969e-06,1.268
4.9991e-06,1.2656
4.9998e-06,1.2648
4.9999e-06,1.2647
4.9999e-06,1.2647
5e-06,1.2646
5.0002e-06,1.2644
5.0004e-06,1.264
5.0009e-06,1.2631
5.0015e-06,1.262
5.0021e-06,1.2606
5.0027e-06,1.259
5.0034e-06,1.2572
5.0043e-06,1.2551
5.0053e-06,1.2526
5.0065e-06,1.2496
5.0079e-06,1.2459
5.0098e-06,1.2412
5.0123e-06,1.235
5.0157e-06,1.2264
5.0196e-06,1.2166
5.022e-06,1.2107
5.0243e-06,1.2048
5.0275e-06,1.1969
5.0313e-06,1.1872
5.0338e-06,1.1809
5.0364e-06,1.1746
5.0395e-06,1.1666
5.0432e-06,1.1573
5.0458e-06,1.1509
5.0483e-06,1.1445
5.0515e-06,1.1366
5.0551e-06,1.1275
5.0577e-06,1.121
5.0603e-06,1.1145
5.0634e-06,1.1066
5.067e-06,1.0977
5.0702e-06,1.0896
5.0728e-06,1.083
5.0752e-06,1.0769
5.0781e-06,1.0698
5.0815e-06,1.0612
5.085e-06,1.0524
5.0879e-06,1.0451
5.0903e-06,1.0391
5.0929e-06,1.0326
5.0961e-06,1.0247
5.0997e-06,1.0156
5.1022e-06,1.0092
5.1048e-06,1.0027
5.108e-06,0.99485
5.1115e-06,0.98594
5.1147e-06,0.97783
5.1174e-06,0.97128
5.1198e-06,0.9652
5.1226e-06,0.9581
5.1261e-06,0.94949
5.1296e-06,0.94071
5.1325e-06,0.93347
5.1349e-06,0.9274
5.1374e-06,0.92099
5.1406e-06,0.91308
5.1442e-06,0.90406
5.1468e-06,0.8976
5.1494e-06,0.89115
5.1525e-06,0.8833
5.1561e-06,0.87442
5.1593e-06,0.86634
5.1619e-06,0.85981
5.1643e-06,0.85374
5.1672e-06,0.84666
5.1706e-06,0.83807
5.1741e-06,0.82934
5.177e-06,0.82212
5.1794e-06,0.81606
5.182e-06,0.80966
5.1852e-06,0.80177
5.1888e-06,0.79279
5.1913e-06,0.78636
5.1939e-06,0.77992
5.1971e-06,0.77211
5.2006e-06,0.76326
5.2039e-06,0.75521
5.2065e-06,0.7487
5.2089e-06,0.74265
5.2117e-06,0.73559
5.2152e-06,0.72704
5.2187e-06,0.71834
5.2216e-06,0.71115
5.224e-06,0.70512
5.2266e-06,0.69874
5.2297e-06,0.69088
5.2333e-06,0.68195
5.2359e-06,0.67554
5.2385e-06,0.66913
5.2416e-06,0.66135
5.2452e-06,0.65254
5.2484e-06,0.64453
5.251e-06,0.63804
5.2535e-06,0.63202
5.2563e-06,0.62499
5.2597e-06,0.61648
5.2632e-06,0.60783
5.2661e-06,0.60067
5.2686e-06,0.59467
5.2711e-06,0.58832
5.2743e-06,0.5805
5.2779e-06,0.57161
5.2805e-06,0.56523
5.283e-06,0.55885
5.2862e-06,0.55111
5.2897e-06,0.54235
5.293e-06,0.53438
5.2956e-06,0.52793
5.298e-06,0.52194
5.3009e-06,0.51496
5.3043e-06,0.50649
5.3078e-06,0.49788
5.3107e-06,0.49077
5.3131e-06,0.4848
5.3157e-06,0.47849
5.3188e-06,0.47072
5.3224e-06,0.46188
5.325e-06,0.45554
5.3276e-06,0.4492
5.3307e-06,0.4415
5.3343e-06,0.4328
5.3375e-06,0.42487
5.3401e-06,0.41846
5.3426e-06,0.41251
5.3454e-06,0.40557
5.3488e-06,0.39716
5.3523e-06,0.38861
5.3552e-06,0.38154
5.3577e-06,0.37561
5.3602e-06,0.36934
5.3634e-06,0.36162
5.367e-06,0.35284
5.3696e-06,0.34654
5.3722e-06,0.34024
5.3753e-06,0.3326
5.3788e-06,0.32396
5.3821e-06,0.31609
5.3847e-06,0.30972
5.3871e-06,0.30381
5.39e-06,0.29692
5.3934e-06,0.28857
5.3969e-06,0.28008
5.3998e-06,0.27307
5.4022e-06,0.26718
5.4048e-06,0.26096
5.4079e-06,0.25329
5.4115e-06,0.24458
5.4141e-06,0.23833
5.4167e-06,0.23208
5.4199e-06,0.2245
