"time","egsCarSpeed"
0,0
0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0.808
0.34,-0.786
0.35,-0.385
0.36,0.011
0.37,0.113
0.38,0.132
0.39,0.14
0.4,0.146
0.41,0.154
0.42,0.161
0.43,0.169
0.44,0.176
0.45,0.184
0.46,0.191
0.47,0.198
0.48,0.213
0.49,0.246
0.5,0.305
0.51,0.256
0.52,0.22
0.53,0.145
0.54,0.206
0.55,0.227
0.56,0.234
0.57,0.237
0.58,0.238
0.59,0.238
0.6,0.237
0.61,0.237
0.62,0.237
0.63,0.237
0.64,0.236
0.65,0.236
0.66,0.236
0.67,0.235
0.68,0.235
0.69,0.235
0.7,0.235
0.71,0.234
0.72,0.234
0.73,0.234
0.74,0.233
0.75,0.233
0.76,0.233
0.77,0.233
0.78,0.232
0.79,0.232
0.8,0.232
0.81,0.231
0.82,0.231
0.83,0.231
0.84,0.231
0.85,0.23
0.86,0.23
0.87,0.23
0.88,0.229
0.89,0.229
0.9,0.229
0.91,0.229
0.92,0.228
0.93,0.228
0.94,0.228
0.95,0.227
0.96,0.227
0.97,0.227
0.98,0.227
0.99,0.226
1,0.226
1.01,0.226
1.02,0.225
1.03,0.225
1.04,0.225
1.05,0.225
1.06,0.661
1.07,0.799
1.08,0.913
1.09,1.035
1.1,1.179
1.11,1.349
1.12,1.544
1.13,1.77
1.14,0.83
1.15,1.705
1.16,2.158
1.17,2.475
1.18,2.762
1.19,3.053
1.2,3.357
1.21,3.68
1.22,4.022
1.23,4.385
1.24,4.77
1.25,5.176
1.26,5.593
1.27,5.97
1.28,6.08
1.29,6.398
1.3,6.794
1.31,7.222
1.32,7.75
1.33,8.301
1.34,8.827
1.35,9.328
1.36,9.822
1.37,10.32
1.38,10.82
1.39,11.34
1.4,11.287
1.41,10.601
1.42,10.834
1.43,11.602
1.44,12.526
1.45,13.346
1.46,13.959
1.47,14.376
1.48,14.66
1.49,14.893
1.5,15.134
1.51,15.407
1.52,15.713
1.53,16.038
1.54,16.371
1.55,16.701
1.56,17.023
1.57,17.336
1.58,17.641
1.59,17.941
1.6,18.238
1.61,18.533
1.62,18.827
1.63,19.12
1.64,19.412
1.65,19.702
1.66,19.989
1.67,20.275
1.68,20.558
1.69,20.839
1.7,21.118
1.71,21.396
1.72,21.671
1.73,21.945
1.74,22.216
1.75,22.486
