"time","tempc_tpf_st_chamber","press_tpf_st_chamber","out2_division","tau_tpf_st_chamber","dm2_tpf_pump","torque_expseu_","heat_expseu_","speed_expseu_"
0,19.904,0.02337,0.24,25,0.130321,0,0,0
1,22.5615,0.0275059,0.247685,25.7685,0.0895202,0,0,0
2,23.9318,0.0298778,0.251915,26.1915,0.0454276,0,100000,94.5112
3,30.0687,0.0428216,0.254342,26.4342,0.0200421,0.728158,100000,88.8991
4,35.8411,0.059185,0.255631,26.5631,0.00651914,0.847158,100000,83.2094
5,41.4625,0.0800604,0.256337,26.6337,0,0.960826,100000,77.4764
6,47.0766,0.106955,0.256946,26.6946,0,1.06531,100000,71.737
7,52.7182,0.141453,0.257619,26.7619,0,1.152,100000,66.0384
8,58.3808,0.185238,0.258353,26.8353,0,1.20859,100000,60.4505
9,64.058,0.240239,0.259143,26.9143,0,1.21993,100000,55.0743
10,69.7439,0.308642,0.259986,26.9986,0,1.16783,100000,50.0481
11,75.4329,0.392894,0.260879,27.0879,0,1.03084,100000,45.5524
12,81.1195,0.495699,0.261817,27.1817,0,0.784166,100000,41.8156
13,86.7987,0.620018,0.262797,27.2797,0,0.398178,100000,39.1232
14,92.4636,0.768994,0.263816,27.3816,0,-0.19582,100000,37.9098
15,98.1046,0.945851,0.264865,27.4865,0,-1.15177,100000,38.9023
16,103.722,1.15427,0.265946,27.5946,0,-2.41321,100000,42.7143
17,109.309,1.39788,0.267053,27.7053,0,-4.05505,100000,50.074
18,114.86,1.68034,0.268182,27.8182,0,-6.1723,100000,61.8865
19,120.365,2.00517,0.269324,27.9324,0,-8.8487,99915.1,79.2019
20,125.809,2.37519,0.27047,28.047,0,-12.1705,98034.1,103.194
21,131.081,2.78471,0.271586,28.1586,0,-16.1517,94427.3,135.019
22,136.071,3.22348,0.272633,28.2633,0,-20.7334,89013.6,175.635
23,140.666,3.67549,0.273567,28.3567,0,-25.7546,81867,225.595
24,144.756,4.11966,0.274342,28.4342,0,-30.9568,73241.1,284.854
25,148.247,4.53201,0.274913,28.4913,0,-36.0185,63550.6,352.663
26,151.068,4.88894,0.275243,28.5243,0,-40.6063,53319,427.577
27,153.182,5.17083,0.275307,28.5307,0,-44.4259,43105.7,507.579
28,154.586,5.36516,0.275094,28.5094,0,-47.2669,33428.3,590.288
29,155.312,5.46801,0.274612,28.4612,0,-49.032,24694.6,673.223
30,155.423,5.48382,0.273883,28.3883,0,-49.7404,17161.5,754.062
31,154.999,5.42346,0.272941,28.2941,0,-49.5075,10931.1,830.839
32,154.131,5.30162,0.271826,28.1826,0,-48.508,5975.34,902.055
33,152.912,5.1341,0.27058,28.058,0,-46.9371,2167.78,966.719
34,151.426,4.93578,0.269245,27.9245,0,-44.9857,2480.84,1019.3
35,149.924,4.74157,0.267897,27.7897,0,-43.0779,23072.3,1023.22
36,149.566,4.69614,0.266837,27.6837,0,-42.9602,53881.2,978.524
37,150.935,4.87161,0.266202,27.6202,0,-45.524,86007.4,897.435
38,154.097,5.2969,0.266002,27.6002,0,-51.2134,97077.8,828.197
39,157.843,5.83862,0.26593,27.593,0,-58.4935,93819.1,786.177
40,161.347,6.38452,0.265764,27.5764,0,-65.9764,85689.2,766.599
41,164.324,6.87951,0.265421,27.5421,0,-72.921,76714.9,764.115
42,166.717,7.29918,0.264874,27.4874,0,-78.9507,68584.7,773.654
43,168.567,7.63743,0.264126,27.4126,0,-83.9318,61919.5,790.853
44,169.954,7.89903,0.263196,27.3196,0,-87.8897,56824.2,812.237
45,170.967,8.09442,0.262107,27.2107,0,-90.9418,53154.2,835.23
46,171.689,8.23604,0.260885,27.0885,0,-93.246,50660,858.058
47,172.192,8.33602,0.259555,26.9555,0,-94.9638,49069.7,879.608
48,172.537,8.40493,0.258137,26.8137,0,-96.2402,48144.6,899.246
49,172.768,8.4514,0.256651,26.6651,0,-97.1954,47873.5,916.331
50,172.889,8.47583,0.255216,26.5216,0.00408429,-97.8449,48233.3,930.333
51,172.856,8.46931,0.254072,26.4072,0.00860594,-98.0668,49026.6,941.214
52,172.732,8.44425,0.25318,26.318,0.0121344,-98.0296,50036.1,949.267
53,172.563,8.41026,0.252493,26.2493,0.0148531,-97.8672,51091.6,954.951
54,172.38,8.37352,0.25197,26.197,0.0169214,-97.665,52083.7,958.767
55,172.2,8.33759,0.251578,26.1578,0.0184751,-97.4719,52954.7,961.188
