    "time",       "V",       "X"
         0,         0,         2
      0.01,-0.019411256, 1.9999019
      0.02,-0.037690473, 1.9996154
      0.03,-0.054907843, 1.9991522
      0.04,-0.071116254, 1.9985212
      0.05,-0.086379942,  1.997733
      0.06,-0.1007554, 1.9967967
      0.07,-0.11429542, 1.9957209
      0.08,-0.12704969, 1.9945136
      0.09,-0.13906388,  1.993182
       0.1,-0.15038859,  1.991734
      0.11,-0.16106311, 1.9901762
      0.12,-0.17112952, 1.9885147
      0.13,-0.18062407, 1.9867555
      0.14,-0.18958301, 1.9849041
      0.15,-0.19803945, 1.9829656
      0.16,-0.20602528, 1.9809449
      0.17,-0.21357008, 1.9788466
      0.18,-0.22070185, 1.9766749
      0.19,-0.22744674, 1.9744338
       0.2,-0.23382946, 1.9721272
      0.21,-0.23987283, 1.9697584
      0.22,-0.2455988, 1.9673308
      0.23,-0.25102742, 1.9648474
      0.24,-0.25617806, 1.9623111
      0.25,-0.26106827, 1.9597247
      0.26,-0.2657151, 1.9570906
      0.27,-0.27013405, 1.9544111
      0.28,-0.27433994, 1.9516886
      0.29,-0.27834651,  1.948925
       0.3,-0.28216667, 1.9461223
      0.31,-0.28581256, 1.9432823
      0.32,-0.28929544, 1.9404066
      0.33, -0.292626, 1.9374969
      0.34,-0.29581415, 1.9345546
      0.35,-0.29886926,  1.931581
      0.36,-0.30180005, 1.9285776
      0.37,-0.30461471, 1.9255454
      0.38,-0.30732092, 1.9224857
      0.39,-0.30992586, 1.9193993
       0.4,-0.31243627, 1.9162875
      0.41,-0.31485848, 1.9131509
      0.42,-0.31719841, 1.9099906
      0.43,-0.31946162, 1.9068072
      0.44,-0.32165331, 1.9036016
      0.45,-0.32377837, 1.9003744
      0.46,-0.32584139, 1.8971262
      0.47,-0.32784667, 1.8938577
      0.48,-0.32979825, 1.8905695
      0.49,-0.33169992, 1.8872619
       0.5,-0.33355524, 1.8839356
      0.51,-0.33536757,  1.880591
      0.52,-0.33714004, 1.8772284
      0.53,-0.33887562, 1.8738483
      0.54,-0.34057707,  1.870451
      0.55,-0.34224703, 1.8670368
      0.56,-0.34388794, 1.8636061
      0.57,-0.34550212, 1.8601592
      0.58,-0.34709176, 1.8566962
      0.59,-0.34865891, 1.8532174
       0.6,-0.35020552, 1.8497231
      0.61,-0.3517334, 1.8462134
      0.62,-0.3532443, 1.8426885
      0.63,-0.35473982, 1.8391485
      0.64,-0.35622152, 1.8355937
      0.65,-0.35769086, 1.8320241
      0.66,-0.3591492, 1.8284399
      0.67,-0.36059785, 1.8248412
      0.68,-0.36203805,  1.821228
      0.69,-0.36347096, 1.8176005
       0.7,-0.36489771, 1.8139586
      0.71,-0.36631934, 1.8103025
      0.72,-0.36773686, 1.8066322
      0.73,-0.36915122, 1.8029478
      0.74,-0.37056334, 1.7992492
      0.75,-0.37197407, 1.7955365
      0.76,-0.37338425, 1.7918097
      0.77,-0.37479466, 1.7880688
      0.78,-0.37620606, 1.7843138
      0.79,-0.37761918, 1.7805447
       0.8,-0.37903471, 1.7767614
      0.81,-0.38045331,  1.772964
      0.82,-0.38187563, 1.7691524
      0.83,-0.38330229, 1.7653265
      0.84,-0.38473386, 1.7614863
      0.85,-0.38617094, 1.7576318
      0.86,-0.38761407, 1.7537629
      0.87,-0.3890638, 1.7498795
      0.88,-0.39052064, 1.7459816
      0.89,-0.39198509,  1.742069
       0.9,-0.39345766, 1.7381418
      0.91,-0.39493881, 1.7341999
      0.92,-0.39642902,  1.730243
      0.93,-0.39792875, 1.7262713
      0.94,-0.39943844, 1.7222844
      0.95,-0.40095853, 1.7182824
      0.96,-0.40248946, 1.7142652
      0.97,-0.40403164, 1.7102326
      0.98,-0.4055855, 1.7061845
      0.99,-0.40715145, 1.7021209
         1,-0.40872989, 1.6980415
      1.01,-0.41032124, 1.6939462
      1.02,-0.41192589,  1.689835
      1.03,-0.41354423, 1.6857077
      1.04,-0.41517668, 1.6815641
      1.05,-0.41682361, 1.6774041
      1.06,-0.41848543, 1.6732276
      1.07,-0.42016252, 1.6690343
      1.08,-0.42185529, 1.6648243
      1.09,-0.42356412, 1.6605972
       1.1,-0.4252894, 1.6563529
      1.11,-0.42703154, 1.6520913
      1.12,-0.42879093, 1.6478122
      1.13,-0.43056797, 1.6435154
      1.14,-0.43236306, 1.6392008
      1.15,-0.43417662, 1.6348681
      1.16,-0.43600905, 1.6305172
      1.17,-0.43786076, 1.6261479
      1.18,-0.43973217, 1.6217599
      1.19,-0.44162371, 1.6173532
       1.2,-0.4435358, 1.6129274
      1.21,-0.44546888, 1.6084824
      1.22,-0.44742339, 1.6040179
      1.23,-0.44939977, 1.5995338
      1.24,-0.45139848, 1.5950299
      1.25,-0.45341998, 1.5905058
      1.26,-0.45546474, 1.5859614
      1.27,-0.45753322, 1.5813964
      1.28,-0.45962593, 1.5768106
      1.29,-0.46174334, 1.5722038
       1.3,-0.46388596, 1.5675757
      1.31,-0.4660543,  1.562926
      1.32,-0.46824889, 1.5582545
      1.33,-0.47047025, 1.5535609
      1.34,-0.47271893,  1.548845
      1.35,-0.47499548, 1.5441065
      1.36,-0.47730047,  1.539345
      1.37,-0.47963447, 1.5345604
      1.38,-0.48199808, 1.5297522
      1.39,-0.48439189, 1.5249203
       1.4,-0.48681652, 1.5200643
      1.41,-0.4892726, 1.5151839
      1.42,-0.49176079, 1.5102787
      1.43,-0.49428172, 1.5053485
      1.44,-0.49683609,  1.500393
      1.45,-0.49942458, 1.4954117
      1.46,-0.50204789, 1.4904044
      1.47,-0.50470676, 1.4853706
      1.48,-0.50740192, 1.4803101
      1.49,-0.51013414, 1.4752225
       1.5,-0.51290418, 1.4701073
      1.51,-0.51571286, 1.4649643
      1.52,-0.51856099, 1.4597929
      1.53,-0.5214494, 1.4545929
      1.54,-0.52437896, 1.4493638
      1.55,-0.52735055, 1.4441052
      1.56,-0.53036508, 1.4388166
      1.57,-0.53342347, 1.4334977
      1.58,-0.53652668,  1.428148
      1.59,-0.53967569, 1.4227671
       1.6,-0.5428715, 1.4173544
      1.61,-0.54611515, 1.4119095
      1.62,-0.54940769, 1.4064319
      1.63,-0.55275021, 1.4009211
      1.64,-0.55614384, 1.3953767
      1.65,-0.55958971, 1.3897981
      1.66,-0.56308902, 1.3841848
      1.67,-0.56664297, 1.3785361
      1.68,-0.57025281, 1.3728517
      1.69,-0.57391983, 1.3671309
       1.7,-0.57764535, 1.3613731
      1.71,-0.58143071, 1.3555778
