    "time","Resistor_1.R","Resistor_1.v","Triphasic_Rectifier_1.I1.v","Triphasic_Rectifier_1.I2.v","Triphasic_Rectifier_1.I3.v"
         0,         1,         0,         0, 269.44311,-269.44311
    0.0001,         1, 538.87544, 9.7727576, 264.42374,-274.19658
    0.0002,         1, 538.60954, 19.535871,  259.1434,-278.67944
    0.0003,         1, 537.81209, 29.279704, 253.60733,-282.88728
    0.0004,         1, 536.48388, 38.994642, 247.82097,-286.81595
    0.0005,         1, 534.62623, 48.671096, 241.79005,-290.46156
    0.0006,         1, 532.24096, 58.299518,  235.5205,-293.82052
    0.0007,         1, 529.33043, 67.870405, 229.01853,-296.88951
    0.0008,         1, 525.89752, 77.374312, 222.29054, -299.6655
    0.0009,         1,  521.9456, 86.801859, 215.34317,-302.14576
     0.001,         1, 517.47859, 96.143743, 208.18329,-304.32784
    0.0011,         1, 512.50088, 105.39074, 200.81795,-306.20959
    0.0012,         1, 507.01739, 114.53374, 193.25443,-307.78913
    0.0013,         1, 501.03354,  123.5637, 185.50018,-309.06493
    0.0014,         1, 494.55522, 132.47172, 177.56288,-310.03572
    0.0015,         1, 487.58884,   141.249, 169.45034,-310.70053
    0.0016,         1, 480.14127, 149.88689, 161.17057,-311.05872
    0.0017,         1, 472.21984, 158.37686, 152.73174,-311.10994
    0.0018,         1,  469.4774, 166.71052, 144.14218,-310.85412
    0.0019,         1, 477.55509, 174.87966, 135.41038,-310.29152
     0.002,         1, 485.16149, 182.87622, 126.54494,-309.42271
    0.0021,         1, 492.28909,  190.6923, 117.55461,-308.24853
    0.0022,         1, 498.93085, 198.32019, 108.44827,-306.77014
    0.0023,         1, 505.08023, 205.75236, 99.234905,-304.98901
    0.0024,         1, 510.73116, 212.98148, 89.923607,-302.90689
    0.0025,         1, 515.87805,  220.0004, 80.523565,-300.52583
    0.0026,         1, 520.51583, 226.80222, 71.044055, -297.8482
    0.0027,         1, 524.63992,  233.3802, 61.494434,-294.87662
    0.0028,         1, 528.24625, 239.72787, 51.884124,-291.61403
    0.0029,         1, 531.33127, 245.83895,  42.22261,-288.06365
     0.003,         1, 533.89192, 251.70742, 32.519428,-284.22898
    0.0031,         1, 535.92569, 257.32748, 22.784153,-280.11382
    0.0032,         1, 537.43055, 262.69359, 13.026393,-275.72221
    0.0033,         1, 538.40504, 267.80046, 3.2557767, -271.0585
    0.0034,         1, 538.84818, 272.64303,-6.5180523,-266.12729
    0.0035,         1, 538.75954, 277.21654,-16.285449,-260.93344
    0.0036,         1, 538.13921, 281.51646,-26.036773,-255.48208
    0.0037,         1,  536.9878, 285.53856,-35.762403,-249.77858
    0.0038,         1, 535.30644, 289.27887,-45.452739,-243.82859
    0.0039,         1,  533.0968,  292.7337,-55.098218,-237.63796
     0.004,         1, 530.36105, 295.89963,-64.689322,-231.21282
    0.0041,         1,  527.1019, 298.77354,-74.216585,-224.55949
    0.0042,         1, 523.32256,  301.3526,-83.670605,-217.68455
    0.0043,         1, 519.02676, 303.63425,-93.042052,-210.59478
    0.0044,         1, 514.21875, 305.61626,-102.32168,-203.29717
    0.0045,         1, 508.90325, 307.29665,-111.50032,-195.79894
    0.0046,         1, 503.08553, 308.67379,-120.56893,-188.10747
    0.0047,         1, 496.77133, 309.74629,-129.51855,-180.23037
    0.0048,         1, 489.96686, 310.51312,-138.34035, -172.1754
    0.0049,         1, 482.67886,  310.9735,-147.02562,-163.95051
     0.005,         1, 474.91451, 311.12698, -155.5658,-155.56382
    0.0051,         1,  466.6848, 310.97343,-163.95245,-147.02361
    0.0052,         1, 474.91638, 310.51297, -172.1773, -138.3383
    0.0053,         1, 482.68062, 309.74608,-180.23223,-129.51647
    0.0054,         1, 489.96851,  308.6735, -188.1093,-120.56682
    0.0055,         1, 496.77286,  307.2963,-195.80072,-111.49819
    0.0056,         1, 503.08695, 305.61583, -203.2989,-102.31952
    0.0057,         1, 508.90456, 303.63375,-210.59646,-93.039871
    0.0058,         1, 514.21993, 301.35203,-217.68618,-83.668403
    0.0059,         1, 519.02783,  298.7729,-224.56107,-74.214365
     0.006,         1, 523.32351, 295.89892,-231.21435,-64.687086
    0.0061,         1, 527.10272, 292.73292,-237.63944,-55.095969
    0.0062,         1, 530.36175, 289.27803,-243.83001,-45.450478
    0.0063,         1, 533.09738, 285.53766,-249.77995,-35.760132
    0.0064,         1,  535.3069, 281.51549,-255.48338,-26.034496
    0.0065,         1, 536.98813,  277.2155,-260.93468,-16.283166
    0.0066,         1, 538.13942, 272.64193,-266.12847,-6.5157672
    0.0067,         1, 538.75962, 267.79929,-271.05962, 3.2580622
    0.0068,         1, 538.84814, 262.69237,-275.72327, 13.028676
    0.0069,         1, 538.40487,  257.3262,-280.11481, 22.786433
     0.007,         1, 537.43026, 251.70608,-284.22991, 32.521701
    0.0071,         1, 535.92527, 245.83755,-288.06451, 42.224875
    0.0072,         1, 533.89138, 239.72641,-291.61482, 51.886377
    0.0073,         1, 531.33061, 233.37869,-294.87734, 61.496674
    0.0074,         1, 528.24547, 226.80065,-297.84886, 71.046281
    0.0075,         1, 524.63902, 219.99879,-300.52643, 80.525773
    0.0076,         1,  520.5148, 212.97981,-302.90741, 89.925795
    0.0077,         1,  515.8769, 205.75065,-304.98946, 99.237072
    0.0078,         1, 510.72989, 198.31843,-306.77052, 108.45041
    0.0079,         1, 505.07885,  190.6905,-308.24884, 117.55673
     0.008,         1, 498.92936, 182.87437,-309.42295, 126.54702
    0.0081,         1, 492.28748, 174.87778,-310.29169, 135.41243
    0.0082,         1, 485.15976, 166.70859,-310.85422, 144.14421
    0.0083,         1, 477.55326, 158.37489,-311.10996, 152.73373
    0.0084,         1, 469.47546, 149.88488,-311.05868, 161.17252
    0.0085,         1, 472.22175, 141.24696,-310.70041, 169.45225
    0.0086,         1, 480.14306, 132.46965,-310.03553, 177.56475
    0.0087,         1, 487.59053,  123.5616,-309.06467, 185.50202
    0.0088,         1,  494.5568, 114.53161, -307.7888, 193.25622
    0.0089,         1,   501.035, 105.38859,-306.20918, 200.81969
     0.009,         1, 507.01873, 96.141569,-304.32737, 208.18498
    0.0091,         1,  512.5021, 86.799664,-302.14522, 215.34482
    0.0092,         1, 517.47969, 77.372098,-299.66489, 222.29214
    0.0093,         1, 521.94658, 67.868174,-296.88882, 229.02007
    0.0094,         1, 525.89838, 58.297273,-293.81976,   235.522
    0.0095,         1, 529.33117, 48.668839,-290.46074, 241.79149
    0.0096,         1, 532.24158, 38.992374,-286.81506, 247.82236
    0.0097,         1, 534.62672, 29.277428,-282.88633, 253.60865
    0.0098,         1, 536.48426, 19.533589,-278.67843, 259.14467
    0.0099,         1, 537.81234,  9.770473,-274.19549, 264.42494
      0.01,         1, 538.60966,-0.002285666,-269.44197, 269.44425
    0.0101,         1, 538.87544,-9.7750421,-264.42253, 274.19766
    0.0102,         1, 538.60941,-19.538152,-259.14214, 278.68046
    0.0103,         1, 537.81184,-29.281979,-253.60601, 282.88823
    0.0104,         1, 536.48351,-38.996909,-247.81959, 286.81683
    0.0105,         1, 534.62573,-48.673354,-241.78861, 290.46238
    0.0106,         1, 532.24034,-58.301763,-235.51901, 293.82127
    0.0107,         1, 529.32969,-67.872636,-229.01698, 296.89019
    0.0108,         1, 525.89665,-77.376525,-222.28894, 299.66612
    0.0109,         1, 521.94461,-86.804054,-215.34152, 302.14631
     0.011,         1, 517.47748,-96.145917,-208.18159, 304.32832
    0.0111,         1, 512.49965,-105.39289, -200.8162, 306.20999
    0.0112,         1, 507.01605,-114.53586,-193.25264, 307.78947
    0.0113,         1, 501.03208, -123.5658,-185.49835, 309.06519
    0.0114,         1, 494.55365,-132.47378,  -177.561, 310.03591
    0.0115,         1, 487.58716,-141.25104,-169.44842, 310.70065
    0.0116,         1, 480.13947,-149.88889,-161.16861, 311.05877
    0.0117,         1, 472.21794,-158.37882,-152.72975, 311.10991
    0.0118,         1, 469.47934,-166.71245,-144.14016, 310.85402
    0.0119,         1, 477.55692,-174.88156,-135.40832, 310.29136
     0.012,         1, 485.16321,-182.87807,-126.54285, 309.42247
    0.0121,         1,  492.2907,-190.69411,-117.55249, 308.24822
    0.0122,         1, 498.93235,-198.32195,-108.44613, 306.76976
    0.0123,         1, 505.08161,-205.75408,-99.232739, 304.98856
    0.0124,         1, 510.73242,-212.98314,-89.921419, 302.90637
    0.0125,         1, 515.87919,-220.00202,-80.521357, 300.52524
    0.0126,         1, 520.51685,-226.80378, -71.04183, 297.84754
