time,y,z
4.4,3.16099999996,-0.244999999836
4.42,3.15413999996,-0.440999999836
4.44,3.14335999997,-0.636999999836
4.46,3.12865999997,-0.832999999836
4.48,3.11003999997,-1.02899999984
4.5,3.08749999998,-1.22499999984
4.54,3.03065999998,-1.61699999984
4.58,2.95813999999,-2.00899999984
4.62,2.86994,-2.40099999984
4.64,2.81996,-2.59699999984
4.66,2.76606,-2.79299999984
4.68,2.70824000001,-2.98899999984
4.7,2.64650000001,-3.18499999984
4.72,2.58084000001,-3.38099999984
4.74,2.51126000002,-3.57699999984
4.76,2.43776000002,-3.77299999984
4.78,2.36034000002,-3.96899999984
4.8,2.27900000003,-4.16499999984
4.82,2.19374000003,-4.36099999984
4.84,2.10456000003,-4.55699999984
4.86,2.01146000004,-4.75299999984
4.88,1.91444000004,-4.94899999984
4.9,1.81350000004,-5.14499999984
4.92,1.70864000005,-5.34099999984
4.94,1.59986000005,-5.53699999984
4.96,1.48716000005,-5.73299999984
4.98,1.37054000006,-5.92899999984
5.0,1.25000000006,-6.12499999984
5.04,0.997160000065,-6.51699999984
5.08,0.728640000072,-6.90899999984
5.12,0.444440000078,-7.30099999984
5.14,0.296460000082,-7.49699999984
5.16,0.144560000085,-7.69299999984
5.18,0.00842749975937,5.89225000029
5.2,0.124312499765,5.69625000029
5.22,0.236277499771,5.50025000029
5.24,0.344322499777,5.30425000029
5.26,0.448447499782,5.10825000029
5.28,0.548652499788,4.91225000029
5.3,0.644937499794,4.71625000029
5.32,0.737302499799,4.52025000029
5.34,0.825747499805,4.32425000029
5.36,0.910272499811,4.12825000029
5.38,0.990877499817,3.93225000029
5.4,1.06756249982,3.73625000029
5.42,1.14032749983,3.54025000029
5.44,1.20917249983,3.34425000029
5.46,1.27409749984,3.14825000029
5.48,1.33510249985,2.95225000029
5.5,1.39218749985,2.75625000029
5.54,1.49459749986,2.36425000029
5.58,1.58132749987,1.97225000029
5.62,1.65237749989,1.58025000029
5.64,1.68202249989,1.38425000029
5.66,1.7077474999,1.18825000029
5.68,1.7295524999,0.992250000286
5.7,1.74743749991,0.796250000286
5.72,1.76140249991,0.600250000286
5.74,1.77144749992,0.404250000286
5.76,1.77757249993,0.208250000286
5.78,1.77977749993,0.0122500002863
5.8,1.77806249994,-0.183749999714
5.82,1.77242749994,-0.379749999714
