"Time","axis1_w0","axis2_w0","axis3_w0","axis4_w0","axis5_w0","axis6_w0"
0,0,0,0,0,0,0
1.00E-05,4.59E-22,5.62E-23,-7.00E-23,0,0,0
2.00E-05,-1.03E-21,6.40E-20,-2.04E-19,0,0,0
3.00E-05,-5.75E-22,6.40E-20,-2.04E-19,0,0,0
4.00E-05,-1.16E-22,6.41E-20,-2.04E-19,0,0,0
5.00E-05,3.42E-22,6.41E-20,-2.04E-19,0,0,0
6.00E-05,8.01E-22,6.42E-20,-2.04E-19,0,0,0
7.00E-05,1.26E-21,6.42E-20,-2.04E-19,0,0,0
8.00E-05,1.72E-21,6.43E-20,-2.04E-19,0,0,0
9.00E-05,2.18E-21,6.44E-20,-2.05E-19,0,0,0
0.0001,2.64E-21,6.44E-20,-2.05E-19,0,0,0
0.00011,3.09E-21,6.45E-20,-2.05E-19,0,0,0
0.00012,3.55E-21,6.45E-20,-2.05E-19,0,0,0
0.00013,4.01E-21,6.46E-20,-2.05E-19,0,0,0
0.00014,4.47E-21,6.46E-20,-2.05E-19,0,0,0
0.000150636,4.96E-21,6.47E-20,-2.05E-19,0,0,0
0.000161995,5.48E-21,6.48E-20,-2.05E-19,0,0,0
0.000179261,6.27E-21,6.49E-20,-2.05E-19,0,0,0
0.000198273,7.14E-21,6.50E-20,-2.05E-19,0,0,0
0.000219262,8.10E-21,6.51E-20,-2.05E-19,0,0,0
0.000242576,9.16E-21,6.52E-20,-2.06E-19,0,0,0
0.000268648,1.04E-20,6.54E-20,-2.06E-19,0,0,0
0.000298026,9.48E-20,1.95E-18,-4.45E-18,0,0,0
0.00033142,2.13E-19,4.26E-18,-9.50E-18,0,0,0
0.000369786,2.52E-19,4.89E-18,-1.07E-17,0,0,0
0.000414462,2.77E-19,5.71E-18,-1.24E-17,0,0,0
0.000467418,2.93E-19,5.91E-18,-1.26E-17,0,0,0
0.000531754,2.92E-19,5.86E-18,-1.24E-17,0,0,0
0.00061205,2.87E-19,6.19E-18,-1.33E-17,0,0,0
0.000628444,1.62E-18,8.70E-18,-1.34E-17,0,0,0
0.000638444,2.38E-18,1.02E-17,-1.33E-17,0,0,0
0.000648444,-7.12E-12,-1.37E-10,1.96E-10,0,0,0
0.000658444,-2.51E-11,-4.82E-10,6.90E-10,0,0,0
0.000668444,-5.77E-11,-1.11E-09,1.59E-09,0,0,0
0.000678444,-1.09E-10,-2.09E-09,2.99E-09,0,0,0
0.000688444,-1.82E-10,-3.49E-09,5.01E-09,0,0,0
0.000698444,-2.82E-10,-5.40E-09,7.74E-09,0,0,0
0.000708444,-4.11E-10,-7.89E-09,1.13E-08,0,0,0
0.000718444,-5.75E-10,-1.10E-08,1.58E-08,0,0,0
0.000728688,-7.82E-10,-1.50E-08,2.15E-08,0,0,0
0.000739887,-1.03E-09,-1.98E-08,2.84E-08,0,0,0
0.000749887,-1.30E-09,-2.50E-08,3.58E-08,0,0,0
0.000759887,-1.64E-09,-3.16E-08,4.52E-08,0,0,0
0.000769887,-2.02E-09,-3.92E-08,5.61E-08,0,0,0
0.000779887,-2.44E-09,-4.79E-08,6.86E-08,0,0,0
0.000789887,-2.89E-09,-5.78E-08,8.29E-08,0,0,0
0.000799887,-3.38E-09,-6.90E-08,9.89E-08,0,0,0
0.000809887,-3.91E-09,-8.16E-08,1.17E-07,0,0,0
0.000819887,-4.45E-09,-9.56E-08,1.37E-07,0,0,0
0.000829887,-5.02E-09,-1.11E-07,1.59E-07,0,0,0
0.000839912,-5.61E-09,-1.28E-07,1.84E-07,0,0,0
0.000850808,-6.26E-09,-1.48E-07,2.12E-07,0,0,0
0.000867525,-7.28E-09,-1.82E-07,2.61E-07,0,0,0
0.00088632,-8.43E-09,-2.26E-07,3.24E-07,0,0,0
0.00090753,-9.68E-09,-2.84E-07,4.08E-07,0,0,0
0.000931542,-1.10E-08,-3.62E-07,5.19E-07,0,0,0
0.000958806,-1.21E-08,-4.67E-07,6.69E-07,0,0,0
0.000989841,-1.27E-08,-6.09E-07,8.72E-07,0,0,0
0.001025263,-1.21E-08,-8.04E-07,1.15E-06,0,0,0
0.001065799,-9.24E-09,-1.07E-06,1.54E-06,0,0,0
0.001112328,-1.78E-09,-1.46E-06,2.09E-06,0,0,0
0.001165917,1.42E-08,-2.00E-06,2.86E-06,0,0,0
0.001227881,4.58E-08,-2.77E-06,3.97E-06,0,0,0
0.001299864,1.06E-07,-3.90E-06,5.59E-06,0,0,0
0.001383936,2.19E-07,-5.58E-06,7.99E-06,0,0,0
