"time","outputs[1]","outputs[2]"
0.000000E+000,2.500000E+001,2.000000E+001
2.000000E-002,2.500000E+001,2.009994E+001
4.000000E-002,2.500000E+001,2.029939E+001
6.000000E-002,2.500000E+001,2.049830E+001
8.000000E-002,2.500000E+001,2.069665E+001
1.000000E-001,2.500000E+001,2.089445E+001
1.200000E-001,2.500000E+001,2.109170E+001
1.400000E-001,2.500000E+001,2.128840E+001
1.600000E-001,2.500000E+001,2.148456E+001
1.800000E-001,2.500000E+001,2.168018E+001
2.000000E-001,2.500000E+001,2.187525E+001
2.200000E-001,2.500000E+001,2.206978E+001
2.400000E-001,2.500000E+001,2.226378E+001
2.600000E-001,2.500000E+001,2.245724E+001
2.800000E-001,2.500000E+001,2.265016E+001
3.000000E-001,2.500000E+001,2.284255E+001
3.200000E-001,2.500000E+001,2.303440E+001
3.400000E-001,2.500000E+001,2.322573E+001
3.600000E-001,2.500000E+001,2.341653E+001
3.800000E-001,2.500000E+001,2.360680E+001
4.000000E-001,2.500000E+001,2.379655E+001
4.200000E-001,2.500000E+001,2.398577E+001
4.400000E-001,2.500000E+001,2.417448E+001
4.600000E-001,2.500000E+001,2.436266E+001
4.800000E-001,2.500000E+001,2.455032E+001
5.000000E-001,2.500000E+001,2.473747E+001
5.200000E-001,2.500000E+001,2.492410E+001
5.400000E-001,2.500000E+001,2.511022E+001
5.600000E-001,2.500000E+001,2.529583E+001
5.800000E-001,2.500000E+001,2.548093E+001
6.000000E-001,2.500000E+001,2.566551E+001
6.200000E-001,2.500000E+001,2.584960E+001
6.400000E-001,2.500000E+001,2.600387E+001
6.600000E-001,2.500000E+001,2.599187E+001
6.800000E-001,2.500000E+001,2.597990E+001
7.000000E-001,2.500000E+001,2.596795E+001
7.200000E-001,2.500000E+001,2.595602E+001
7.400000E-001,2.500000E+001,2.594412E+001
7.600000E-001,2.500000E+001,2.593225E+001
7.800000E-001,2.500000E+001,2.592039E+001
8.000000E-001,2.500000E+001,2.590856E+001
8.200000E-001,2.500000E+001,2.589676E+001
8.400000E-001,2.500000E+001,2.588498E+001
8.600000E-001,2.500000E+001,2.587322E+001
8.800000E-001,2.500000E+001,2.586148E+001
9.000000E-001,2.500000E+001,2.584977E+001
9.200000E-001,2.500000E+001,2.583808E+001
9.400000E-001,2.500000E+001,2.582642E+001
9.600000E-001,2.500000E+001,2.581477E+001
9.800000E-001,2.500000E+001,2.580316E+001
1.000000E+000,2.500000E+001,2.579156E+001
1.020000E+000,2.500000E+001,2.577999E+001
1.040000E+000,2.500000E+001,2.576844E+001
1.060000E+000,2.500000E+001,2.575691E+001
1.080000E+000,2.500000E+001,2.574541E+001
1.100000E+000,2.500000E+001,2.573393E+001
1.120000E+000,2.500000E+001,2.572247E+001
1.140000E+000,2.500000E+001,2.571104E+001
1.160000E+000,2.500000E+001,2.569963E+001
1.180000E+000,2.500000E+001,2.568824E+001
1.200000E+000,2.500000E+001,2.567687E+001
1.220000E+000,2.500000E+001,2.566553E+001
1.240000E+000,2.500000E+001,2.565421E+001
1.260000E+000,2.500000E+001,2.564291E+001
1.280000E+000,2.500000E+001,2.563164E+001
1.300000E+000,2.500000E+001,2.562039E+001
1.320000E+000,2.500000E+001,2.560916E+001
1.340000E+000,2.500000E+001,2.559795E+001
1.360000E+000,2.500000E+001,2.558676E+001
1.380000E+000,2.500000E+001,2.557560E+001
1.400000E+000,2.500000E+001,2.556446E+001
1.420000E+000,2.500000E+001,2.555334E+001
