"time","Out1[1]","Out1[2]","Out6[1]","Out6[2]","Out6[3]","Out6[4]","Out6[5]","Out6[6]","Out7","Out9","Out10","Out11","Out2","Out3","Out4","Out5"
0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,12,12
0.02,0,0.0199987,1,0,0,0,1,0,0,0,0,6,0,0,12,12
0.04,0,0.0399893,1,0,0,0,1,0,0,0,0,6,0,0,12,12
0.06,0,0.059964,1,0,0,0,1,0,0,0,0,6,0,0,12,12
0.09,0,0.0898785,1,0,0,0,1,0,0,0,0,6,1,0,12,12
0.12,0,0.119712,1,0,0,0,1,0,0,0,0.0199667,6,1,0,12,12
0.14,0,0.139543,1,0,0,0,1,0,0,0,0.0199667,6,1,0,12,12
0.16,0,0.159318,1,0,0,0,1,0,0,0,0.0199667,6,1,0,12,12
0.18,0,0.17903,1,0,0,0,1,0,0,0,0.0199667,6,2,0,12,12
0.2,0,0.198669,1,0,0,0,1,0,0,0,0.0199667,6,2,0,12,12
0.22,0,0.21823,1,0,0,0,1,0,0,0,0.0397339,6,2,0,12,12
0.24,0,0.237703,1,0,0,0,1,0,0,0.21823,0.0397339,6,2,0,12,12
0.27,0,0.266731,1,0,0,0,1,0,0,0.21823,0.0397339,6,3,0,12,12
0.29,0,0.285952,1,0,0,0,1,0,0,0.21823,0.0397339,6,3,0,12,12
0.31,0,0.305059,1,0,0,0,1,0,0.29552,0.21823,0.059104,6,3,0,12,12
0.33,0,0.324043,1,0,0,0,1,0,0.29552,0.21823,0.059104,6,3,0,12,12
0.35,0,0.342898,1,0,0,0,1,0,0.29552,0.21823,0.059104,6,4,0,12,12
0.37,0,0.361615,1,0,0,0,1,0,0.29552,0.21823,0.059104,6,4,0,12,12
0.39,0,0.380188,1,0,0,0,1,0,0.29552,0.21823,0.059104,6,4,0,12,12
0.41,0,0.398609,1,0,0,0,1,0,0.29552,0.21823,0.0778837,6,4,0,12,12
0.43,0,0.416871,1,0,0,0,1,0,0.29552,0.21823,0.0778837,6,5,0,12,12
0.45,0,0.434966,1,0,0,0,1,0,0.29552,0.425939,0.0778837,6,5,0,12,12
0.47,0,0.452886,1,0,0,0,1,0,0.29552,0.425939,0.0778837,6,5,0,12,12
0.49,0,0.470626,1,0,0,0,1,0,0.29552,0.425939,0.0778837,6,5,0,12,12
0.52,0,0.49688,1,0,0,0,1,0,0.29552,0.425939,0.0958851,6,5,0,12,12
0.54,0,0.514136,1,0,0,0,1,0,0.29552,0.425939,0.0958851,6,6,0,12,12
0.56,0,0.531186,1,0,0,0,1,0,0.29552,0.425939,0.0958851,6,6,0,12,12
0.58,0,0.548024,1,0,0,0,1,0,0.29552,0.425939,0.0958851,6,6,0,12,12
0.6,0,0.564642,1,0,0,0,1,0,0.29552,0.425939,0.0958851,6,6,0,12,12
0.62,0,0.581035,1,0,0,0,1,0,0.564642,0.425939,0.112928,6,6,0,12,12
0.64,0,0.597195,1,0,0,0,1,0,0.564642,0.425939,0.112928,6,7,0,12,12
0.66,0,0.613117,1,0,0,0,1,0,0.564642,0.425939,0.112928,6,7,0,12,12
0.68,0,0.628793,1,0,0,0,1,0,0.564642,0.613117,0.112928,6,7,0,12,12
0.7,0,0.644218,1,0,0,0,1,0,0.564642,0.613117,0.112928,6,7,0,12,12
0.72,0,0.659385,1,0,0,0,1,0,0.564642,0.613117,0.128844,6,7,0,12,12
0.74,0,0.674288,1,0,0,0,1,0,0.564642,0.613117,0.128844,6,8,0,12,12
0.76,0,0.688921,1,0,0,0,1,0,0.564642,0.613117,0.128844,6,8,0,12,12
0.78,0,0.703279,1,0,0,0,1,0,0.564642,0.613117,0.128844,6,8,0,12,12
0.8,0,0.717356,1,0,0,0,1,0,0.564642,0.613117,0.128844,6,8,0,12,12
0.82,0,0.731146,1,0,0,0,1,0,0.564642,0.613117,0.143471,6,8,0,12,12
0.84,0,0.744643,1,0,0,0,1,0,0.564642,0.613117,0.143471,6,8,0,12,12
0.86,0,0.757843,1,0,0,0,1,0,0.564642,0.613117,0.143471,6,9,0,12,12
0.88,0,0.770739,1,0,0,0,1,0,0.564642,0.613117,0.143471,6,9,0,12,12
0.9,0,0.783327,1,0,0,0,1,0,0.564642,0.770739,0.143471,6,9,0,12,12
0.92,0,0.795602,1,0,0,0,1,0,0.783327,0.770739,0.156665,6,9,0,12,12
0.94,0,0.807558,1,0,0,0,1,0,0.783327,0.770739,0.156665,6,9,0,12,12
0.96,0,0.819192,1,0,0,0,1,0,0.783327,0.770739,0.156665,6,9,0,12,12
0.98,0,0.830497,1,0,0,0,1,0,0.783327,0.770739,0.156665,6,9,0,12,12
1,1,0.841471,1,0,0,0,1,0,0.783327,0.770739,0.156665,6,10,0,12,12
1.02,1,0.852108,1,0,0,0,1,0,0.783327,0.770739,0.168294,6,10,0,12,12
1.04,1,0.862404,1,0,0,0,1,0,0.783327,0.770739,0.168294,6,10,0,12,12
1.06,1,0.872355,1,0,0,0,1,0,0.783327,0.770739,0.168294,6,10,0,12,12
1.08,1,0.881958,1,0,0,0,1,0,0.783327,0.770739,0.168294,6,10,0,12,12
1.1,1,0.891207,1,0,0,0,1,0,0.783327,0.770739,0.168294,6,10,0,12,12
1.12,1,0.9001,1,0,0,0,1,0,0.783327,0.891207,0.178241,6,10,0,12,12
1.14,1,0.908633,1,0,0,0,1,0,0.783327,0.891207,0.178241,6,10,0,12,12
1.16,1,0.916803,1,0,0,0,1,0,0.783327,0.891207,0.178241,6,11,0,12,12
1.18,1,0.924606,1,0,0,0,1,0,0.783327,0.891207,0.178241,6,11,0,12,12
1.2,1,0.932039,1,0,0,0,1,0,0.783327,0.891207,0.178241,6,11,0,12,12
1.22,1,0.939099,1,0,0,0,1,0,0.932039,0.891207,0.186408,6,11,0,12,12
1.24,1,0.945784,1,0,0,0,1,0,0.932039,0.891207,0.186408,6,11,0,12,12
1.26,1,0.95209,1,0,0,0,1,0,0.932039,0.891207,0.186408,6,11,0,12,12
1.28,1,0.958016,1,0,0,0,1,0,0.932039,0.891207,0.186408,6,11,0,12,12
1.3,1,0.963558,1,0,0,0,1,0,0.932039,0.891207,0.186408,6,11,0,12,12
