"time","J1.phi","J1.w","T2","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel","freqHz"
0,0,10,0.4,0,-10,0,0,0,0,0.2
0.003,0.0299703,9.97094,0.4,-0.0299403,-9.94094,-3e-05,-0.03,0,0,0.2
0.006,0.0598563,9.9447,0.4,-0.0597063,-9.8847,-0.00015,-0.0599997,0,0,0.2
0.009,0.0896663,9.92124,0.4,-0.0893063,-9.83125,-0.000359998,-0.0899987,0,0,0.2
0.012,0.119409,9.90051,0.4,-0.118749,-9.78052,-0.000659992,-0.119997,0,0,0.2
0.015,0.149092,9.88243,0.4,-0.148042,-9.73243,-0.00104998,-0.149993,0,0,0.2
0.018,0.178723,9.86688,0.4,-0.177193,-9.68689,-0.00152995,-0.179987,0,0,0.2
0.021,0.20831,9.85375,0.4,-0.20621,-9.64377,-0.00209991,-0.209979,0,0,0.2
0.024,0.23786,9.84287,0.4,-0.2351,-9.60291,-0.00275984,-0.239969,0,0,0.2
0.027,0.267379,9.83409,0.4,-0.263869,-9.56414,-0.00350973,-0.269954,0,0,0.2
0.03,0.296874,9.82722,0.4,-0.292524,-9.52728,-0.00434957,-0.299937,0,0,0.2
0.033,0.32635,9.82205,0.4,-0.321071,-9.49213,-0.00527936,-0.329915,0,0,0.2
0.036,0.355812,9.81835,0.4,-0.349513,-9.45846,-0.00629908,-0.359888,0,0,0.2
0.039,0.385265,9.81591,0.4,-0.377856,-9.42605,-0.00740872,-0.389857,0,0,0.2
0.042,0.414711,9.81447,0.4,-0.406103,-9.39465,-0.00860825,-0.41982,0,0,0.2
0.045,0.444153,9.81378,0.4,-0.434256,-9.364,-0.00989767,-0.449778,0,0,0.2
0.048,0.473594,9.81358,0.4,-0.462317,-9.33385,-0.011277,-0.479729,0,0,0.2
0.051,0.503035,9.81361,0.4,-0.490289,-9.30394,-0.0127461,-0.509674,0,0,0.2
0.054,0.532476,9.8136,0.4,-0.518171,-9.27399,-0.0143051,-0.539611,0,0,0.2
0.057,0.561917,9.81329,0.4,-0.545963,-9.24375,-0.0159538,-0.569541,0,0,0.2
0.06,0.591356,9.81242,0.4,-0.573663,-9.21296,-0.0176924,-0.599463,0,0,0.2
0.064,0.630602,9.80993,0.4,-0.610452,-9.17059,-0.0201501,-0.639346,0,0,0.2
0.067,0.660029,9.80675,0.4,-0.637931,-9.1375,-0.022098,-0.669248,0,0,0.2
