"time","y_0","y_1","y_2"
0,0,0,0
0.04,1.7986503119775,1.79972001,0
0.08,9.7600428818915,5.3924444,4.1977206
0.12,23.956877242137,8.9650574,8.3817788
0.16,44.161987403457,12.5042687,12.5385831
0.2,70.05162972616,15.9969634,16.6546823
0.24,101.2101879866,19.4302703,20.7168358
0.28,137.13623563584,22.7916308,24.7120807
0.32,177.2497926512,26.068859,28.6277994
0.36,220.90083205106,29.250215,32.4517832
0.4,267.37868390455,32.324452,36.1722922
0.44,315.92243009254,35.280885,39.7781189
0.48,365.73198379287,38.109437,43.2586397
0.52,415.97973162192,40.800697,46.6038688
0.56,465.82269221507,43.345956,49.8045086
0.6,514.41473725812,45.737259,52.8519885
0.64,560.91904074907,47.967438,55.7385122
0.68,604.52025729661,50.030145,58.4570858
0.72,644.43660730612,51.919879,61.001556
0.76,679.9312549062,53.632013,63.366628
0.8,710.32319653859,55.162805,65.547889
0.84,734.99736483312,56.509419,67.541827
0.88,753.41371127365,57.669923,69.345834
0.92,765.11529839322,58.643298,70.958214
0.96,769.73516899155,59.429429,72.378184
1,767.00196123794,60.029099,73.605862
1.04,756.7441107935,60.443974,74.642264
1.08,738.89269190522,60.676584,75.489275
1.12,713.48262209861,60.730296,76.149639
1.16,680.65281643049,60.609289,76.626927
1.2,640.644210072,60.318516,76.925502
1.24,593.79683128172,59.863668,77.050492
1.28,540.54530109737,59.25113,77.00774
1.32,481.41290271293,58.487936,76.803765
1.36,417.00453251,57.5817199,76.4457133
1.4,347.99827626326,56.5406578,75.9413044
1.44,275.13612150232,55.373415,75.29878
1.48,199.21368567433,54.0890902,74.526844
1.52,121.06916328552,52.6971492,73.6346044
1.56,41.571671097539,51.2073663,72.6315097
1.6,-38.390824694371,49.62975586,71.52728851
1.64,-117.92388737943,47.9745151,70.3318801
1.68,-196.13906112031,46.2519505,69.0553767
1.72,-272.16623600216,44.472419,67.7079524
1.76,-345.16576630779,42.6462552,66.2997988
1.8,-414.34012411603,40.783716,64.8410628
1.84,-478.9449878897,38.8949111,63.3417801
1.88,-538.2995243185,36.989743,61.811813
1.92,-591.79574682277,35.077846,60.260789
1.96,-638.90705012948,33.168532,58.698046
2,-679.19512982745,31.270731,57.132571
2.04,-712.31604750921,29.392942,55.572951
2.08,-738.02484169816,27.543185,54.027319
2.12,-756.17861459681,25.728953,52.503308
2.16,-766.73818415586,23.957177,51.008012
2.2,-769.76835800895,22.23418,49.547944
2.24,-765.43669995809,20.565655,48.129
2.28,-754.01071571189,18.956628,46.756429
2.32,-735.85353333159,17.411441,45.434815
2.36,-711.41875441962,15.93373,44.168044
2.4,-681.24318534311,14.526413,42.959297
2.44,-645.9391049952,13.191685,41.81104
2.48,-606.18506757888,11.931008,40.725008
2.52,-562.71588596439,10.745122,39.702219
2.56,-516.3117859267,9.6340400000003,38.742966
2.6,-467.78697479903,8.5970720000003,37.846839
2.64,-417.97766773529,7.6328360000003,37.012722
2.68,-367.72983428382,6.7392780000003,36.238829
2.72,-317.8868930951,5.9137040000003,35.522722
2.76,-269.27723552137,5.1528060000003,34.861338
2.8,-222.70225476477,4.4526960000003,34.251023
2.84,-178.92471540127,3.8089510000002,33.687567
2.88,-138.65745782164,3.2166510000002,33.16625
2.92,-102.55309506841,2.6704224000002,32.6818793
2.96,-71.194584574723,2.1644945000002,32.2288478
3,-45.086618056851,1.6927444000002,31.8011672
3.04,-24.648356279618,1.2487543000002,31.3925404
3.08,-10.207299621032,0.82586730000022,30.9964007
3.12,-1.9945316005143,0.41724500000022,30.605981
3.16,-0.14135862126171,0.015926610000231,30.2143631
3.2,-4.6773973243583,-0.38511169999976,29.8145412
3.24,-15.530145992911,-0.79289609999974,29.3994849
3.28,-32.526038751025,-1.2143944999997,28.9621926
3.32,-55.392968145536,-1.6564573999997,28.4957575
3.36,-83.76425005082,-2.1257583999997,27.9934254
3.4,-117.18393447024,-2.6287362999996,27.4486499
3.44,-155.11348627558,-3.1715389999996,26.855156
3.48,-196.93958194663,-3.7599679999995,26.20699
3.52,-241.98302838569,-4.3994289999995,25.498577000001
3.56,-289.50871690441,-5.0948809999994,24.724765000001
3.6,-338.73627501871,-5.8507889999994,23.880878000001
3.64,-388.85149194571,-6.6710839999993,22.962764000001
3.68,-439.01815605694,-7.5591209999992,21.966826000001
3.72,-488.39027087231,-8.5176449999991,20.890065000001
3.76,-536.12451815996,-9.5487609999991,19.730115000001
3.8,-581.39238244916,-10.653905999999,18.485269000001
3.84,-623.39252005574,-11.833827999999,17.154501000001
3.88,-661.36243619994,-13.088565999999,15.737494000001
3.92,-694.58976170722,-14.417440999999,14.234643000001
3.96,-722.42251689674,-15.819046999999,12.647077000002
4,-744.27915946804,-17.291250999998,10.976653000002
