"time","J1.w","clutch1.phi_rel","clutch1.w_relfric","clutch2.flange_a.phi","clutch2.phi_rel","clutch2.w_relfric","clutch3.phi_rel","clutch3.w_relfric","u","freqHz","T2","T3","J1.J","clutch1.mue_pos[1,1]","clutch1.mue_pos[1,2]","clutch1.peak","clutch1.cgeo","clutch1.fn_max","clutch1.phi_nominal","clutch1.w_small","sin1.amplitude","sin1.freqHz","sin1.phase","sin1.offset","sin1.startTime","step1.height","step1.offset","J2.J","clutch2.mue_pos[1,1]","clutch2.mue_pos[1,2]","clutch2.peak","clutch2.cgeo","clutch2.fn_max","clutch2.phi_nominal","clutch2.w_small","J3.J","clutch3.mue_pos[1,1]","clutch3.mue_pos[1,2]","clutch3.peak","clutch3.cgeo","clutch3.fn_max","clutch3.phi_nominal","clutch3.w_small","J4.J","sin2.amplitude","sin2.phase","sin2.offset","sin2.startTime","fixed.phi0","_events_default_tol","_events_tol_factor","_nle_solver_default_tol","_nle_solver_min_tol","_nle_solver_tol_factor","sin2.freqHz","_log_level","_nle_solver_log_level","J1.stateSelect","clutch1.stateSelect","J2.stateSelect","clutch2.stateSelect","J3.stateSelect","clutch3.stateSelect","J4.stateSelect","torque.useSupport","clutch1.useHeatPort","clutch2.useHeatPort","clutch3.useHeatPort","_enforce_bounds","_nle_solver_check_jac_cond","_rescale_after_singular_jac","_rescale_each_step","_use_Brent_in_1d","_use_automatic_scaling","_use_jacobian_scaling","_use_manual_equation_scaling","step1.startTime","J1.der(w)","clutch1.der(phi_rel)","clutch1.der(w_rel)","J2.der(phi)","clutch2.der(phi_rel)","clutch2.der(w_rel)","clutch3.der(phi_rel)","clutch3.der(w_rel)","torque.flange.phi","J1.a","clutch1.a_relfric","clutch1.mue0","clutch1.fn","sin2.y","clutch1.flange_a.tau","clutch1.tau","clutch1.tau0","clutch1.tau0_max","clutch1.sa","clutch1.lossPower","J2.w","J2.der(w)","clutch2.a_relfric","clutch2.mue0","clutch2.fn","step1.y","clutch2.flange_a.tau","clutch2.tau","clutch2.tau0","clutch2.tau0_max","clutch2.sa","clutch2.lossPower","clutch3.flange_a.phi","J3.w","J3.der(w)","clutch3.a_relfric","clutch3.mue0","clutch3.fn","clutch3.flange_a.tau","clutch3.tau","clutch3.tau0","clutch3.tau0_max","clutch3.sa","clutch3.lossPower","J4.flange_b.tau","clutch3.flange_b.phi","J4.w","J4.der(w)","torque.tau","torque.flange.tau","J1.der(phi,2)","clutch1.der(phi_rel,2)","clutch2.der(phi_rel,2)","clutch3.der(phi_rel,2)","clutch1.mode","clutch2.mode","clutch3.mode","clutch1.free","clutch1.startForward","clutch1.startBackward","clutch1.locked","clutch2.free","clutch2.startForward","clutch2.startBackward","clutch2.locked","clutch3.free","clutch3.startForward","clutch3.startBackward","clutch3.locked","_HiddenStates.der(x[0])","_HiddenStates.der(x[1])","_HiddenStates.der(x[2])","_HiddenStates.der(x[3])","_HiddenStates.der(x[4])","_HiddenStates.der(x[5])","_HiddenStates.der(x[6])","_HiddenStates.der(x[7])","clutch1.unitAngularAcceleration","clutch1.unitTorque","sin1.pi","clutch2.unitAngularAcceleration","clutch2.unitTorque","clutch3.unitAngularAcceleration","clutch3.unitTorque","sin2.pi","clutch1.Unknown","clutch1.Free","clutch1.Forward","clutch1.Stuck","clutch1.Backward","clutch2.Unknown","clutch2.Free","clutch2.Forward","clutch2.Stuck","clutch2.Backward","clutch3.Unknown","clutch3.Free","clutch3.Forward","clutch3.Stuck","clutch3.Backward"
0,10,0,-10,0,0,0,0,0,0,0.2,0.4,0.9,1,0,0.5,1.1,1,20,0.0001,1e+010,10,5,0,0,0,1,0,1,0,0.5,1.1,1,20,0.0001,1e+010,1,0,0.5,1.1,1,20,0.0001,1e+010,1,1,1.57,0,0,0,1e-010,0.0001,1e-010,1e-012,0.0001,1,3,0,3,4,3,4,3,4,3,1,0,0,0,0,0,1,0,0,1,0,0,0.4,-9.999996829,-10,19.99999366,-0,0,-9.999996829,0,0,0,-9.999996829,19.99999366,0.5,19.99999366,0.9999996829,9.999996829,-9.999996829,9.999996829,10.99999651,8.999997146,99.99996829,-0,9.999996829,-9.999996829,0.5,0,0,-0,0,0,0,-9.999996829,0,0,-0,0,0,0.5,0,-0,0,0,0,0,0,0,0,-0,0,0,-0,-9.999996829,19.99999366,-9.999996829,0,-1,2,2,0,0,0,0,1,0,0,0,1,0,0,0,-9.999996829,-10,19.99999366,-0,0,-9.999996829,0,0,1,1,3.141592654,1,1,1,1,3.141592654,3,2,1,0,-1,3,2,1,0,-1,3,2,1,0,-1
0.01,9.915580423,-0.0990521033,-9.815582586,0.0004999948807,-0.0004999948807,-0.09999783678,0,0,0,0.2,0.4,0.9,1,0,0.5,1.1,1,20,0.0001,1e+010,10,5,0,0,0,1,0,1,0,0.5,1.1,1,20,0.0001,1e+010,1,0,0.5,1.1,1,20,0.0001,1e+010,1,1,1.57,0,0,0,1e-010,0.0001,1e-010,1e-012,0.0001,1,3,0,3,4,3,4,3,4,3,1,0,0,0,0,0,1,0,0,1,0,0,0.4,-6.909137395,-9.815582586,16.90844473,0.09999783678,-0.09999783678,-9.999307338,0,0,0.09955209818,-6.909137395,16.90844473,0.5,19.99861468,0.9999307338,9.999307338,-9.999307338,9.999307338,10.99923807,5.909206661,98.14902698,0.09999783678,9.999307338,-9.999307338,0.5,0,0,-0,0,0,0,-9.999307338,-0,2.602085214e-017,2.137179322e-015,0,0,0.5,0,-0,0,0,0,0,0,0,2.602085214e-017,2.137179322e-015,0,3.090169944,-3.090169944,-6.909137395,16.90844473,-9.999307338,0,-1,2,2,0,0,0,0,1,0,0,0,1,0,0,0,-6.909137395,-9.815582586,16.90844473,0.09999783678,-0.09999783678,-9.999307338,0,0,1,1,3.141592654,1,1,1,1,3.141592654,3,2,1,0,-1,3,2,1,0,-1,3,2,1,0,-1
0.02,9.860810413,-0.1964108343,-9.66082953,0.001999907394,-0.001999907394,-0.1999808834,0,0,0,0.2,0.4,0.9,1,0,0.5,1.1,1,20,0.0001,1e+010,10,5,0,0,0,1,0,1,0,0.5,1.1,1,20,0.0001,1e+010,1,0,0.5,1.1,1,20,0.0001,1e+010,1,1,1.57,0,0,0,1e-010,0.0001,1e-010,1e-012,0.0001,1,3,0,3,4,3,4,3,4,3,1,0,0,0,0,0,1,0,0,1,0,0,0.4,-4.119186318,-9.66082953,14.11622516,0.1999808834,-0.1999808834,-9.997038841,0,0,0.1984107417,-4.119186318,14.11622516,0.5,19.99407768,0.9997038841,9.997038841,-9.997038841,9.997038841,10.99674272,3.119482434,96.57968805,0.1999808834,9.997038841,-9.997038841,0.5,0,0,-0,0,0,0,-9.997038841,-0,6.071532166e-017,5.717648577e-015,0,0,0.5,0,-0,0,0,0,0,0,0,6.071532166e-017,5.717648577e-015,0,5.877852523,-5.877852523,-4.119186318,14.11622516,-9.997038841,0,-1,2,2,0,0,0,0,1,0,0,0,1,0,0,0,-4.119186318,-9.66082953,14.11622516,0.1999808834,-0.1999808834,-9.997038841,0,0,1,1,3.141592654,1,1,1,1,3.141592654,3,2,1,0,-1,3,2,1,0,-1,3,2,1,0,-1
0.03,9.831278901,-0.292353148,-9.531345549,0.004499510627,-0.004499510627,-0.2999333514,0,0,0,0.2,0.4,0.9,1,0,0.5,1.1,1,20,0.0001,1e+010,10,5,0,0,0,1,0,1,0,0.5,1.1,1,20,0.0001,1e+010,1,0,0.5,1.1,1,20,0.0001,1e+010,1,1,1.57,0,0,0,1e-010,0.0001,1e-010,1e-012,0.0001,1,3,0,3,4,3,4,3,4,3,1,0,0,0,0,0,1,0,0,1,0,0,0.4,-1.903021751,-9.531345549,11.89621345,0.2999333514,-0.2999333514,-9.993191695,0,0,0.2968526586,-1.903021751,11.89621345,0.5,19.98638339,0.9993191695,9.993191695,-9.993191695,9.993191695,10.99251086,0.9037025817,95.24856318,0.2999333514,9.993191695,-9.993191695,0.5,0,0,-0,0,0,0,-9.993191695,-0,1.222980051e-016,7.771561172e-015,0,0,0.5,0,-0,0,0,0,0,0,0,1.222980051e-016,7.771561172e-015,0,8.090169944,-8.090169944,-1.903021751,11.89621345,-9.993191695,0,-1,2,2,0,0,0,0,1,0,0,0,1,0,0,0,-1.903021751,-9.531345549,11.89621345,0.2999333514,-0.2999333514,-9.993191695,0,0,1,1,3.141592654,1,1,1,1,3.141592654,3,2,1,0,-1,3,2,1,0,-1,3,2,1,0,-1
0.04,9.820110467,-0.3870992105,-9.42027101,0.007998419881,-0.007998419881,-0.3998394572,0,0,0,0.2,0.4,0.9,1,0,0.5,1.1,1,20,0.0001,1e+010,10,5,0,0,0,1,0,1,0,0.5,1.1,1,20,0.0001,1e+010,1,0,0.5,1.1,1,20,0.0001,1e+010,1,1,1.57,0,0,0,1e-010,0.0001,1e-010,1e-012,0.0001,1,3,0,3,4,3,4,3,4,3,1,0,0,0,0,0,1,0,0,1,0,0,0.4,-0.4772013454,-9.42027101,10.46496785,0.3998394572,-0.3998394572,-9.987766508,0,0,0.3950976304,-0.4772013454,10.46496785,0.5,19.97553302,0.9987766508,9.987766508,-9.987766508,9.987766508,10.98654316,-0.5215753055,94.08746729,0.3998394572,9.987766508,-9.987766508,0.5,0,0,-0,0,0,0,-9.987766508,-0,2.133709875e-016,1.004751837e-014,0,0,0.5,0,-0,0,0,0,0,0,0,2.133709875e-016,1.004751837e-014,0,9.510565163,-9.510565163,-0.4772013454,10.46496785,-9.987766508,0,-1,2,2,0,0,0,0,1,0,0,0,1,0,0,0,-0.4772013454,-9.42027101,10.46496785,0.3998394572,-0.3998394572,-9.987766508,0,0,1,1,3.141592654,1,1,1,1,3.141592654,3,2,1,0,-1,3,2,1,0,-1,3,2,1,0,-1
0.05,9.818631049,-0.4807911037,-9.318947625,0.01249609264,-0.01249609264,-0.4996834243,0,0,0,0.2,0.4,0.9,1,0,0.5,1.1,1,20,0.0001,1e+010,10,5,0,0,0,1,0,1,0,0.5,1.1,1,20,0.0001,1e+010,1,0,0.5,1.1,1,20,0.0001,1e+010,1,1,1.57,0,0,0,1e-010,0.0001,1e-010,1e-012,0.0001,1,3,0,3,4,3,4,3,4,3,1,0,0,0,0,0,1,0,0,1,0,0,0.4,0.01923586246,-9.318947625,9.961528275,0.4996834243,-0.4996834243,-9.980764138,0,0,0.4932871963,0.01923586246,9.961528275,0.5,19.96152828,0.9980764138,9.980764138,-9.980764138,9.980764138,10.97884055,-1.017312276,93.01021825,0.4996834243,9.980764138,-9.980764138,0.5,0,0,-0,0,0,0,-9.980764138,-0,3.191891196e-016,1.060262989e-014,0,0,0.5,0,-0,0,0,0,0,0,0,3.191891196e-016,1.060262989e-014,0,10,-10,0.01923586246,9.961528275,-9.980764138,0,-1,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0.01923586246,-9.318947625,9.961528275,0.4996834243,-0.4996834243,-9.980764138,0,0,1,1,3.141592654,1,1,1,1,3.141592654,3,2,1,0,-1,3,2,1,0,-1,3,2,1,0,-1
0.06,9.817228062,-0.5734787056,-9.217778576,0.01799182868,-0.01799182868,-0.5994494863,0,0,0,0.2,0.4,0.9,1,0,0.5,1.1,1,20,0.0001,1e+010,10,5,0,0,0,1,0,1,0,0.5,1.1,1,20,0.0001,1e+010,1,0,0.5,1.1,1,20,0.0001,1e+010,1,1,1.57,0,0,0,1e-010,0.0001,1e-010,1e-012,0.0001,1,3,0,3,4,3,4,3,4,3,1,0,0,0,0,0,1,0,0,1,0,0,0.4,-0.4616205255,-9.217778576,10.43380621,0.5994494863,-0.5994494863,-9.972185688,0,0,0.5914705343,-0.4616205255,10.43380621,0.5,19.94437138,0.9972185688,9.972185688,-9.972185688,9.972185688,10.96940426,-0.5355980434,91.9213996,0.5994494863,9.972185688,-9.972185688,0.5,0,0,-0,0,0,0,-9.972185688,-0,4.30211422e-016,1.265654248e-014,0,0,0.5,0,-0,0,0,0,0,0,0,4.30211422e-016,1.265654248e-014,0,9.510565163,-9.510565163,-0.4616205255,10.43380621,-9.972185688,0,-1,2,2,0,0,0,0,1,0,0,0,1,0,0,0,-0.4616205255,-9.217778576,10.43380621,0.5994494863,-0.5994494863,-9.972185688,0,0,1,1,3.141592654,1,1,1,1,3.141592654,3,2,1,0,-1,3,2,1,0,-1,3,2,1,0,-1
0.07,9.806290342,-0.6651151493,-9.107168453,0.02448477017,-0.02448477017,-0.6991218889,0,0,0,0.2,0.4,0.9,1,0,0.5,1.1,1,20,0.0001,1e+010,10,5,0,0,0,1,0,1,0,0.5,1.1,1,20,0.0001,1e+010,1,0,0.5,1.1,1,20,0.0001,1e+010,1,1,1.57,0,0,0,1e-010,0.0001,1e-010,1e-012,0.0001,1,3,0,3,4,3,4,3,4,3,1,0,0,0,0,0,1,0,0,1,0,0,0.4,-1.871862572,-9.107168453,11.83389509,0.6991218889,-0.6991218889,-9.962032516,0,0,0.6895999194,-1.871862572,11.83389509,0.5,19.92406503,0.9962032516,9.962032516,-9.962032516,9.962032516,10.95823577,0.8756593202,90.72590826,0.6991218889,9.962032516,-9.962032516,0.5,0,0,-0,0,0,0,-9.962032516,-0,5.447031715e-016,9.436895709e-015,0,0,0.5,0,-0,0,0,0,0,0,0,5.447031715e-016,9.436895709e-015,0,8.090169944,-8.090169944,-1.871862572,11.83389509,-9.962032516,0,-1,2,2,0,0,0,0,1,0,0,0,1,0,0,0,-1.871862572,-9.107168453,11.83389509,0.6991218889,-0.6991218889,-9.962032516,0,0,1,1,3.141592654,1,1,1,1,3.141592654,3,2,1,0,-1,3,2,1,0,-1,3,2,1,0,-1
0.08,9.777147112,-0.7555615994,-8.97846222,0.0319739018,-0.0319739018,-0.7986848928,0,0,0,0.2,0.4,0.9,1,0,0.5,1.1,1,20,0.0001,1e+010,10,5,0,0,0,1,0,1,0,0.5,1.1,1,20,0.0001,1e+010,1,0,0.5,1.1,1,20,0.0001,1e+010,1,1,1.57,0,0,0,1e-010,0.0001,1e-010,1e-012,0.0001,1,3,0,3,4,3,4,3,4,3,1,0,0,0,0,0,1,0,0,1,0,0,0.4,-4.072453699,-8.97846222,14.02275992,0.7986848928,-0.7986848928,-9.950306222,0,0,0.7875355012,-4.072453699,14.02275992,0.5,19.90061244,0.9950306222,9.950306222,-9.950306222,9.950306222,10.94533684,3.077423077,89.33844849,0.7986848928,9.950306222,-9.950306222,0.5,0,0,-0,0,0,0,-9.950306222,-0,6.591949209e-016,9.658940314e-015,0,0,0.5,0,-0,0,0,0,0,0,0,6.591949209e-016,9.658940314e-015,0,5.877852523,-5.877852523,-4.072453699,14.02275992,-9.950306222,0,-1,2,2,0,0,0,0,1,0,0,0,1,0,0,0,-4.072453699,-8.97846222,14.02275992,0.7986848928,-0.7986848928,-9.950306222,0,0,1,1,3.141592654,1,1,1,1,3.141592654,3,2,1,0,-1,3,2,1,0,-1,3,2,1,0,-1
0.09,9.722921244,-0.8446009675,-8.824798468,0.04045805095,-0.04045805095,-0.8981227758,0,0,0,0.2,0.4,0.9,1,0,0.5,1.1,1,20,0.0001,1e+010,10,5,0,0,0,1,0,1,0,0.5,1.1,1,20,0.0001,1e+010,1,0,0.5,1.1,1,20,0.0001,1e+010,1,1,1.57,0,0,0,1e-010,0.0001,1e-010,1e-012,0.0001,1,3,0,3,4,3,4,3,4,3,1,0,0,0,0,0,1,0,0,1,0,0,0.4,-6.846838717,-8.824798468,16.78384738,0.8981227758,-0.8981227758,-9.93700866,0,0,0.8850590184,-6.846838717,16.78384738,0.5,19.87401732,0.993700866,9.93700866,-9.93700866,9.93700866,10.93070953,5.853137851,87.6920988,0.8981227758,9.93700866,-9.93700866,0.5,0,0,-0,0,0,0,-9.93700866,-0,7.979727989e-016,1.465494393e-014,0,0,0.5,0,-0,0,0,0,0,0,0,7.979727989e-016,1.465494393e-014,0,3.090169944,-3.090169944,-6.846838717,16.78384738,-9.93700866,0,-1,2,2,0,0,0,0,1,0,0,0,1,0,0,0,-6.846838717,-8.824798468,16.78384738,0.8981227758,-0.8981227758,-9.93700866,0,0,1,1,3.141592654,1,1,1,1,3.141592654,3,2,1,0,-1,3,2,1,0,-1,3,2,1,0,-1
