"time","FMU_Interface_OUT1_Current","FMU_Interface_OUT3_Power"
0,0,0
0.4,-115.324,-2.25777
0.9,-115.298,-2.25737
1.3,-115.277,-2.25705
1.7,-115.256,-2.25673
2.1,-115.235,-2.25641
2.5,-115.214,-2.25609
2.9,-115.193,-2.25577
3.3,-115.172,-2.25545
3.7,-115.151,-2.25513
4.2,-115.124,-2.25473
4.7,-115.098,-2.25433
5.2,-115.072,-2.25393
5.7,-115.046,-2.25353
6.2,-115.019,-2.25313
6.7,-114.993,-2.25273
7.2,-114.967,-2.25233
7.7,-114.941,-2.25193
8.2,-114.914,-2.25153
8.7,-114.888,-2.25113
9.2,-114.862,-2.25073
9.7,-114.836,-2.25033
10.2,-114.809,-2.24993
10.7,-114.783,-2.24953
11.2,-114.757,-2.24913
11.7,-114.731,-2.24873
12.2,-114.704,-2.24833
12.7,-114.678,-2.24793
13.2,-114.652,-2.24753
13.7,-114.626,-2.24713
14.2,-114.6,-2.24673
14.7,-114.573,-2.24633
15.2,-114.547,-2.24593
15.7,-114.521,-2.24553
16.2,-114.495,-2.24513
16.6,-114.474,-2.24481
17,-114.453,-2.24449
17.4,-114.432,-2.24417
17.8,-114.411,-2.24385
18.2,-114.39,-2.24353
18.6,-114.369,-2.24321
19,-114.348,-2.24289
19.4,-114.327,-2.24257
19.8,-114.306,-2.24224
20.2,-114.285,-2.24192
20.6,-114.264,-2.2416
21,-114.243,-2.24128
21.4,-114.222,-2.24096
21.8,-114.201,-2.24064
22.2,-114.18,-2.24032
22.6,-114.16,-2.24
23,-114.139,-2.23968
23.4,-114.118,-2.23936
23.8,-114.097,-2.23904
24.2,-114.076,-2.23872
24.6,-114.055,-2.2384
25,-114.034,-2.23808
25.4,-114.013,-2.23776
25.8,-113.992,-2.23744
26.2,-113.971,-2.23712
26.6,-113.95,-2.2368
27,-113.929,-2.23648
27.4,-113.908,-2.23616
27.8,-113.887,-2.23584
28.2,-113.867,-2.23552
28.6,-113.846,-2.2352
29,-113.825,-2.23488
29.4,-113.804,-2.23456
29.8,-113.783,-2.23424
30.2,-113.762,-2.23392
30.6,-113.741,-2.2336
31,-113.72,-2.23328
31.4,-113.699,-2.23296
31.8,-113.678,-2.23264
32.2,-113.658,-2.23232
32.6,-113.637,-2.23199
33,-113.616,-2.23167
33.4,-113.595,-2.23135
33.8,-113.574,-2.23103
34.2,-113.553,-2.23071
34.6,-113.532,-2.23039
35,-113.511,-2.23007
35.4,-113.49,-2.22975
35.8,-113.47,-2.22943
36.2,-113.449,-2.22911
36.6,-113.428,-2.22879
37,-113.407,-2.22847
37.4,-113.386,-2.22815
37.8,-113.365,-2.22783
38.2,-113.344,-2.22751
38.6,-113.323,-2.22719
39,-113.303,-2.22687
39.4,-113.282,-2.22655
39.8,-113.261,-2.22623
40.2,-113.24,-2.22591
40.6,-113.219,-2.22559
41,-113.198,-2.22527
41.4,-113.177,-2.22495
41.8,-113.156,-2.22462
42.2,-113.136,-2.2243
42.6,-113.115,-2.22398
43,-113.094,-2.22366
43.4,-113.073,-2.22334
43.8,-113.052,-2.22302
44.2,-113.031,-2.2227
44.6,-113.011,-2.22238
45,-112.99,-2.22206
45.4,-112.969,-2.22174
45.8,-112.948,-2.22142
46.2,-112.927,-2.2211
46.6,-112.906,-2.22078
47,-112.886,-2.22046
47.4,-112.865,-2.22014
47.8,-112.844,-2.21982
48.2,-112.823,-2.2195
48.6,-112.802,-2.21918
49,-112.781,-2.21886
49.4,-112.761,-2.21854
49.8,-112.74,-2.21821
50.2,-112.719,-2.21789
50.6,-112.698,-2.21757
51,-112.677,-2.21725
51.4,-112.656,-2.21693
51.8,-112.636,-2.21661
52.2,-112.615,-2.21629
52.6,-112.594,-2.21597
53,-112.573,-2.21565
53.4,-112.552,-2.21533
53.8,-112.532,-2.21501
54.2,-112.511,-2.21469
54.6,-112.49,-2.21437
55,-112.469,-2.21405
55.4,-112.448,-2.21373
55.8,-112.428,-2.21341
56.2,-112.407,-2.21309
56.6,-112.386,-2.21276
57,-112.365,-2.21244
57.4,-112.344,-2.21212
57.8,-112.324,-2.2118
58.2,-112.303,-2.21148
58.6,-112.282,-2.21116
59,-112.261,-2.21084
59.4,-112.24,-2.21052
59.8,-112.22,-2.2102
60.2,-112.199,-2.20988
60.6,-112.178,-2.20956
61,-112.157,-2.20924
61.4,-112.137,-2.20892
61.8,-112.116,-2.2086
62.2,-112.095,-2.20828
