"time","axis1_w","axis2_w","axis3_w","axis4_w","axis5_w","axis6_w"
0.08600000292062759,1.26779,-0.943236,-1.26251,0.465303,2.32465,0.435425
0.08799999952316284,1.303,-0.966848,-1.30468,0.473561,2.37182,0.450377
0.09000000357627869,1.33772,-0.989994,-1.3461,0.481951,2.41915,0.465149
0.09200000017881393,1.37197,-1.0127,-1.38673,0.490476,2.46667,0.479728
0.09399999678134918,1.40575,-1.035,-1.42654,0.49914,2.51441,0.494101
0.09600000083446503,1.43908,-1.05692,-1.46552,0.507945,2.56241,0.508257
0.09799999743700028,1.47199,-1.0785,-1.50364,0.51689,2.6107,0.522191
0.1000000014901161,1.50448,-1.09977,-1.5409,0.525973,2.65929,0.535897
0.1019999980926514,1.53659,-1.12076,-1.57731,0.535194,2.70821,0.549372
0.1040000021457672,1.56832,-1.1415,-1.61288,0.544548,2.75747,0.562616
0.1059999987483025,1.5997,-1.16201,-1.64763,0.554032,2.80707,0.575629
0.1080000028014183,1.63076,-1.18233,-1.68159,0.563641,2.85703,0.588413
0.1099999994039536,1.66152,-1.20249,-1.7148,0.573371,2.90735,0.600973
0.1120000034570694,1.69199,-1.2225,-1.74729,0.583215,2.95802,0.613314
0.1140000000596046,1.72221,-1.24239,-1.7791,0.593169,3.00903,0.625441
0.1159999966621399,1.75219,-1.26218,-1.81027,0.603225,3.06039,0.637362
0.1174242421984673,1.77341,-1.27622,-1.83211,0.610446,3.09717,0.645731
0.1174242421984673,1.77341,-1.27622,-1.83211,0.610446,3.09717,0.645731
0.1180000007152557,1.78196,-1.28188,-1.84079,0.613231,3.11157,0.648333
0.119999997317791,1.81142,-1.30096,-1.86853,0.619482,3.14703,0.645558
0.1220000013709068,1.84003,-1.3192,-1.89296,0.622606,3.16687,0.640394
0.1239999979734421,1.86721,-1.33676,-1.91422,0.623412,3.17637,0.638155
0.1260000020265579,1.89243,-1.35367,-1.93249,0.622131,3.17861,0.639253
0.1280000060796738,1.91526,-1.3698,-1.94811,0.618986,3.17572,0.643175
0.1299999952316284,1.93538,-1.38488,-1.96162,0.614278,3.16922,0.64929
0.1319999992847443,1.95258,-1.39859,-1.97366,0.608361,3.16021,0.657001
0.1340000033378601,1.96675,-1.41063,-1.98486,0.60161,3.14952,0.665778
0.136000007390976,1.97786,-1.4207,-1.99576,0.594392,3.13775,0.675168
0.1379999965429306,1.98595,-1.42862,-2.00671,0.587044,3.12534,0.684786
