"time","h","der(h)","v","der(v)","g","e"
0.94,0.3943306,-1.54998,-1.54998,-9.81,9.81,0.7
0.95,0.3788308,-1.64808,-1.64808,-9.81,9.81,0.7
0.96,0.36235,-1.74618,-1.74618,-9.81,9.81,0.7
0.97,0.3448882,-1.84428,-1.84428,-9.81,9.81,0.7
0.98,0.3264454,-1.94238,-1.94238,-9.81,9.81,0.7
0.99,0.3070216,-2.04048,-2.04048,-9.81,9.81,0.7
1,0.2866168,-2.13858,-2.13858,-9.81,9.81,0.7
1.01,0.265231,-2.23668,-2.23668,-9.81,9.81,0.7
1.02,0.2428642,-2.33478,-2.33478,-9.81,9.81,0.7
1.03,0.2195164,-2.43288,-2.43288,-9.81,9.81,0.7
1.04,0.1951876,-2.53098,-2.53098,-9.81,9.81,0.7
1.05,0.1698778,-2.62908,-2.62908,-9.81,9.81,0.7
1.06,0.143587,-2.72718,-2.72718,-9.81,9.81,0.7
1.07,0.1163152,-2.82528,-2.82528,-9.81,9.81,0.7
1.08,0.0880624,-2.92338,-2.92338,-9.81,9.81,0.7
1.09,0.0588286,-3.02148,-3.02148,-9.81,9.81,0.7
1.1,0.0286138,-3.11958,-3.11958,-9.81,9.81,0.7
1.11,-0.002582,2.252376,2.252376,-9.81,9.81,0.7
1.12,0.01994176,2.154276,2.154276,-9.81,9.81,0.7
1.13,0.04148452,2.056176,2.056176,-9.81,9.81,0.7
1.14,0.06204628,1.958076,1.958076,-9.81,9.81,0.7
1.15,0.08162704,1.859976,1.859976,-9.81,9.81,0.7
1.16,0.1002268,1.761876,1.761876,-9.81,9.81,0.7
1.17,0.11784556,1.663776,1.663776,-9.81,9.81,0.7
1.18,0.13448332,1.565676,1.565676,-9.81,9.81,0.7
1.19,0.15014008,1.467576,1.467576,-9.81,9.81,0.7
1.2,0.16481584,1.369476,1.369476,-9.81,9.81,0.7
1.21,0.1785106,1.271376,1.271376,-9.81,9.81,0.7
1.22,0.19122436,1.173276,1.173276,-9.81,9.81,0.7
1.23,0.20295712,1.075176,1.075176,-9.81,9.81,0.7
1.24,0.21370888,0.977076,0.977076,-9.81,9.81,0.7
1.25,0.22347964,0.878976,0.878976,-9.81,9.81,0.7
1.26,0.2322694,0.780876,0.780876,-9.81,9.81,0.7
1.27,0.24007816,0.682776,0.682776,-9.81,9.81,0.7
1.28,0.24690592,0.584676,0.584676,-9.81,9.81,0.7
1.29,0.25275268,0.486576,0.486576,-9.81,9.81,0.7
1.3,0.25761844,0.388476,0.388476,-9.81,9.81,0.7
1.31,0.2615032,0.290376,0.290376,-9.81,9.81,0.7
1.32,0.26440696,0.192276,0.192276,-9.81,9.81,0.7
1.33,0.26632972,0.094176,0.094176,-9.81,9.81,0.7
1.34,0.26727148,-0.003924,-0.003924,-9.81,9.81,0.7
1.35,0.26723224,-0.102024,-0.102024,-9.81,9.81,0.7
1.36,0.266212,-0.200124,-0.200124,-9.81,9.81,0.7
1.37,0.26421076,-0.298224,-0.298224,-9.81,9.81,0.7
1.38,0.26122852,-0.396324,-0.396324,-9.81,9.81,0.7
1.39,0.25726528,-0.494424,-0.494424,-9.81,9.81,0.7
1.4,0.25232104,-0.592524,-0.592524,-9.81,9.81,0.7
1.41,0.2463958,-0.690624,-0.690624,-9.81,9.81,0.7
1.42,0.23948956,-0.788724,-0.788724,-9.81,9.81,0.7
1.43,0.23160232,-0.886824,-0.886824,-9.81,9.81,0.7
1.44,0.22273408,-0.984924,-0.984924,-9.81,9.81,0.7
1.45,0.21288484,-1.083024,-1.083024,-9.81,9.81,0.7
1.46,0.2020546,-1.181124,-1.181124,-9.81,9.81,0.7
1.47,0.19024336,-1.279224,-1.279224,-9.81,9.81,0.7
1.48,0.17745112,-1.377324,-1.377324,-9.81,9.81,0.7
1.49,0.16367788,-1.475424,-1.475424,-9.81,9.81,0.7
1.5,0.14892364,-1.573524,-1.573524,-9.81,9.81,0.7
