"time","egsCarSpeed","egsGear","egsTargetGear","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","valves_mv1"
0,0,-2,0,0,0,0,0,0,0,0
0.03356,0,-2,0,0,0,0.055144,0.055144,0,0,0
0.06712,0,-2,0,0,0,0.12,0.12,0,0,0
0.10068,0,-2,0,0,0,0.2,0.2,0,0,0
0.13424,0,-2,0,0,0,0.26,0.26,0,0,0
0.1678,0,-2,0,0,0,-2.77556E-16,-2.77556E-16,0,0,0
0.20136,0,-2,0,0,0,0.06,0.06,0,0,0
0.23492,0,-2,0,0,0,0.12,0.12,0,0,0
0.26848,0,-2,0,0,0,0.18,0.18,0,0,0
0.30204,0,-2,0,0,0,0.26,0.26,0,0,0
0.3356,-0.786,-2,0,0,0,0.32,0.32,0,0,0
0.36916,0.113,-2,0,0,0,0.38,0.38,0,0,0
0.40272,0.154,-2,0,0,0,0.46,0.46,0,0,0
0.43628,0.176,-2,0,0,0,0.52,0.52,0,0,0
0.46984,0.198,-2,0,0,0,0.58,0.58,0,0,0
0.5034,0.256,-2,0,0,0,0.66,0.66,0,0,0
0.53696,0.206,-2,0,0,0,0.72,0.72,0,0,0
0.57052,0.238,-2,0,0,0,0.8,0.8,0,0,0
0.60408,0.237,-2,0,0,0,0.86,0.86,0,0,0
0.63764,0.236,-2,0,0,0,0.92,0.92,0,0,0
0.6712,0.235,-2,0,0,0,1,1,0,0,0
0.70476,0.234,-2,0,0,0,1,1,0,0,0
0.73832,0.233,-2,0,0,0,1,1,0,0,0
0.77188,0.232,-2,0,0,0,1,1,0,0,0
0.80544,0.231,-2,0,0,0,1,1,0,0,0
0.839,0.231,-2,0,0,0,1,1,0,0,0
0.87256,0.229,-2,0,0,0,1,1,0,0,0
0.90612,0.229,-2,0,0,0,1,1,0,0,0
0.93968,0.228,-2,0,0,0,1,1,0,0,0
0.97324,0.227,-2,0,0,0,1,1,0,0,0
1.0068,0.226,-2,0,0,0,1,1,0,0,0
1.04036,0.225,-2,0,0,0,1,1,0,0,0
1.07392,0.913,-2,0,0,0,1,1,0,0,0
1.10748,1.349,-2,0,0,0,1,1,0,0,0
1.14104,1.705,-2,0,0,0,1,1,0,0,0
1.1746,2.762,-2,0,0,0,1,1,0,0,0
1.20816,3.68,0,1,0,0,0.98,1,0,0.02,0
1.24172,5.176,0,1,0,0,0.9,1,0,0.1,0
1.27528,6.08,0,1,0,0,0.84,1,0,0.16,0
