"time","outputs_1_","outputs_2_"
0,25,20
0.02,25,20.1997
0.04,25,20.3989
0.06,25,20.5975
0.08,25,20.7956
0.1,25,20.9931
0.12,25,21.1901
0.14,25,21.3865
0.16,25,21.5824
0.18,25,21.7777
0.2,25,21.9725
0.22,25,22.1668
0.24,25,22.3606
0.26,25,22.5538
0.28,25,22.7464
0.3,25,22.9386
0.32,25,23.1302
0.34,25,23.3212
0.36,25,23.5118
0.38,25,23.7019
0.4,25,23.8914
0.42,25,24.0804
0.44,25,24.2688
0.46,25,24.4568
0.48,25,24.6442
0.5,25,24.7476
0.52,25,24.7382
0.54,25,24.7287
0.56,25,24.7193
0.58,25,24.7099
0.6,25,24.7005
0.62,25,24.6912
0.64,25,24.6818
0.66,25,24.6725
0.68,25,24.6633
0.7,25,24.6541
0.72,25,24.6449
0.74,25,24.6357
0.76,25,24.6265
0.78,25,24.6173
0.8,25,24.6081
0.82,25,24.5989
0.84,25,24.5899
0.86,25,24.5808
0.88,25,24.5718
0.9,25,24.5627
0.92,25,24.5537
0.94,25,24.5446
0.96,25,24.5356
0.98,25,24.5265
1,25,24.5176
1.02,25,24.5087
1.04,25,24.4998
1.06,25,24.4909
1.08,25,24.482
1.1,25,24.4731
1.12,25,24.4642
1.14,25,24.4553
1.16,25,24.4464
1.18,25,24.4376
1.2,25,24.4288
1.22,25,24.42
1.24,25,24.4112
1.26,25,24.4024
1.28,25,24.3936
1.3,25,24.3849
1.32,25,24.3761
1.34,25,24.3674
1.36,25,24.3587
1.38,25,24.35
1.4,25,24.3413
1.42,25,24.3327
1.44,25,24.324
1.46,25,24.3154
1.48,25,24.3067
1.5,25,24.2981
1.52,25,24.2896
1.54,25,24.281
1.56,25,24.2725
1.58,25,24.2639
1.6,25,24.2554
1.62,25,24.2469
1.64,25,24.2384
1.66,25,24.23
1.68,25,24.2215
1.7,25,24.2131
1.72,25,24.2047
1.74,25,24.1963
1.76,25,24.1879
1.78,25,24.1795
1.8,25,24.1712
1.82,25,24.3375
1.84,25,24.5249
1.86,25,24.7114
1.88,25,24.8977
1.9,25,25.0833
1.92,25,25.2685
1.94,25,25.453
1.96,25,25.6373
1.98,25,25.6852
2,25,25.6738
2.02,25.0833,25.6625
2.04,25.1667,25.6512
2.06,25.25,25.64
2.08,25.3333,25.6288
2.1,25.4167,25.6176
2.12,25.5,25.6064
2.14,25.5833,25.5953
2.16,25.6667,25.5843
2.18,25.75,25.5732
2.2,25.8333,25.5622
2.22,25.9167,25.5512
2.24,26,25.5402
2.26,26.0833,25.5292
2.28,26.1667,25.5181
2.3,26.25,25.5683
2.32,26.3333,25.7525
2.34,26.4167,25.9359
2.36,26.5,26.1186
2.38,26.5833,26.3011
2.4,26.6667,26.4827
2.42,26.75,26.6642
2.44,26.8333,26.8449
2.46,26.9167,27.0255
2.48,27,27.2055
2.5,27.0833,27.3851
2.52,27.1667,27.5643
2.54,27.25,27.7432
2.56,27.3333,27.9215
2.58,27.4167,28.0993
2.6,27.5,28.2767
2.62,27.5833,28.4536
2.64,27.6667,28.4504
2.66,27.75,28.4336
2.68,27.8333,28.4168
2.7,27.9167,28.4
2.72,28,28.3833
2.74,28.0833,28.3666
2.76,28.1667,28.35
2.78,28.25,28.3333
2.8,28.3333,28.3169
2.82,28.4167,28.3005
2.84,28.5,28.2841
2.86,28.5833,28.2677
2.88,28.6667,28.2513
2.9,28.75,28.2349
2.92,28.8333,28.2185
2.94,28.9167,28.2021
2.96,29,28.3036
2.98,29.0833,28.4802
3,29.1667,28.656
3.02,29.25,28.8315
3.04,29.3333,29.0064
3.06,29.4167,29.1808
3.08,29.5,29.3548
3.1,29.5833,29.5282
3.12,29.6667,29.7015
3.14,29.75,29.8743
3.16,29.8333,30.0466
3.18,29.9167,30.2187
3.2,30,30.3903
3.22,30.0833,30.5613
3.24,30.1667,30.732
3.26,30.25,30.9022
3.28,30.3333,31.0288
3.3,30.4167,31.0068
3.32,30.5,30.9849
3.34,30.5833,30.963
3.36,30.6667,30.9411
3.38,30.75,30.9194
3.4,30.8333,30.8977
3.42,30.9167,30.876
3.44,31,30.8543
3.46,31.0833,30.8327
3.48,31.1667,30.8112
3.5,31.25,30.7897
3.52,31.3333,30.7683
3.54,31.4167,30.9384
3.56,31.5,31.1078
3.58,31.5833,31.2763
3.6,31.6667,31.4448
3.62,31.75,31.6124
3.64,31.8333,31.78
3.66,31.9167,31.9467
3.68,32,32.1133
3.7,32.0833,32.2795
3.72,32.1667,32.4453
3.74,32.25,32.6108
3.76,32.3333,32.7759
3.78,32.4167,32.9405
3.8,32.5,33.1047
3.82,32.5833,33.2684
3.84,32.6667,33.4318
3.86,32.75,33.4776
3.88,32.8333,33.4507
3.9,32.9167,33.4239
3.92,33,33.3971
3.94,33.0833,33.3705
3.96,33.1667,33.3439
3.98,33.25,33.3173
4,33.3333,33.2908
4.02,33.4167,33.2643
4.04,33.5,33.238
4.06,33.5833,33.2117
4.08,33.6667,33.1853
4.1,33.75,33.1591
4.12,33.8333,33.1329
4.14,33.9167,33.1068
4.16,34,33.0807
4.18,34.0833,33.111
4.2,34.1667,33.2747
4.22,34.25,33.4376
4.24,34.3333,33.6
4.26,34.4167,33.7621
4.28,34.5,33.9235
4.3,34.5833,34.0848
4.32,34.6667,34.2454
4.34,34.75,34.4059
4.36,34.8333,34.5659
4.38,34.9167,34.7255
4.4,35,34.8848
4.42,35.0833,35.0438
4.44,35.1667,35.2023
4.46,35.25,35.3604
4.48,35.3333,35.518
4.5,35.4167,35.6753
4.52,35.5,35.8322
4.54,35.5833,35.9886
4.56,35.6667,36.1446
4.58,35.75,36.3002
4.6,35.8333,36.302
4.62,35.9167,36.2694
4.64,36,36.237
4.66,36.0833,36.2046
4.68,36.1667,36.1724
4.7,36.25,36.1403
4.72,36.3333,36.1081
4.74,36.4167,36.076
4.76,36.5,36.0441
4.78,36.5833,36.0122
4.8,36.6667,35.9803
4.82,36.75,35.9485
4.84,36.8333,36.0161
4.86,36.9167,36.1719
4.88,37,36.327
4.9,37.0833,36.4818
4.92,37.1667,36.6362
4.94,37.25,36.7901
4.96,37.3333,36.9438
4.98,37.4167,37.0971
5,37.5,37.25
5.02,37.5833,37.4026
5.04,37.6667,37.5548
5.06,37.75,37.7066
5.08,37.8333,37.858
5.1,37.9167,38.009
5.12,38,38.1595
5.14,38.0833,38.3097
5.16,38.1667,38.4595
5.18,38.25,38.6089
5.2,38.3333,38.7579
5.22,38.4167,38.9065
5.24,38.5,39.0546
5.26,38.5833,39.1556
5.28,38.6667,39.1173
5.3,38.75,39.0792
5.32,38.8333,39.0411
5.34,38.9167,39.0033
5.36,39,38.9654
5.38,39.0833,38.9276
5.4,39.1667,38.8899
5.42,39.25,38.8523
5.44,39.3333,38.8448
5.46,39.4167,38.993
5.48,39.5,39.1407
5.5,39.5833,39.288
5.52,39.6667,39.4348
5.54,39.75,39.5812
5.56,39.8333,39.7274
5.58,39.9167,39.8733
5.6,40,40.0188
5.62,40.0833,40.164
5.64,40.1667,40.3087
5.66,40.25,40.4531
5.68,40.3333,40.5972
5.7,40.4167,40.7408
5.72,40.5,40.8841
5.74,40.5833,41.027
5.76,40.6667,41.1695
5.78,40.75,41.3117
5.8,40.8333,41.4534
5.82,40.9167,41.5948
5.84,41,41.7358
5.86,41.0833,41.8765
5.88,41.1667,41.8417
5.9,41.25,41.7981
5.92,41.3333,41.7546
5.94,41.4167,41.7113
5.96,41.5,41.6681
5.98,41.5833,41.6248
6,41.6667,41.5818
6.02,41.75,41.5389
6.04,41.8333,41.4959
6.06,41.9167,41.4531
6.08,42,41.4104
6.1,42.0833,41.3677
6.12,42.1667,41.4782
6.14,42.25,41.6193
6.16,42.3333,41.76
6.18,42.4167,41.9002
6.2,42.5,42.0402
6.22,42.5833,42.1797
6.24,42.6667,42.319
6.26,42.75,42.458
6.28,42.8333,42.5966
6.3,42.9167,42.735
6.32,43,42.8729
6.34,43.0833,43.0105
6.36,43.1667,43.1477
6.38,43.25,43.2846
6.4,43.3333,43.4211
6.42,43.4167,43.5573
6.44,43.5,43.6931
6.46,43.5833,43.8285
6.48,43.6667,43.9636
6.5,43.75,44.0983
6.52,43.8333,44.2326
6.54,43.9167,44.2533
6.56,44,44.2049
6.58,44.0833,44.1566
6.6,44.1667,44.1085
6.62,44.25,44.0605
6.64,44.3333,44.0125
6.66,44.4167,43.9647
6.68,44.5,43.917
6.7,44.5833,43.8693
6.72,44.6667,43.9187
6.74,44.75,44.0534
6.76,44.8333,44.1876
6.78,44.9167,44.3215
6.8,45,44.4548
6.82,45.0833,44.5876
6.84,45.1667,44.7204
6.86,45.25,44.8525
6.88,45.3333,44.9845
6.9,45.4167,45.1161
6.92,45.5,45.2473
6.94,45.5833,45.3784
6.96,45.6667,45.5087
6.98,45.75,45.639
7,45.8333,45.7691
7.02,45.9167,45.8988
7.04,46,46.0282
7.06,46.0833,46.1574
7.08,46.1667,46.2863
7.1,46.25,46.4148
7.12,46.3333,46.543
7.14,46.4167,46.6708
7.16,46.5,46.7984
7.18,46.5833,46.9256
7.2,46.6667,47.0524
7.22,46.75,47.179
7.24,46.8333,47.3052
7.26,46.9167,47.4311
7.28,47,47.5566
7.3,47.0833,47.6818
7.32,47.1667,47.8067
7.34,47.25,47.9313
7.36,47.3333,48.0555
7.38,47.4167,48.1795
7.4,47.5,48.3031
7.42,47.5833,48.4263
7.44,47.6667,48.5493
7.46,47.75,48.6719
7.48,47.8333,48.7054
7.5,47.9167,48.6481
7.52,48,48.5909
7.54,48.0833,48.534
7.56,48.1667,48.4771
7.58,48.25,48.4206
7.6,48.3333,48.3641
7.62,48.4167,48.3076
7.64,48.5,48.2512
7.66,48.5833,48.1951
7.68,48.6667,48.1391
7.7,48.75,48.0831
7.72,48.8333,48.0271
7.74,48.9167,48.0527
7.76,49,48.1765
7.78,49.0833,48.2998
7.8,49.1667,48.4228
7.82,49.25,48.5455
7.84,49.3333,48.6678
7.86,49.4167,48.7899
7.88,49.5,48.9117
7.9,49.5833,49.0333
7.92,49.6667,49.1546
7.94,49.75,49.2755
7.96,49.8333,49.3962
7.98,49.9167,49.5166
8,50,49.6366
8.02,50,49.7564
8.04,50,49.8758
8.06,50,49.9949
8.08,50,50.1137
8.1,50,50.2322
8.12,50,50.3504
8.14,50,50.4683
8.16,50,50.5858
8.18,50,50.7031
8.2,50,50.704
8.22,50,50.6427
8.24,50,50.5816
8.26,50,50.5207
8.28,50,50.46
8.3,50,50.3993
8.32,50,50.3387
8.34,50,50.2784
8.36,50,50.218
8.38,50,50.1577
8.4,50,50.0978
8.42,50,50.0379
8.44,50,49.978
8.46,50,49.9182
8.48,50,49.8585
8.5,50,49.7989
8.52,50,49.7395
8.54,50,49.6801
8.56,50,49.6208
8.58,50,49.5616
8.6,50,49.5026
8.62,50,49.4437
8.64,50,49.3849
8.66,50,49.3262
8.68,50,49.2676
8.7,50,49.2091
8.72,50,49.2706
8.74,50,49.3911
8.76,50,49.5112
8.78,50,49.631
8.8,50,49.7506
8.82,50,49.8697
8.84,50,49.9887
8.86,50,50.1074
8.88,50,50.2258
8.9,50,50.344
8.92,50,50.4618
8.94,50,50.5794
8.96,50,50.6966
8.98,50,50.6748
9,50,50.6135
9.02,50,50.5525
9.04,50,50.4916
9.06,50,50.431
9.08,50,50.3703
9.1,50,50.3098
9.12,50,50.2495
9.14,50,50.1893
9.16,50,50.129
9.18,50,50.0692
9.2,50,50.0093
9.22,50,49.9494
9.24,50,49.8897
9.26,50,49.8301
9.28,50,49.7706
9.3,50,49.7111
9.32,50,49.6518
9.34,50,49.5926
9.36,50,49.5335
9.38,50,49.4745
9.4,50,49.4156
9.42,50,49.3569
9.44,50,49.2982
9.46,50,49.2397
9.48,50,49.1813
9.5,50,49.2657
9.52,50,49.3862
9.54,50,49.5064
9.56,50,49.6262
9.58,50,49.7458
9.6,50,49.8649
9.62,50,49.9839
9.64,50,50.1026
9.66,50,50.2211
9.68,50,50.3393
9.7,50,50.4571
9.72,50,50.5747
9.74,50,50.692
9.76,50,50.6473
9.78,50,50.5861
9.8,50,50.5251
9.82,50,50.4644
9.84,50,50.4038
9.86,50,50.3431
9.88,50,50.2827
9.9,50,50.2225
9.92,50,50.1622
9.94,50,50.1021
9.96,50,50.0422
9.98,50,49.9824
10,50,49.9225
10,50,49.9225
