time,q1@hydraulic,p2@presscontrol01
0.0,0.0,0.0
0.001,0.0,0.0
0.002,0.0,0.0
0.003,0.0,0.0
0.004,0.0,0.0
0.005,0.0,0.0
0.006,0.0,0.0
0.007,0.0,0.0
0.008,0.0,0.0
0.009,0.0,0.0
0.01,0.0,0.0
0.011,0.0,0.0
0.012,0.0,0.0
0.013,0.0,0.0
0.014,0.0,0.0
0.015,0.0,0.0
0.016,0.0,0.0
0.017,0.0,0.0
0.018,0.0,0.0
0.019,0.0,0.0
0.02,0.0,0.0
0.021,0.0,0.0
0.022,0.0,0.0
0.023,0.0,0.0
0.024,0.0,0.0
0.025,0.0,0.0
0.026,0.0,0.0
0.027,0.0,0.0
0.028,0.0,0.0
0.029,0.0,0.0
0.03,0.0,0.0
0.031,0.0,0.0
0.032,0.0,0.0
0.033,0.0,0.0
0.034,0.0,0.0
0.035,0.0,0.0
0.036,0.0,0.0
0.037,0.0,0.0
0.038,0.0,0.0
0.039,0.0,0.0
0.04,0.0,0.0
0.041,0.0,0.0
0.042,0.0,0.0
0.043,0.0,0.0
0.044,0.0,0.0
0.045,0.0,0.0
0.046,0.0,0.0
0.047,0.0,0.0
0.048,0.0,0.0
0.049,0.0,0.0
0.05,0.0,0.0
0.051,0.0,0.0
0.052,0.0,0.0
0.053,0.0,0.0
0.054,0.0,0.0
0.055,0.0,0.0
0.056,0.0,0.0
0.057,0.0,0.0
0.058,0.0,0.0
0.059,0.0,0.0
0.06,0.0,0.0
0.061,0.0,0.0
0.062,0.0,0.0
0.063,0.0,0.0
0.064,0.0,0.0
0.065,0.0,0.0
0.066,0.0,0.0
0.067,0.0,0.0
0.068,0.0,0.0
0.069,0.0,0.0
0.07,0.0,0.0
0.071,0.0,0.0
0.072,0.0,0.0
0.073,0.0,0.0
0.074,0.0,0.0
0.075,0.0,0.0
0.076,0.0,0.0
0.077,0.0,0.0
0.078,0.0,0.0
0.079,0.0,0.0
0.08,0.0,0.0
0.081,0.0,0.0
0.082,0.0,0.0
0.083,0.0,0.0
0.084,0.0,0.0
0.085,0.0,0.0
0.086,0.0,0.0
0.087,0.0,0.0
0.088,0.0,0.0
0.089,0.0,0.0
0.09,0.0,0.0
0.091,0.0,0.0
0.092,0.0,0.0
0.093,0.0,0.0
0.094,0.0,0.0
0.095,0.0,0.0
0.096,0.0,0.0
0.097,0.0,0.0
0.098,0.0,0.0
0.099,0.0,0.0
0.1,0.0,0.0
0.101,0.0,0.0
0.102,1.61250851603e-06,5.4744844725e-13
0.103,1.44696184575e-05,1.8881212136e-07
0.104,5.44160247124e-05,1.2548757486e-06
0.105,0.000143210456045,4.62414818675e-06
0.106,0.000308133488623,1.26844706521e-05
0.107,0.000581509857614,2.89929942312e-05
0.108,0.00100015461364,5.84636637325e-05
0.109,0.00160475350186,0.000107532270971
0.11,0.00243918874593,0.000184297168491
0.111,0.00354982197477,0.000298634370641
0.112,0.00498474632181,0.000462286441365
0.113,0.00679301974683,0.000688925254426
0.114,0.00902389138225,0.000994189387221
0.115,0.0117260322007,0.00139569754866
0.116,0.0149467805605,0.00191304002049
0.117,0.0187314122404,0.00256775058844
0.118,0.023122443464,0.00338326183632
0.119,0.0281589741793,0.00438484696021
0.12,0.0338760775496,0.00559955142275
0.121,0.0403042402765,0.00705611780664
0.122,0.0474688570639,0.0087849071454
0.123,0.055389781288,0.0108178198141
0.124,0.0640809328112,0.0131882187655
0.125,0.073549962894,0.0159308575082
0.126,0.0837979753643,0.0190818147652
0.127,0.0948193026104,0.0226784372249
0.128,0.1066013346,0.0267592912364
0.129,0.119124399005,0.0313641237007
0.13,0.132361690623,0.0365338317926
0.131,0.146279248692,0.0423104405257
0.132,0.16083598127,0.0487370865394
0.133,0.175983736776,0.0558580058695
0.134,0.191667423865,0.0637185228501
