time,Piston_r2,Inertia_w
0.0,0.299999925,0.0
0.01,0.299999829398,0.109485320555
0.02,0.299999055145,0.330248781555
0.03,0.299993654929,0.886604418129
0.04,0.299956115589,2.34265737079
0.05,0.299696057036,6.15324642061
0.06,0.297934908885,15.7601203371
0.07,0.287462061512,35.5010123143
0.08,0.247012535545,60.1790077781
0.09,0.166217761252,93.0985648844
0.1,0.103235963374,129.760255373
0.11,0.123218163574,118.838201889
0.12,0.214594419032,91.0843336533
0.13,0.295249527819,102.726229653
0.14,0.258054639082,101.133013953
0.15,0.141594888715,140.008599885
0.16,0.104098439563,166.256748821
0.17,0.202139652265,122.474431683
0.18,0.299990714184,149.877744696
0.19,0.192464882728,140.139562935
0.2,0.100000100223,199.479773968
0.21,0.194961230771,147.614836565
0.22,0.295428037372,178.104958071
0.23,0.144446575661,188.073373686
0.24,0.122295879086,207.05694746
0.25,0.285214278395,191.381747389
0.26,0.185383910247,183.508846667
0.27,0.109411622434,240.844706358
0.28,0.280794256295,208.728602701
0.29,0.171202901481,207.973581752
0.3,0.126248822047,245.115548911
0.31,0.299754114877,259.089721459
0.32,0.11577569803,273.994183998
0.33,0.206281492733,216.202116168
0.34,0.21725362948,222.747843364
0.36,0.294930621537,288.299515611
0.37,0.100656352126,326.636855422
0.38,0.282393349164,281.516342405
0.39,0.117601658526,321.93552582
0.4,0.246718758705,262.658780487
0.42,0.231485712949,269.663689237
0.43,0.13723427358,325.433635297
0.44,0.241812461339,284.878421359
0.45,0.121422146875,359.668017768
0.46,0.274863995887,325.663635815
0.48,0.299224556302,393.941493454
0.49,0.109453477188,403.833388793
0.5,0.234820029197,319.186527795
