"time","Tres","heatCapacitor_T","switch_Controll"
0.001,293.15,20,0
0.002,293.155,20.005,0
0.003,293.165,20.015,0
0.004,293.175,20.024998,0
0.005,293.185,20.034996,0
0.006,293.19498,20.04499,0
0.007,293.205,20.054985,0
0.008,293.21497,20.06498,0
0.009,293.22498,20.07497,0
0.01,293.23495,20.08496,0
0.011,293.24496,20.09495,0
0.012,293.25494,20.104937,0
0.013,293.26492,20.114923,0
0.014,293.2749,20.124908,0
0.015,293.28488,20.134892,0
0.016,293.29486,20.144873,0
0.017,293.30484,20.154854,0
0.018,293.31482,20.164833,0
0.019,293.3248,20.17481,0
0.02,293.33478,20.184786,0
0.021,293.34476,20.194761,0
0.022,293.35474,20.204735,0
0.023,293.36472,20.214706,0
0.024,293.37466,20.224678,0
0.025,293.38464,20.234648,0
0.026,293.39462,20.244616,0
0.027,293.40457,20.254581,0
0.028,293.41455,20.264547,0
0.029,293.4245,20.274511,0
0.03,293.43448,20.284473,0
0.031,293.44443,20.294436,0
0.032,293.4544,20.304394,0
0.033,293.46436,20.314352,0
0.034,293.4743,20.32431,0
0.035,293.48425,20.334265,0
0.036,293.49423,20.34422,0
0.037,293.50418,20.354172,0
0.038,293.51413,20.364124,0
0.039,293.52408,20.374073,0
0.04,293.53403,20.384022,0
0.041,293.54398,20.393969,0
0.042,293.55392,20.403915,0
0.043,293.56387,20.41386,0
0.044,293.5738,20.423803,0
0.045,293.58374,20.433744,0
0.046,293.5937,20.443686,0
0.047,293.60364,20.453623,0
0.048,293.61356,20.463562,0
0.049,293.6235,20.473497,0
0.05,293.63342,20.483433,0
0.051,293.64337,20.493366,0
0.052,293.6533,20.503298,0
0.053,293.66324,20.513227,0
0.054,293.67316,20.523157,0
0.055,293.68307,20.533085,0
0.056,293.69302,20.543013,0
0.057,293.70294,20.552937,0
0.058,293.71286,20.56286,0
0.059,293.72278,20.572783,0
0.06,293.7327,20.582705,0
0.061,293.7426,20.592623,0
0.062,293.75253,20.602541,0
0.063,293.76245,20.61246,0
0.064,293.77237,20.622374,0
0.065,293.7823,20.632288,0
0.066,293.7922,20.6422,0
0.067,293.80212,20.652113,0
0.068,293.812,20.662022,0
0.069,293.82193,20.67193,0
0.07,293.83185,20.681837,0
0.071,293.84174,20.691744,0
0.072,293.85165,20.701649,0
0.073,293.86154,20.711552,0
0.074,293.87146,20.721453,0
0.075,293.88135,20.731354,0
0.076,293.89127,20.741253,0
0.077,293.90115,20.75115,0
0.078,293.91104,20.761045,0
0.079,293.92093,20.77094,0
0.08,293.93085,20.780834,0
0.081,293.94073,20.790726,0
0.082,293.95062,20.800617,0
0.083,293.9605,20.810507,0
0.084,293.9704,20.820395,0
0.085,293.9803,20.83028,0
0.086,293.99017,20.840166,0
0.087,294.00006,20.85005,0
0.088,294.00992,20.859932,0
0.089,294.0198,20.869814,0
0.09,294.0297,20.879692,0
0.091,294.03958,20.889572,0
0.092,294.04944,20.899448,0
0.093,294.05933,20.909325,0
0.094,294.06918,20.919197,0
0.095,294.07907,20.929071,0
0.096,294.08893,20.938942,0
0.097,294.09882,20.948812,0
0.098,294.10867,20.958681,0
0.099,294.11856,20.968548,0
0.1,294.12842,20.978415,0
0.101,294.13828,20.98828,0
0.102,294.14813,20.998142,0
0.103,294.158,21.008003,0
0.104,294.16788,21.017864,0
0.105,294.17773,21.027723,0
0.106,294.1876,21.037582,0
