"time","Output"
0.0000000000000000E+000,0.0000000000000000E+000
1.0000000000000000E-003,7.5264396528201460E-008
2.0000000000000000E-003,3.2348363920379380E-007
3.0000000000000001E-003,7.0520882449840252E-007
4.0000000000000001E-003,1.1862079844941348E-006
5.0000000000000001E-003,1.7453287985362859E-006
6.0000000000000001E-003,2.3659640773532656E-006
7.0000000000000001E-003,3.0294232619764754E-006
8.0000000000000002E-003,3.7193382561107707E-006
9.0000000000000011E-003,4.4202968605631531E-006
1.0000000000000002E-002,5.1162745979191304E-006
1.1000000000000003E-002,5.7931223468880480E-006
1.2000000000000004E-002,6.4378051795366054E-006
1.3000000000000005E-002,7.0390777258003306E-006
1.4000000000000005E-002,7.5867318782056066E-006
1.5000000000000006E-002,8.0715108029226338E-006
1.6000000000000007E-002,8.4856737827179696E-006
1.7000000000000008E-002,8.8231656439029876E-006
1.8000000000000009E-002,9.0807196536061378E-006
1.9000000000000010E-002,9.2619833765684026E-006
2.0000000000000011E-002,9.3789014435399144E-006
2.1000000000000012E-002,9.4456690968704811E-006
2.2000000000000013E-002,9.4693494254204427E-006
2.3000000000000013E-002,9.4451501506265465E-006
2.4000000000000014E-002,9.3590237034484580E-006
2.5000000000000015E-002,9.1829504295826236E-006
2.6000000000000016E-002,8.9319464605132727E-006
2.7000000000000017E-002,8.5997807633791963E-006
2.8000000000000018E-002,8.1858814395825630E-006
2.9000000000000019E-002,7.6917587484448173E-006
3.0000000000000020E-002,7.1201419513648197E-006
3.1000000000000021E-002,6.4750800801574590E-006
3.2000000000000021E-002,5.7620033915050876E-006
3.3000000000000022E-002,4.9876738348822817E-006
3.4000000000000023E-002,4.1600332186638790E-006
3.5000000000000024E-002,3.2879875027021182E-006
3.6000000000000025E-002,2.3811656878718357E-006
3.7000000000000026E-002,1.4496812173241013E-006
3.8000000000000027E-002,5.0391253783047124E-007
3.9000000000000028E-002,-4.4568930292371301E-007
4.0000000000000029E-002,-1.3887640982483038E-006
4.1000000000000029E-002,-2.3151786520589539E-006
4.2000000000000030E-002,-3.2151392271577248E-006
4.3000000000000031E-002,-4.0792844621236548E-006
4.4000000000000032E-002,-4.8987628037277159E-006
4.5000000000000033E-002,-5.6652979252370767E-006
4.6000000000000034E-002,-6.3712448452620974E-006
4.7000000000000035E-002,-7.0096386949197759E-006
4.8000000000000036E-002,-7.5742373999399898E-006
4.9000000000000037E-002,-8.0595589932800245E-006
5.0000000000000037E-002,-8.4609138624461783E-006
5.1000000000000038E-002,-8.7745183103917300E-006
5.2000000000000039E-002,-9.0051709465726485E-006
5.3000000000000040E-002,-9.1659571967843027E-006
5.4000000000000041E-002,-9.2704476644078992E-006
5.5000000000000042E-002,-9.3255194596765009E-006
5.6000000000000043E-002,-9.3290650490844847E-006
5.7000000000000044E-002,-9.2719446463850066E-006
5.8000000000000045E-002,-9.1383392805609785E-006
5.9000000000000045E-002,-8.9297498572662124E-006
6.0000000000000046E-002,-8.6375006697132268E-006
6.1000000000000047E-002,-8.2617141620355046E-006
6.2000000000000048E-002,-7.8037990199210345E-006
6.3000000000000042E-002,-7.2659943905315172E-006
6.4000000000000043E-002,-6.6517631685515080E-006
6.5000000000000044E-002,-5.9661728581262182E-006
6.6000000000000045E-002,-5.2156066754405768E-006
6.7000000000000046E-002,-4.4077569253418192E-006
6.8000000000000047E-002,-3.5513935142525784E-006
6.9000000000000047E-002,-2.6561842063191872E-006
7.0000000000000048E-002,-1.7323524299058804E-006
7.1000000000000049E-002,-7.9042071261831462E-007
7.2000000000000050E-002,1.5901272874632045E-007
7.3000000000000051E-002,1.1054305736133229E-006
7.4000000000000052E-002,2.0385376951768957E-006
7.5000000000000053E-002,2.9483715264003606E-006
7.6000000000000054E-002,3.8253944685771154E-006
7.7000000000000055E-002,4.6605682950974187E-006
7.8000000000000055E-002,5.4454187223148552E-006
7.9000000000000056E-002,6.1720908684492782E-006
8.0000000000000057E-002,6.8333448112527693E-006
8.1000000000000058E-002,7.4227312288951871E-006
8.2000000000000059E-002,7.9345483042131227E-006
8.3000000000000060E-002,8.3638630203054653E-006
8.4000000000000061E-002,8.7065470271423956E-006
8.5000000000000062E-002,8.9631185448342734E-006
8.6000000000000063E-002,9.1428314427097571E-006
8.7000000000000063E-002,9.2605445464507047E-006
8.8000000000000064E-002,9.3283214644918221E-006
8.9000000000000065E-002,9.3491314348073955E-006
9.0000000000000066E-002,9.3161769810292261E-006
9.1000000000000067E-002,9.2159470349244165E-006
9.2000000000000068E-002,9.0302221751356312E-006
9.3000000000000069E-002,8.7650571449880010E-006
9.4000000000000070E-002,8.4160335740344933E-006
9.5000000000000070E-002,7.9839040448624775E-006
9.6000000000000071E-002,7.4708983980335427E-006
9.7000000000000072E-002,6.8804583146634163E-006
9.8000000000000073E-002,6.2173290493368408E-006
9.9000000000000074E-002,5.4875730317851910E-006
1.0000000000000001E-001,4.6984862713774606E-006
