"time","speedVal2","axlePosition"
0,0,0
0.024162,0,0
0.048324,0,0
0.05,0,0
0.05,0,0
0.072486,0,0
0.096648,0,0
0.1,0,0
0.1,0,0
0.12081,0,0
0.144972,0,0
0.15,0,0
0.15,0,0
0.169134,0,0
0.193296,0,0
0.2,0,0
0.2,0,0
0.217458,0,0
0.24162,0,0
0.25,0,0
0.25,0,0
0.265782,0,0
0.289944,0,0
0.3,0,0
0.3,0,0
0.314106,0,0
0.338268,0,0
0.35,0,0
0.35,0,0
0.36243,0,0
0.386592,0,0
0.4,0,0
0.4,0,0
0.410754,0,0
0.434916,0,0
0.45,0,0
0.45,0,0
0.459078,0,0
0.48324,0,0
0.5,0,0
0.5,0,0
0.507402,0,0
0.531564,0,0
0.55,0,0
0.55,0,0
0.555726,0,0
0.579888,0,0
0.6,0,0
0.6,0,0
0.60405,0,0
0.628212,0,0
0.65,0,0
0.65,0,0
0.652374,0,0
0.676536,0,0
0.7,0,0
0.7,0,0
0.700698,0,0
0.72486,0,0
0.749022,0,0
0.75,0,0
0.75,0,0
0.773184,0,0
0.797346,0,0
0.8,0,0
0.8,0,0
0.821508,0,0
0.84567,0,0
0.85,0,0
0.85,0,0
0.869832,0,0
0.893994,0,0
0.9,0,0
0.9,0,0
0.918156,0,0
0.942318,0,0
0.95,0,0
0.95,0,0
0.96648,0,0
0.990642,0,0
1,0,0
1,0,0
1.0148,0,0
1.03897,0,0
1.05,0,0
1.05,0,0
1.06313,0,0
1.08729,0,0
1.1,0,0
1.1,0,0
1.11145,0,0
1.13561,0,0
1.15,0,0
1.15,0,0
1.15978,0,0
1.18394,0,0
1.2,0,0
1.2,0,0
1.2081,0,0
1.23226,0,0
1.25,0,0
1.25,0,0
1.25642,0,0
1.28059,0,0
1.3,0,0
1.3,0,0
1.30475,0,0
1.32891,0,0
1.35,0,0
1.35,0,0
1.35307,0,0
1.37723,0,0
1.4,0,0
1.4,0,0
1.4014,0,0
1.42556,0,0
1.44972,0,0
1.45,0,0
1.45,0,0
1.47388,0,0
1.49804,0,0
1.5,0,0
1.5,0,0
1.52221,0,0
1.54637,0,0
1.55,0,0
1.55,0,0
1.57053,0,0
1.59469,0,0
1.6,0,0
1.6,0,0
1.61885,0,0
1.64302,0,0
1.65,0,0
1.65,0,0
1.66718,0,0
1.69134,0,0
1.7,0,0
1.7,0,0
1.7155,0,0
1.73966,0,0
1.75,0,0
1.75,0,0
1.76383,0,0
1.78799,0,0
1.8,0,0
1.8,0,0
1.81215,0,0
1.83631,0,0
1.85,0,0
1.85,0,0
1.86047,0,0
1.88464,0,0
1.9,0,0
1.9,0,0
1.9088,0,0
1.93296,0,0
1.95,0,0
1.95,0,0
1.95712,0,0
1.98128,0,0
2,0,0
2,0,0
2.00545,0,0
2.02961,0,0
2.05,0,0
2.05,0,0
2.05377,0,0
2.07793,0,0
2.1,0,0
2.1,0,0
2.10209,0,0
2.12626,0,0
2.15,0,0
2.15,0,0
2.15042,0,0
2.17458,0,0
2.19874,0,0
2.2,0,0
