"time","headlight","light_intensity","light_switch"
2.3,1,99.41194969,2
2.31,1,99.40880503,2
2.32,1,99.40566038,2
2.33,1,99.40251572,2
2.34,1,99.39937107,2
2.35,1,99.39622642,2
2.36,1,99.39308176,2
2.37,1,99.38993711,2
2.38,1,99.38679245,2
2.39,1,99.3836478,2
2.4,1,99.38050314,2
2.41,1,99.37735849,2
2.42,1,99.37421384,2
2.43,1,99.37106918,2
2.44,1,99.36792453,2
2.45,1,99.36477987,2
2.46,1,99.36163522,2
2.47,1,99.35849057,2
2.48,1,99.35534591,2
2.49,1,99.35220126,2
2.5,1,99.3490566,2
2.51,1,99.34591195,2
2.52,1,99.3427673,2
2.53,1,99.33962264,2
2.54,1,99.33647799,2
2.55,1,99.33333333,2
2.56,1,99.33018868,2
2.57,1,99.32704403,2
2.58,1,99.32389937,2
2.59,1,99.32075472,2
2.6,1,99.31761006,2
2.61,1,99.31446541,2
2.62,1,99.31132075,2
2.63,1,99.3081761,2
2.64,1,99.30503145,2
2.65,1,99.30188679,2
2.66,1,99.29874214,2
2.67,1,99.29559748,2
2.68,1,99.29245283,2
2.69,1,99.28930818,2
2.7,1,99.28616352,2
2.71,1,99.28301887,2
2.72,1,99.27987421,2
2.73,1,99.27672956,2
2.74,1,99.27358491,2
2.75,1,99.27044025,2
2.76,1,99.2672956,2
2.77,1,99.26415094,2
2.78,1,99.26100629,2
2.79,1,99.25786164,2
2.8,1,99.25471698,2
2.81,1,99.25157233,2
2.82,1,99.24842767,2
2.83,1,99.24528302,2
2.84,1,99.24213836,2
2.85,1,99.23899371,2
2.86,1,99.23584906,2
2.87,1,99.2327044,2
2.88,1,99.22955975,2
2.89,1,99.22641509,2
2.9,1,99.22327044,2
2.91,1,99.22012579,2
2.92,1,99.21698113,2
2.93,1,99.21383648,2
2.94,1,99.21069182,2
2.95,1,99.20754717,2
2.96,1,99.20440252,2
2.97,1,99.20125786,2
2.98,1,99.19811321,2
2.99,1,99.19496855,2
3,1,99.1918239,2
3.01,1,99.18867925,2
3.02,1,99.18553459,2
3.03,1,99.18238994,2
3.04,1,99.17924528,2
3.05,1,99.17610063,2
3.06,1,99.17295597,2
3.07,1,99.16981132,2
3.08,1,99.16666667,2
3.09,1,99.16352201,2
3.1,1,99.16037736,2
3.11,1,99.1572327,2
3.12,1,99.15408805,2
3.13,1,99.1509434,2
3.14,1,99.14779874,2
3.15,1,99.14465409,2
3.16,1,99.14150943,2
3.17,1,99.13836478,2
3.18,1,99.13522013,2
3.19,1,99.13207547,2
3.2,1,99.12893082,2
3.21,1,99.12578616,2
3.22,1,99.12264151,2
3.23,1,99.11949686,2
3.24,1,99.1163522,2
3.25,1,99.11320755,2
3.26,1,99.11006289,2
3.27,1,99.10691824,2
3.28,1,99.10377358,2
3.29,1,99.10062893,2
3.3,1,99.09748428,2
3.31,1,99.09433962,2
3.32,1,99.09119497,2
3.33,1,99.08805031,2
3.34,1,99.08490566,2
3.35,1,99.08176101,2
3.36,1,99.07861635,2
3.37,1,99.0754717,2
3.38,1,99.07232704,2
3.39,1,99.06918239,2
3.4,1,99.06603774,2
3.41,0,99.06289308,2
3.42,0,99.05974843,2
3.43,0,99.05660377,2
3.44,0,99.05345912,2
3.45,0,99.05031447,2
3.46,0,99.04716981,2
3.47,0,99.04402516,2
3.48,0,99.0408805,2
3.49,0,99.03773585,2
3.5,0,99.03459119,2
3.51,0,99.03144654,2
3.52,0,99.02830189,2
3.53,0,99.02515723,2
3.54,0,99.02201258,2
3.55,0,99.01886792,2
3.56,0,99.01572327,2
3.57,0,99.01257862,2
3.58,0,99.00943396,2
3.59,0,99.00628931,2
3.6,0,99.00314465,2
3.61,0,99,2
3.62,0,98,2
3.63,0,83,2
3.64,0,63,2
3.65,0,52,2
3.66,0,40,2
3.67,0,34,2
3.68,0,30,2
3.69,0,28,2
3.7,0,27,2
3.71,0,27.02142857,2
3.72,0,27.04285714,2
3.73,0,27.06428571,2
3.74,0,27.08571429,2
3.75,0,27.10714286,2
3.76,0,27.12857143,2
3.77,0,27.15,2
3.78,0,27.17142857,2
3.79,0,27.19285714,2
3.8,0,27.21428571,2
3.81,0,27.23571429,2
3.82,0,27.25714286,2
3.83,0,27.27857143,2
3.84,0,27.3,2
3.85,0,27.32142857,2
3.86,0,27.34285714,2
3.87,0,27.36428571,2
3.88,0,27.38571429,2
3.89,0,27.40714286,2
3.9,0,27.42857143,2
3.91,0,27.45,2
3.92,0,27.47142857,2
3.93,0,27.49285714,2
3.94,0,27.51428571,2
3.95,0,27.53571429,2
3.96,0,27.55714286,2
3.97,0,27.57857143,2
3.98,0,27.6,2
3.99,0,27.62142857,2
4,0,27.64285714,2
4.01,0,27.66428571,2
4.02,0,27.68571429,2
4.03,0,27.70714286,2
4.04,0,27.72857143,2
4.05,0,27.75,2
4.06,0,27.77142857,2
4.07,0,27.79285714,2
4.08,0,27.81428571,2
4.09,0,27.83571429,2
4.1,0,27.85714286,2
4.11,0,27.87857143,2
4.12,0,27.9,2
4.13,0,27.92142857,2
4.14,0,27.94285714,2
4.15,0,27.96428571,2
4.16,0,27.98571429,2
4.17,0,28.00714286,2
4.18,0,28.02857143,2
4.19,0,28.05,2
4.2,0,28.07142857,2
4.21,0,28.09285714,2
4.22,0,28.11428571,2
4.23,0,28.13571429,2
4.24,0,28.15714286,2
4.25,0,28.17857143,2
4.26,0,28.2,2
