"time","heat@expseu_","speed@expseu_"
0.0,100000.0,100.0
1.0,100000.0,94.5084875059
2.0,100000.0,88.8960498584
3.0,100000.0,83.2059403338
4.0,100000.0,77.4726940628
5.0,100000.0,71.7330117016
6.0,100000.0,66.0342600536
7.0,100000.0,60.4462161269
8.0,100000.0,55.0701417358
9.0,100000.0,50.0442560408
10.0,100000.0,45.5491631511
11.0,100000.0,41.8133439615
12.0,100000.0,39.122727436
13.0,100000.0,37.911677877
14.0,100000.0,38.9075983511
15.0,100000.0,42.7245811553
16.0,100000.0,50.0900121883
17.0,100000.0,61.9092059601
18.0,99913.5605216,79.2338110308
19.0,98030.3624889,103.235960065
20.0,94421.2917334,135.071328714
21.0,89005.7160956,175.698078358
22.0,81857.9098133,225.668721049
23.0,73232.0643305,284.935100962
24.0,63543.436183,352.746082535
25.0,53315.882847,427.655329016
26.0,43106.3136689,507.647636607
27.0,33432.6232699,590.343604432
28.0,24704.3190708,673.259421245
29.0,17174.5364402,754.077862979
30.0,10946.4741708,830.836910378
31.0,5992.07434816,902.037312704
32.0,2185.44874713,966.686809811
33.0,2488.74607558,1019.2706251
34.0,23065.827974,1023.22166925
35.0,53863.0831103,978.55990803
36.0,85986.3614445,897.501618642
37.0,97066.6854096,828.265631949
38.0,93811.133219,786.246710098
39.0,85683.8986404,766.665961041
40.0,76712.6796913,764.173549003
41.0,68585.4932096,773.700772662
42.0,61924.3149401,790.886486836
43.0,56831.0991206,812.256056661
44.0,53162.1288264,835.238583294
45.0,50668.6927212,858.054974981
46.0,49077.7703721,879.595497052
47.0,48151.4891001,899.228502177
48.0,47878.4289253,916.314225375
49.0,48238.2814061,930.316825414
50.0,49031.8505223,941.196377764
51.0,50040.3962796,949.249152265
52.0,51094.7332615,954.934886919
53.0,52085.7369795,958.75393993
54.0,52955.9174063,961.178906617
55.0,53684.3880463,962.616530182
56.0,54273.2550691,963.396904889
57.0,54736.8698916,963.773509093
58.0,55094.5926362,963.932963542
59.0,55366.6677461,964.006774206
60.0,55571.8491313,964.082446859
61.0,55726.1338696,964.214221315
62.0,55842.5793,964.432326515
63.0,55931.6032664,964.750101439
64.0,56001.3005602,965.169275864
65.0,56057.723107,965.684060201
66.0,56105.2364958,966.284334312
67.0,56146.9336506,966.957914742
68.0,56184.9823672,967.691981684
69.0,56220.8544276,968.473948416
70.0,56255.4872579,969.292034466
71.0,56289.4331547,970.135618807
72.0,56322.9920683,970.995418866
73.0,56356.3025156,971.863494258
74.0,56389.3956737,972.733159602
75.0,56422.234853,973.598869908
76.0,56454.7413638,974.45610484
77.0,56486.8182463,975.301253255
78.0,56518.3532304,976.131491419
79.0,56549.264304,976.944681149
80.0,56579.4718689,977.739243596
81.0,56608.8958578,978.514040207
82.0,56637.5307574,979.268292223
83.0,56665.2879578,980.001580051
84.0,56692.1847097,980.713555212
85.0,56718.1951624,981.404185009
86.0,56743.2954284,982.073537097
87.0,56767.4717066,982.721863885
88.0,56790.6980987,983.349477792
89.0,56812.9938768,983.956818285
90.0,56834.372701,984.544365693
91.0,56854.866455,985.112627638
92.0,56874.5193095,985.662118538
93.0,56893.346236,986.193321796
94.0,56911.3747192,986.706706793
95.0,56928.6106108,987.202759118
96.0,56945.0623278,987.681952179
97.0,56960.7593363,988.144859957
98.0,56975.7300991,988.591994411
99.0,56990.0131009,989.023892269
100.0,57003.6339837,989.441017484
