"time", "temperatureSensor.T"
0,20
0.01,20.1
0.02,20.2
0.03,20.299
0.04,20.399
0.05,20.498
0.06,20.597
0.07,20.696
0.08,20.795
0.09,20.894
0.1,20.993
0.11,21.091
0.12,21.19
0.13,21.288
0.14,21.386
0.15,21.484
0.16,21.582
0.17,21.68
0.18,21.777
0.19,21.875
0.2,21.972
0.21,22.069
0.22,22.167
0.23,22.263
0.24,22.36
0.25,22.457
0.26,22.553
0.27,22.65
0.28,22.746
0.29,22.842
0.3,22.938
0.31,23.034
0.32,23.13
0.33,23.225
0.34,23.321
0.35,23.416
0.36,23.511
0.37,23.606
0.38,23.701
0.39,23.796
0.4,23.891
0.41,23.985
0.42,24.08
0.43,24.174
0.44,24.268
0.45,24.362
0.46,24.456
0.47,24.55
0.48,24.643
0.49,24.737
0.5,24.83
0.51,24.924
0.52,25.017
0.53,25.11
0.54,25.203
0.55,25.295
0.56,25.388
0.57,25.48
0.58,25.573
0.59,25.665
0.6,25.757
0.61,25.849
0.62,25.941
0.63,25.998
0.64,25.992
0.65,25.986
0.66,25.98
0.67,25.974
0.68,25.968
0.69,25.962
0.7,25.956
0.71,25.95
0.72,25.944
0.73,25.938
0.74,25.932
0.75,25.926
0.76,25.92
0.77,25.915
0.78,25.909
0.79,25.903
0.8,25.897
0.81,25.891
0.82,25.885
0.83,25.879
0.84,25.873
0.85,25.867
0.86,25.862
0.87,25.856
0.88,25.85
0.89,25.844
0.9,25.838
0.91,25.832
0.92,25.826
0.93,25.821
0.94,25.815
0.95,25.809
0.96,25.803
0.97,25.797
0.98,25.792
0.99,25.786
1,25.78
1.01,25.774
1.02,25.768
1.03,25.763
1.04,25.757
1.05,25.751
1.06,25.745
1.07,25.74
1.08,25.734
1.09,25.728
1.1,25.723
1.11,25.717
1.12,25.711
1.13,25.705
1.14,25.7
1.15,25.694
1.16,25.688
1.17,25.683
1.18,25.677
1.19,25.671
1.2,25.666
1.21,25.66
1.22,25.654
1.23,25.649
1.24,25.643
1.25,25.637
1.26,25.632
1.27,25.626
1.28,25.62
1.29,25.615
1.3,25.609
1.31,25.604
1.32,25.598
1.33,25.592
1.34,25.587
1.35,25.581
1.36,25.576
1.37,25.57
1.38,25.565
1.39,25.559
1.4,25.553
