"time","outputs"
0.0797,259.531
0.0799,258.73
0.0801,258.406
0.0803,258.563
0.0805,259.172
0.0807,260.168
0.0809,261.455
0.0811,262.906
0.0813,264.365
0.0815,265.656
0.0817,266.584
0.0819,266.94
0.0821,266.567
0.0823,265.418
0.0825,263.583
0.0827,261.806
0.0829,260.321
0.0831,259.223
0.0833,258.578
0.0835,258.415
0.0837,258.727
0.0839,259.474
0.0841,260.579
0.0843,261.935
0.0845,263.405
0.0847,264.828
0.0849,266.019
0.0851,266.778
0.0853,266.9
0.0855,266.271
0.0857,264.854
0.0859,262.962
0.0861,261.269
0.0863,259.903
0.0865,258.951
0.0867,258.465
0.0869,258.462
0.0871,258.926
0.0873,259.802
0.0875,261.004
0.0877,262.415
0.0879,263.889
0.0881,265.257
0.0883,266.327
0.0885,266.897
0.0887,266.774
0.0889,265.887
0.0891,264.215
0.0893,262.368
0.0895,260.773
0.0897,259.538
0.0899,258.737
0.0901,258.412
0.0903,258.569
0.0905,259.178
0.0907,260.174
0.0909,261.46
0.0911,262.91
0.0913,264.369
0.0915,265.659
0.0917,266.586
0.0919,266.941
0.0921,266.567
0.0923,265.417
0.0925,263.581
0.0927,261.804
0.0929,260.318
0.0931,259.221
0.0933,258.575
0.0935,258.412
0.0937,258.724
0.0939,259.47
0.0941,260.575
0.0943,261.931
0.0945,263.402
0.0947,264.825
0.0949,266.017
0.0951,266.776
0.0953,266.898
0.0955,266.27
0.0957,264.853
0.0959,262.962
0.0961,261.269
0.0963,259.903
0.0965,258.951
0.0967,258.466
0.0969,258.463
0.0971,258.927
0.0973,259.803
0.0975,261.005
0.0977,262.417
0.0979,263.891
0.0981,265.259
0.0983,266.329
0.0985,266.899
0.0987,266.776
0.0989,265.889
0.0991,264.216
0.0993,262.37
0.0995,260.774
0.0997,259.539
0.0999,258.738
0.1,258.515
