"time","tempc@tpf_st_chamber","tau@tpf_st_chamber","press@tpf_st_chamber","dm2@tpf_pump","out2@division","torque@expseu_"
0,19.904,25,0.02337,0.130321,0.24,0
1,22.5616,25.7685,0.027506,0.0895202,0.247685,0
2,29.4449,26.2191,0.0413147,0.04253,0.252191,0.738041
3,35.5599,26.4544,0.0582782,0.0179163,0.254544,0.871807
4,41.3368,26.5786,0.0795324,0.00488058,0.255786,0.997029
5,46.9822,26.6488,0.106445,0,0.256488,1.11097
6,52.6327,26.716,0.140867,0,0.25716,1.20789
7,58.3043,26.7893,0.184577,0,0.257893,1.27622
8,63.9904,26.8682,0.239511,0,0.258682,1.30084
9,69.6854,26.9524,0.307863,0,0.259524,1.2636
10,75.3835,27.0416,0.392087,0,0.260416,1.14304
11,81.0793,27.1353,0.494899,0,0.261353,0.914358
12,86.7676,27.2333,0.619272,0,0.262333,0.549125
13,92.4436,27.3352,0.768418,0,0.263352,0.0155697
14,98.0936,27.4401,0.945475,0,0.264401,-0.908731
15,103.72,27.5482,1.15421,0,0.265482,-2.14155
16,109.319,27.6591,1.39833,0,0.266591,-3.74178
17,114.883,27.7722,1.68159,0,0.267722,-5.80776
18,120.405,27.8871,2.00768,0,0.268871,-8.4218
19,125.876,28.0029,2.38003,0,0.270029,-11.6739
20,131.279,28.1185,2.80122,0,0.271185,-15.6537
21,136.504,28.2303,3.26408,0,0.272303,-20.3629
22,141.439,28.3344,3.75641,0,0.273344,-25.7174
23,145.972,28.4261,4.25972,0,0.274261,-31.5176
24,149.991,28.5005,4.75012,0,0.275005,-37.4564
25,153.401,28.553,5.20078,0,0.27553,-43.1623
26,156.13,28.5798,5.58565,0,0.275798,-48.258
27,158.141,28.578,5.8835,0,0.27578,-52.4172
28,159.431,28.547,6.08115,0,0.27547,-55.414
29,160.033,28.4873,6.1752,0,0.274873,-57.1541
30,160.01,28.4016,6.17154,0,0.274016,-57.6762
31,159.444,28.2936,6.08315,0,0.272936,-57.1263
32,158.429,28.1677,5.9271,0,0.271677,-55.712
33,157.058,28.0284,5.72151,0,0.270284,-53.6703
34,155.419,27.8801,5.48328,0,0.268801,-51.2219
35,153.764,27.7309,5.25076,0,0.267309,-48.8442
36,153.256,27.6112,5.18094,0,0.266112,-48.4565
37,154.482,27.5351,5.3506,0,0.265351,-51.0199
38,157.51,27.5033,5.7887,0,0.265033,-56.9806
39,161.13,27.4847,6.34954,0,0.264847,-64.6257
40,164.513,27.4569,6.91196,0,0.264569,-72.435
41,167.371,27.4112,7.41741,0,0.264112,-79.6127
42,169.647,27.3451,7.8405,0,0.263451,-85.7653
43,171.381,27.2589,8.17546,0,0.262589,-90.762
44,172.651,27.1543,8.42803,0,0.261543,-94.6421
45,173.547,27.0339,8.60981,0,0.260339,-97.5413
46,174.153,26.9002,8.73446,0,0.259002,-99.6364
47,174.542,26.7559,8.81517,0,0.257559,-101.106
48,174.771,26.6035,8.86305,0.000848444,0.256035,-102.106
49,174.792,26.4682,8.8675,0.00619314,0.254682,-102.502
50,174.624,26.3603,8.83226,0.0104549,0.253603,-102.34
51,174.343,26.2757,8.77382,0.0138018,0.252757,-101.85
52,174.01,26.2104,8.7049,0.0163843,0.252104,-101.212
53,173.666,26.161,8.63409,0.0183396,0.25161,-100.546
54,173.335,26.1244,8.56649,0.0197905,0.251244,-99.9241
55,173.031,26.0978,8.50471,0.0208438,0.250978,-99.3807
56,172.759,26.079,8.44972,0.0215897,0.25079,-98.9281
57,172.52,26.0662,8.40151,0.0221026,0.250662,-98.5653
58,172.31,26.0577,8.35958,0.0224419,0.250577,-98.2842
59,172.128,26.0524,8.32319,0.0226546,0.250524,-98.0735
60,171.969,26.0494,8.29153,0.0227767,0.250494,-97.9218
61,171.829,26.048,8.26385,0.0228353,0.25048,-97.8179
62,171.706,26.0476,8.23948,0.0228512,0.250476,-97.7524
63,171.596,26.048,8.21783,0.0228391,0.25048,-97.7171
64,171.498,26.0488,8.19841,0.0228098,0.250488,-97.7051
65,171.408,26.0499,8.18083,0.0227707,0.250499,-97.7111
66,171.327,26.0511,8.16477,0.0227271,0.250511,-97.7307
67,171.251,26.0523,8.14997,0.0226825,0.250523,-97.7606
68,171.181,26.0534,8.13622,0.0226389,0.250534,-97.798
69,171.115,26.0545,8.12337,0.0225979,0.250545,-97.8409
70,171.053,26.0555,8.11128,0.02256,0.250555,-97.8878
