"time","outp","overflw","out_stato"
0,0,0,0
0.001,1,0,1
0.002,0,0,5
0.003,0,0,7
0.004,0,0,3
0.005,1,1,1
0.006,1,0,2
0.007,1,0,6
0.008,0,0,3
0.009,0,1,4
0.01,0,0,5
0.011,1,0,6
0.012,1,0,0
0.013,0,0,1
0.014,0,0,2
0.015,1,0,6
0.016,0,0,3
0.017,1,1,1
0.018,0,0,5
0.019,0,0,7
0.02,0,0,3
0.021,0,1,4
0.022,0,0,5
0.023,1,0,6
0.024,0,0,3
0.025,1,1,1
0.026,1,0,2
0.027,1,0,6
0.028,1,0,0
0.029,0,0,1
0.03,0,0,2
0.031,1,0,6
0.032,0,0,3
0.033,1,1,1
0.034,1,0,2
0.035,0,0,7
0.036,0,0,3
0.037,1,1,1
0.038,0,0,5
0.039,0,0,7
0.04,0,0,3
0.041,1,1,1
0.042,1,0,2
0.043,1,0,6
0.044,1,0,0
0.045,1,0,1
0.046,0,0,5
0.047,1,0,7
0.048,0,0,3
0.049,1,1,1
0.05,0,0,5
0.051,1,0,6
0.052,0,0,3
0.053,1,1,1
0.054,1,0,2
0.055,1,0,6
0.056,1,0,0
0.057,0,0,1
0.058,0,0,2
0.059,1,0,6
0.06,1,0,0
0.061,0,0,1
0.062,1,0,2
0.063,0,0,7
0.064,0,0,3
0.065,1,1,1
0.066,0,0,2
0.067,1,0,6
0.068,1,0,0
0.069,1,0,1
0.07,1,0,2
0.071,1,0,6
0.072,1,0,0
0.073,0,0,1
0.074,0,0,5
0.075,1,0,7
0.076,1,0,3
0.077,0,1,1
0.078,1,0,2
0.079,0,0,6
0.08,1,0,0
0.081,0,0,4
0.082,1,0,2
0.083,1,0,6
0.084,1,0,0
0.085,1,0,1
0.086,1,0,2
0.087,1,0,6
0.088,1,0,0
0.089,0,0,1
0.09,0,0,5
0.091,0,0,7
0.092,0,0,3
0.093,1,1,1
0.094,0,0,5
0.095,0,0,7
0.096,1,0,3
0.097,0,1,4
0.098,0,0,5
0.099,1,0,7
0.1,1,0,3
0.101,0,1,4
0.102,1,0,5
0.103,0,0,7
0.104,0,0,3
0.105,1,1,1
0.106,1,0,2
0.107,1,0,6
0.108,1,0,0
0.109,0,0,1
0.11,1,0,2
0.111,1,0,6
0.112,0,0,3
0.113,1,1,1
0.114,1,0,2
0.115,1,0,6
0.116,1,0,0
0.117,1,0,1
0.118,0,0,2
0.119,1,0,6
0.12,1,0,0
0.121,1,0,1
0.122,0,0,2
0.123,1,0,6
0.124,1,0,0
0.125,1,0,1
0.126,0,0,5
0.127,1,0,6
0.128,0,0,3
0.129,1,1,1
0.13,1,0,2
0.131,0,0,7
0.132,0,0,3
0.133,1,1,1
0.134,1,0,2
0.135,1,0,6
0.136,0,0,0
0.137,0,0,4
0.138,0,0,5
0.139,0,0,7
0.14,1,0,0
0.141,1,0,1
0.142,1,0,2
0.143,0,0,6
0.144,0,0,3
0.145,0,1,4
0.146,0,0,5
0.147,0,0,7
0.148,1,0,3
0.149,1,1,1
0.15,0,0,5
0.151,0,0,7
0.152,1,0,3
0.153,1,1,1
0.154,0,0,2
0.155,1,0,6
0.156,1,0,0
0.157,0,0,1
0.158,1,0,2
0.159,1,0,6
0.16,1,0,0
0.161,0,0,4
0.162,1,0,2
0.163,0,0,6
0.164,0,0,0
0.165,1,0,1
0.166,0,0,5
0.167,1,0,7
0.168,1,0,0
0.169,1,0,1
0.17,1,0,2
0.171,0,0,6
0.172,1,0,0
0.173,0,0,1
0.174,0,0,2
0.175,1,0,6
0.176,1,0,0
0.177,0,0,4
0.178,1,0,2
0.179,0,0,7
0.18,0,0,3
0.181,1,1,1
0.182,1,0,2
0.183,0,0,6
0.184,0,0,3
0.185,1,1,1
0.186,1,0,2
0.187,0,0,6
0.188,0,0,3
0.189,0,1,1
0.19,0,0,5
0.191,1,0,6
0.192,0,0,3
0.193,0,1,1
0.194,1,0,2
0.195,0,0,6
0.196,1,0,0
0.197,1,0,1
0.198,0,0,2
0.199,1,0,6
0.2,1,0,0
0.201,1,0,1
0.202,0,0,5
0.203,0,0,7
0.204,0,0,3
0.205,0,1,1
0.206,0,0,5
0.207,1,0,7
0.208,0,0,3
0.209,0,1,1
0.21,1,0,2
0.211,0,0,6
0.212,1,0,0
0.213,1,0,1
0.214,1,0,2
0.215,1,0,6
0.216,1,0,0
0.217,0,0,4
0.218,1,0,2
0.219,1,0,6
0.22,1,0,0
0.221,0,0,4
0.222,1,0,2
0.223,0,0,6
0.224,0,0,0
0.225,1,0,1
0.226,1,0,2
0.227,0,0,6
0.228,1,0,0
0.229,1,0,1
0.23,0,0,5
0.231,1,0,7
0.232,0,0,3
0.233,1,1,1
0.234,0,0,5
0.235,1,0,7
0.236,0,0,3
0.237,1,1,1
0.238,0,0,5
0.239,1,0,6
0.24,1,0,0
0.241,1,0,1
0.242,0,0,5
0.243,1,0,6
0.244,0,0,0
0.245,0,0,4
0.246,1,0,2
0.247,0,0,7
0.248,0,0,3
0.249,1,1,1
0.25,1,0,2
0.251,0,0,7
0.252,0,0,3
0.253,1,1,1
0.254,0,0,5
0.255,1,0,7
0.256,0,0,3
0.257,0,1,4
0.258,0,0,5
0.259,1,0,7
0.26,1,0,3
0.261,0,1,4
0.262,0,0,5
0.263,1,0,7
0.264,1,0,3
0.265,0,1,4
0.266,0,0,5
0.267,1,0,6
0.268,0,0,3
0.269,0,1,4
0.27,0,0,5
0.271,1,0,7
0.272,0,0,3
0.273,1,1,1
0.274,0,0,5
0.275,1,0,7
0.276,1,0,0
0.277,1,0,1
0.278,1,0,2
0.279,1,0,6
0.28,0,0,0
0.281,0,0,1
0.282,1,0,2
0.283,0,0,7
0.284,0,0,3
0.285,1,1,1
0.286,0,0,2
0.287,0,0,7
0.288,1,0,0
0.289,0,0,4
0.29,0,0,5
0.291,0,0,7
0.292,1,0,3
0.293,0,1,4
0.294,0,0,5
0.295,1,0,6
0.296,1,0,0
0.297,0,0,4
0.298,1,0,2
0.299,0,0,7
0.3,0,0,3
0.301,0,1,4
0.302,1,0,2
0.303,0,0,7
0.304,0,0,3
0.305,0,1,1
0.306,0,0,5
0.307,0,0,7
0.308,0,0,3
0.309,0,1,1
0.31,0,0,5
0.311,1,0,7
0.312,0,0,3
0.313,1,1,1
0.314,0,0,2
0.315,1,0,6
0.316,0,0,3
0.317,0,1,4
0.318,1,0,2
0.319,1,0,6
0.32,0,0,3
0.321,0,1,1
0.322,1,0,2
0.323,0,0,7
0.324,1,0,0
0.325,1,0,1
0.326,0,0,5
0.327,1,0,7
0.328,1,0,0
0.329,0,0,1
0.33,1,0,2
0.331,0,0,6
0.332,1,0,0
0.333,0,0,1
0.334,1,0,2
0.335,1,0,6
0.336,1,0,0
0.337,0,0,1
0.338,0,0,2
0.339,1,0,6
0.34,1,0,0
0.341,0,0,1
0.342,0,0,5
0.343,0,0,7
0.344,0,0,3
0.345,1,1,1
0.346,1,0,2
0.347,0,0,7
0.348,1,0,0
0.349,0,0,4
0.35,1,0,5
0.351,0,0,7
0.352,0,0,3
0.353,1,1,1
0.354,1,0,2
0.355,0,0,6
0.356,0,0,0
0.357,1,0,1
0.358,0,0,5
0.359,0,0,7
0.36,1,0,0
0.361,1,0,1
0.362,1,0,2
0.363,0,0,7
0.364,1,0,3
0.365,1,1,1
0.366,1,0,2
0.367,1,0,6
0.368,1,0,0
0.369,1,0,1
0.37,0,0,2
0.371,0,0,7
0.372,1,0,0
0.373,1,0,1
0.374,1,0,2
0.375,1,0,6
0.376,1,0,0
0.377,0,0,4
0.378,0,0,5
0.379,1,0,7
0.38,1,0,0
0.381,1,0,1
0.382,0,0,5
0.383,1,0,7
0.384,1,0,3
0.385,0,1,1
0.386,0,0,2
0.387,0,0,6
0.388,1,0,0
0.389,0,0,4
0.39,1,0,2
0.391,0,0,6
0.392,1,0,0
0.393,0,0,1
0.394,0,0,5
0.395,0,0,7
0.396,0,0,3
0.397,1,1,1
0.398,1,0,2
0.399,0,0,7
0.4,1,0,3
0.401,1,1,1
0.402,1,0,2
0.403,0,0,6
0.404,1,0,0
0.405,1,0,1
0.406,1,0,2
0.407,1,0,6
0.408,0,0,3
0.409,1,1,1
0.41,0,0,2
0.411,1,0,6
0.412,1,0,0
0.413,0,0,1
0.414,1,0,2
0.415,1,0,6
0.416,1,0,0
0.417,0,0,4
0.418,0,0,5
0.419,0,0,7
0.42,0,0,3
0.421,0,1,1
0.422,0,0,2
0.423,0,0,6
0.424,1,0,0
0.425,0,0,1
0.426,1,0,2
0.427,0,0,7
0.428,1,0,3
0.429,0,1,1
0.43,1,0,2
0.431,1,0,6
0.432,1,0,0
0.433,0,0,4
0.434,0,0,5
0.435,1,0,7
0.436,0,0,3
0.437,1,1,1
0.438,0,0,2
0.439,1,0,6
0.44,0,0,3
0.441,0,1,4
0.442,1,0,5
0.443,1,0,7
0.444,1,0,3
0.445,1,1,1
0.446,0,0,5
0.447,1,0,6
0.448,1,0,0
0.449,0,0,4
0.45,0,0,5
0.451,1,0,6
0.452,1,0,0
0.453,0,0,1
0.454,0,0,2
0.455,0,0,7
0.456,0,0,3
0.457,0,1,4
0.458,1,0,2
0.459,0,0,7
0.46,0,0,3
0.461,0,1,4
0.462,1,0,5
0.463,0,0,7
0.464,1,0,3
0.465,0,1,4
0.466,1,0,2
0.467,1,0,6
0.468,0,0,0
0.469,0,0,1
0.47,1,0,2
0.471,1,0,6
0.472,1,0,0
0.473,0,0,4
0.474,1,0,2
0.475,0,0,6
0.476,1,0,0
0.477,1,0,1
0.478,0,0,5
0.479,1,0,6
0.48,0,0,0
0.481,1,0,1
0.482,0,0,2
0.483,1,0,6
0.484,0,0,0
0.485,1,0,1
0.486,0,0,2
0.487,1,0,6
0.488,1,0,0
0.489,0,0,4
0.49,1,0,2
0.491,0,0,7
0.492,0,0,3
0.493,1,1,1
0.494,0,0,5
0.495,0,0,7
0.496,1,0,3
0.497,0,1,1
0.498,1,0,2
0.499,1,0,6
0.5,1,0,0
0.501,1,0,1
0.502,1,0,2
0.503,1,0,6
0.504,0,0,0
0.505,1,0,1
0.506,1,0,2
0.507,0,0,6
0.508,1,0,0
0.509,0,0,1
0.51,1,0,2
0.511,0,0,7
0.512,0,0,3
0.513,0,1,1
0.514,1,0,2
0.515,0,0,7
0.516,1,0,0
0.517,0,0,1
0.518,0,0,5
0.519,0,0,7
0.52,0,0,3
0.521,0,1,1
0.522,1,0,2
0.523,0,0,7
0.524,0,0,3
0.525,0,1,1
0.526,0,0,5
0.527,1,0,6
0.528,0,0,0
0.529,0,0,4
0.53,1,0,2
0.531,0,0,6
0.532,0,0,3
0.533,1,1,1
0.534,0,0,5
0.535,0,0,7
0.536,1,0,0
0.537,1,0,1
0.538,1,0,2
0.539,0,0,7
0.54,0,0,3
0.541,1,1,1
0.542,0,0,5
0.543,0,0,7
0.544,1,0,0
0.545,1,0,1
0.546,1,0,2
0.547,1,0,6
0.548,1,0,0
0.549,0,0,4
0.55,1,0,5
0.551,0,0,7
0.552,0,0,3
0.553,1,1,1
0.554,0,0,2
0.555,1,0,6
0.556,1,0,0
0.557,0,0,1
0.558,0,0,5
0.559,0,0,7
0.56,0,0,3
0.561,1,1,1
0.562,0,0,5
0.563,0,0,7
0.564,0,0,3
0.565,0,1,1
0.566,1,0,2
0.567,1,0,6
0.568,0,0,3
0.569,1,1,1
0.57,0,0,2
0.571,0,0,6
0.572,0,0,3
0.573,1,1,1
0.574,1,0,2
0.575,0,0,7
0.576,0,0,3
0.577,0,1,4
0.578,1,0,5
0.579,0,0,7
0.58,0,0,3
0.581,1,1,1
0.582,0,0,2
0.583,1,0,6
0.584,0,0,0
0.585,0,0,1
0.586,0,0,2
0.587,1,0,6
0.588,0,0,0
0.589,0,0,4
0.59,0,0,5
0.591,0,0,7
0.592,1,0,3
0.593,0,1,1
0.594,1,0,2
0.595,0,0,6
0.596,0,0,3
0.597,1,1,1
0.598,0,0,2
0.599,0,0,6
0.6,1,0,0
0.601,0,0,4
0.602,1,0,5
0.603,1,0,7
0.604,0,0,3
0.605,1,1,1
0.606,0,0,5
0.607,1,0,7
0.608,0,0,3
0.609,1,1,1
0.61,1,0,2
0.611,0,0,7
0.612,0,0,3
0.613,1,1,1
0.614,1,0,2
0.615,1,0,6
0.616,1,0,0
0.617,0,0,4
0.618,1,0,2
0.619,0,0,7
0.62,0,0,3
0.621,0,1,1
0.622,0,0,2
0.623,0,0,7
0.624,0,0,3
0.625,0,1,4
0.626,1,0,5
0.627,0,0,7
0.628,1,0,0
0.629,0,0,4
0.63,1,0,2
0.631,1,0,6
0.632,1,0,0
0.633,0,0,4
0.634,1,0,5
0.635,0,0,7
0.636,1,0,0
0.637,0,0,1
0.638,0,0,2
0.639,1,0,6
0.64,0,0,3
0.641,0,1,1
0.642,1,0,2
0.643,0,0,6
0.644,0,0,3
0.645,1,1,1
0.646,0,0,2
0.647,0,0,6
0.648,1,0,0
0.649,0,0,1
0.65,0,0,5
0.651,0,0,7
0.652,0,0,3
0.653,1,1,1
0.654,1,0,2
0.655,1,0,6
0.656,0,0,0
0.657,1,0,1
0.658,0,0,5
0.659,0,0,7
0.66,0,0,3
0.661,1,1,1
0.662,1,0,2
0.663,1,0,6
0.664,1,0,0
0.665,0,0,1
0.666,0,0,2
0.667,0,0,6
0.668,0,0,3
0.669,1,1,1
0.67,1,0,2
0.671,1,0,6
0.672,0,0,3
0.673,1,1,1
0.674,1,0,2
0.675,1,0,6
0.676,1,0,0
0.677,0,0,1
0.678,1,0,2
0.679,1,0,6
0.68,0,0,0
0.681,1,0,1
0.682,1,0,2
0.683,1,0,6
0.684,1,0,0
0.685,1,0,1
0.686,0,0,5
0.687,1,0,6
0.688,0,0,0
0.689,1,0,1
0.69,0,0,5
0.691,0,0,7
0.692,1,0,3
0.693,1,1,1
0.694,1,0,2
0.695,1,0,6
0.696,1,0,0
0.697,1,0,1
0.698,1,0,2
0.699,0,0,6
0.7,0,0,3
0.701,1,1,1
0.702,0,0,2
0.703,0,0,6
0.704,0,0,3
0.705,1,1,1
0.706,1,0,2
0.707,0,0,7
0.708,0,0,3
0.709,1,1,1
0.71,0,0,2
0.711,1,0,6
0.712,0,0,0
0.713,1,0,1
0.714,0,0,5
0.715,1,0,7
0.716,1,0,3
0.717,1,1,1
0.718,1,0,2
0.719,1,0,6
0.72,0,0,0
0.721,0,0,4
0.722,0,0,5
0.723,1,0,7
0.724,1,0,3
0.725,0,1,1
0.726,0,0,2
0.727,0,0,7
0.728,1,0,3
0.729,1,1,1
0.73,0,0,5
0.731,1,0,6
0.732,0,0,0
0.733,0,0,1
0.734,0,0,2
0.735,0,0,7
0.736,0,0,3
0.737,0,1,1
0.738,1,0,2
0.739,1,0,6
0.74,1,0,0
0.741,0,0,1
0.742,0,0,2
0.743,0,0,7
0.744,0,0,3
0.745,1,1,1
0.746,0,0,2
0.747,0,0,7
0.748,1,0,3
0.749,1,1,1
0.75,0,0,2
0.751,0,0,7
0.752,1,0,0
0.753,1,0,1
0.754,1,0,2
0.755,1,0,6
0.756,0,0,3
0.757,0,1,4
0.758,0,0,5
0.759,1,0,6
