"Time","booleanStep","y1","Q","QI","y","y2","y3","y4"
0.000000000000000E+00,0,0,0,1,0,1,0,0
1.000000000000000E-02,0,0,1,0,0,1,0,0
2.000000000000000E-02,0,0,1,0,0,1,0,0
3.000000000000000E-02,0,0,1,0,0,1,0,0
4.000000000000000E-02,0,0,1,0,0,1,0,0
5.000000000000000E-02,0,0,1,0,0,1,0,0
6.000000000000000E-02,0,0,1,0,0,1,0,0
7.000000000000001E-02,0,0,1,0,0,1,0,0
8.000000000000000E-02,0,0,1,0,0,1,0,0
9.000000000000000E-02,0,0,1,0,0,1,0,0
1.000000000000000E-01,0,0,1,0,0,1,0,0
1.100000000000000E-01,0,0,1,0,0,1,0,0
1.200000000000000E-01,0,0,1,0,0,1,0,0
1.300000000000000E-01,0,0,1,0,0,1,0,0
1.400000000000000E-01,0,0,1,0,0,1,0,0
1.500000000000000E-01,0,0,1,0,0,1,0,0
1.600000000000000E-01,0,0,1,0,0,1,0,0
1.700000000000000E-01,0,0,1,0,0,1,0,0
1.800000000000000E-01,0,0,1,0,0,1,0,0
1.900000000000000E-01,0,0,1,0,0,1,0,0
2.000000000000000E-01,0,0,1,0,0,1,0,0
2.100000000000000E-01,0,0,1,0,0,1,0,0
2.200000000000000E-01,0,0,1,0,0,1,0,0
2.300000000000000E-01,0,0,1,0,0,1,0,0
2.400000000000000E-01,0,0,1,0,0,1,0,0
2.500000000000000E-01,0,0,1,0,0,1,0,0
2.600000000000000E-01,0,0,1,0,0,1,0,0
2.700000000000000E-01,0,0,1,0,0,1,0,0
2.800000000000000E-01,0,0,1,0,0,1,0,0
2.900000000000000E-01,0,0,1,0,0,1,0,0
3.000000000000000E-01,0,0,0,0,0,1,0,0
3.100000000000000E-01,0,0,0,1,0,1,0,0
3.200000000000000E-01,0,0,0,1,0,1,0,0
3.300000000000000E-01,0,0,0,1,0,1,0,0
3.400000000000000E-01,0,0,0,1,0,1,0,0
3.500000000000000E-01,0,0,0,1,0,1,0,0
3.600000000000000E-01,0,0,0,1,0,1,0,0
3.700000000000000E-01,0,0,0,1,0,1,0,0
3.800000000000000E-01,0,0,0,1,0,1,0,0
3.900000000000000E-01,0,0,0,1,0,1,0,0
4.000000000000000E-01,0,0,0,1,0,1,0,0
4.100000000000000E-01,0,0,0,1,0,1,0,0
4.200000000000000E-01,0,0,0,1,0,1,0,0
4.300000000000000E-01,0,0,0,1,0,1,0,0
4.400000000000000E-01,0,0,0,1,0,1,0,0
4.500000000000000E-01,0,0,0,1,0,1,0,0
4.600000000000000E-01,0,0,0,1,0,1,0,0
4.700000000000000E-01,0,0,0,1,0,1,0,0
4.800000000000000E-01,0,0,0,1,0,1,0,0
4.900000000000000E-01,0,0,0,1,0,1,0,0
5.000000000000000E-01,0,0,0,1,0,1,0,0
