Time,Noise,Noise_Filt,Noise_Filt_Sat,Sine,Sine_Filt,Sine_Filt_Quantized,
3.3,-1.40949,0.154011,0.154011,-0.315491,0.637056,0.6,
3.4,-2.11901,-0.129955,-0.129955,-0.511082,0.445114,0.4,
3.5,-0.681545,-0.139435,-0.139435,-0.701566,0.248782,0.2,
3.6,0.791899,-0.288287,-0.288287,-0.885041,0.0500138,0.1,
3.7,0.910984,0.211321,0.211321,-1.05967,-0.14921,-0.1,
3.8,4.37258,0.707881,0.5,-1.22372,-0.346908,-0.3,
3.9,1.5738,0.723224,0.5,-1.37553,-0.541112,-0.5,
4,1.07093,0.915166,0.5,-1.5136,-0.729889,-0.7,
4.1,-1.91724,0.599443,0.5,-1.63655,-0.911359,-0.9,
4.2,0.3254,0.695205,0.5,-1.74315,-1.08371,-1.1,
4.3,3.98139,0.888879,0.5,-1.83233,-1.24524,-1.2,
4.4,0.0807675,1.07843,0.5,-1.9032,-1.39431,-1.4,
4.5,-0.850292,0.677963,0.5,-1.95506,-1.52946,-1.5,
4.6,0.014619,0.56546,0.5,-1.98738,-1.64933,-1.6,
4.7,-1.2272,0.216374,0.216374,-1.99985,-1.75272,-1.8,
4.8,-1.24012,-0.0416291,-0.0416291,-1.99233,-1.83859,-1.8,
4.9,-1.25553,0.00461123,0.00461123,-1.96491,-1.90611,-1.9,
5,3.07968,0.498113,0.498113,-1.91785,-1.95457,-2,
5.1,0.742547,0.38708,0.38708,-1.85163,-1.98351,-2,
5.2,-0.310043,0.210798,0.210798,-1.76691,-1.99264,-2,
5.3,2.51578,0.277768,0.277768,-1.66453,-1.98186,-2,
5.4,-0.151596,0.25139,0.25139,-1.54553,-1.95127,-2,
5.5,-0.180856,0.209416,0.209416,-1.41108,-1.90119,-1.9,
5.6,-0.135391,-0.00124998,-0.00124998,-1.26253,-1.83211,-1.8,
5.7,3.04908,0.560909,0.5,-1.10137,-1.74473,-1.7,
5.8,-3.38873,0.0981001,0.0981001,-0.929204,-1.63992,-1.6,
5.9,-0.147237,0.313684,0.313684,-0.747753,-1.51872,-1.5,
6,1.38888,0.688081,0.5,-0.558831,-1.38235,-1.4,
6.1,-1.13581,0.46013,0.46013,-0.364325,-1.23216,-1.2,
6.2,-1.11777,0.511466,0.5,-0.166179,-1.06966,-1.1,
6.3,1.43784,0.538633,0.5,0.0336278,-0.896476,-0.9,
6.4,-2.21184,0.27807,0.27807,0.233098,-0.714333,-0.7,
6.5,-0.170988,0.202463,0.202463,0.43024,-0.525053,-0.5,
6.6,0.541161,0.230528,0.230528,0.623083,-0.330526,-0.3,
6.7,-0.581872,-0.0965179,-0.0965179,0.8097,-0.132697,-0.1,
6.8,1.09808,-0.181289,-0.181289,0.988227,0.066458,0.1,
6.9,-0.25945,0.00693878,0.00693878,1.15688,0.264949,0.3,
7,0.994067,0.195044,0.195044,1.31397,0.460793,0.5,
7.1,0.844725,0.364229,0.364229,1.45794,0.652033,0.7,
7.2,0.603774,0.371092,0.371092,1.58734,0.836758,0.8,
7.3,0.711538,0.211142,0.211142,1.70087,1.01312,1,
7.4,-0.249605,0.366202,0.366202,1.79742,1.17936,1.2,
7.5,2.7558,0.676691,0.5,1.876,1.33382,1.3,
7.6,0.254746,0.609225,0.5,1.93584,1.47495,1.5,
7.7,-1.23239,0.522685,0.5,1.97634,1.60135,1.6,
7.8,1.626,0.722349,0.5,1.99709,1.71174,1.7,
7.9,0.295377,0.76035,0.5,1.99788,1.80503,1.8,
8,-1.59045,0.216112,0.216112,1.97872,1.88028,1.9,
8.1,-1.41136,-0.325096,-0.325096,1.93978,1.93675,1.9,
8.2,-0.0948638,-0.250705,-0.250705,1.88146,1.97387,2,
8.3,3.41913,0.0380112,0.0380112,1.80434,1.99126,2,
8.4,0.0992518,-0.0522777,-0.0522777,1.7092,1.98876,2,
8.5,0.249348,-0.0155184,-0.0155184,1.59697,1.96639,2,
8.6,-3.21258,-0.269172,-0.269172,1.46879,1.92437,1.9,
8.7,-2.39299,-0.800473,-0.5,1.32594,1.86312,1.9,
8.8,-0.0205779,-0.660025,-0.5,1.16983,1.78325,1.8,
8.9,0.090083,-0.587517,-0.5,1.00204,1.68557,1.7,
9,-0.533243,-0.408156,-0.408156,0.824237,1.57105,1.6,
9.1,-1.49224,-0.829606,-0.5,0.638197,1.44083,1.4,
9.2,-1.90234,-1.1796,-0.5,0.44578,1.29621,1.3,
9.3,-2.2173,-1.32916,-0.5,0.248909,1.13864,1.1,
9.4,1.91524,-1.00641,-0.5,0.0495509,0.969699,1,
9.5,-0.546044,-1.18685,-0.5,-0.150302,0.791065,0.8,
9.6,-1.62351,-1.4419,-0.5,-0.348654,0.604527,0.6,
9.7,-0.951665,-1.18246,-0.5,-0.543521,0.411949,0.4,
9.8,-1.65242,-1.48171,-0.5,-0.732958,0.215254,0.2,
9.9,0.258571,-1.43521,-0.5,-0.915072,0.0164092,0,
10,1.56587,-1.2467,-0.5,-1.08804,-0.1826,-0.2,
