"Time","Piston_frame_a_r_0_1_","Piston_frame_a_r_0_2_","Piston_frame_a_r_0_3_"
0,0.15,0.399999925,0
1.00E-06,0.15,0.399999925,0
6.00E-06,0.15,0.399999925,0
3.10E-05,0.15,0.399999925,0
0.000131,0.15,0.399999925,0
0.000231,0.15,0.399999925,0
0.000331,0.15,0.399999925,0
0.000431,0.15,0.399999925,0
0.000531,0.15,0.399999925,0
0.000631,0.15,0.399999925,0
0.000731,0.15,0.399999925,0
0.000831,0.15,0.399999925,0
0.000931,0.15,0.399999924,0
0.001031,0.15,0.399999924,0
0.001131,0.15,0.399999924,0
0.001231,0.15,0.399999924,0
0.001331,0.15,0.399999924,0
0.001431,0.15,0.399999924,0
0.001531,0.15,0.399999923,0
0.001631,0.15,0.399999923,0
0.001731,0.15,0.399999923,0
0.001831,0.15,0.399999923,0
0.001931,0.15,0.399999922,0
0.002031,0.15,0.399999922,0
0.002131,0.15,0.399999922,0
0.002231,0.15,0.399999921,0
0.002331,0.15,0.399999921,0
0.002431,0.15,0.399999921,0
0.002531,0.15,0.39999992,0
0.002631,0.15,0.39999992,0
0.002731,0.15,0.39999992,0
0.002831,0.15,0.399999919,0
0.002931,0.15,0.399999919,0
0.003031,0.15,0.399999918,0
0.003131,0.15,0.399999918,0
0.003231,0.15,0.399999917,0
0.003331,0.15,0.399999917,0
0.003431,0.15,0.399999916,0
0.003531,0.15,0.399999916,0
0.003631,0.15,0.399999915,0
0.003731,0.15,0.399999915,0
0.003831,0.15,0.399999914,0
0.003931,0.15,0.399999914,0
0.004031,0.15,0.399999913,0
0.004131,0.15,0.399999912,0
0.004231,0.15,0.399999912,0
0.004331,0.15,0.399999911,0
0.004431,0.15,0.39999991,0
0.004531,0.15,0.39999991,0
0.004631,0.15,0.399999909,0
0.004731,0.15,0.399999908,0
0.004831,0.15,0.399999907,0
0.004931,0.15,0.399999907,0
0.005031,0.15,0.399999906,0
0.005131,0.15,0.399999905,0
0.005231,0.15,0.399999904,0
0.005331,0.15,0.399999903,0
0.005431,0.15,0.399999902,0
0.005531,0.15,0.399999901,0
0.005631,0.15,0.3999999,0
0.005731,0.15,0.399999899,0
0.005831,0.15,0.399999898,0
0.005931,0.15,0.399999897,0
0.006031,0.15,0.399999896,0
0.006131,0.15,0.399999895,0
0.006231,0.15,0.399999894,0
0.006331,0.15,0.399999893,0
0.006431,0.15,0.399999892,0
0.006531,0.15,0.399999891,0
0.006631,0.15,0.399999889,0
0.006731,0.15,0.399999888,0
0.006831,0.15,0.399999887,0
0.006931,0.15,0.399999886,0
0.007031,0.15,0.399999884,0
0.007131,0.15,0.399999883,0
0.007231,0.15,0.399999882,0
0.007331,0.15,0.39999988,0
0.007431,0.15,0.399999879,0
0.007531,0.15,0.399999877,0
0.007631,0.15,0.399999876,0
0.007731,0.15,0.399999874,0
0.007831,0.15,0.399999873,0
0.007931,0.15,0.399999871,0
0.008031,0.15,0.39999987,0
0.008131,0.15,0.399999868,0
