"time","x","der(x)","k"
0,1,-1,1
0.001,0.999,-0.999,1
0.002,0.998,-0.998,1
0.003,0.997,-0.997,1
0.004,0.99601,-0.99601,1
0.005,0.99501,-0.99501,1
0.006,0.99402,-0.99402,1
0.007,0.99302,-0.99302,1
0.008,0.99203,-0.99203,1
0.009,0.99104,-0.99104,1
0.01,0.99005,-0.99005,1
0.011,0.98906,-0.98906,1
0.012,0.98807,-0.98807,1
0.013,0.98708,-0.98708,1
0.014,0.9861,-0.9861,1
0.015,0.98511,-0.98511,1
0.016,0.98413,-0.98413,1
0.017,0.98314,-0.98314,1
0.018,0.98216,-0.98216,1
0.019,0.98118,-0.98118,1
0.02,0.9802,-0.9802,1
0.021,0.97922,-0.97922,1
0.022,0.97824,-0.97824,1
0.023,0.97726,-0.97726,1
0.024,0.97628,-0.97628,1
0.025,0.97531,-0.97531,1
0.026,0.97433,-0.97433,1
0.027,0.97336,-0.97336,1
0.028,0.97239,-0.97239,1
0.029,0.97142,-0.97142,1
0.03,0.97044,-0.97044,1
0.031,0.96947,-0.96947,1
0.032,0.96851,-0.96851,1
0.033,0.96754,-0.96754,1
0.034,0.96657,-0.96657,1
0.035,0.9656,-0.9656,1
0.036,0.96464,-0.96464,1
0.037,0.96367,-0.96367,1
0.038,0.96271,-0.96271,1
0.039,0.96175,-0.96175,1
0.04,0.96079,-0.96079,1
0.041,0.95983,-0.95983,1
0.042,0.95887,-0.95887,1
0.043,0.95791,-0.95791,1
0.044,0.95695,-0.95695,1
0.045,0.956,-0.956,1
0.046,0.95504,-0.95504,1
0.047,0.95409,-0.95409,1
0.048,0.95313,-0.95313,1
0.049,0.95218,-0.95218,1
0.05,0.95123,-0.95123,1
0.051,0.95028,-0.95028,1
0.052,0.94933,-0.94933,1
0.053,0.94838,-0.94838,1
0.054,0.94743,-0.94743,1
0.055,0.94648,-0.94648,1
0.056,0.94554,-0.94554,1
0.057,0.94459,-0.94459,1
0.058,0.94365,-0.94365,1
0.059,0.9427,-0.9427,1
0.06,0.94176,-0.94176,1
0.061,0.94082,-0.94082,1
0.062,0.93988,-0.93988,1
0.063,0.93894,-0.93894,1
0.064,0.938,-0.938,1
0.065,0.93706,-0.93706,1
0.066,0.93613,-0.93613,1
0.067,0.93519,-0.93519,1
0.068,0.93426,-0.93426,1
0.069,0.93332,-0.93332,1
0.07,0.93239,-0.93239,1
0.071,0.93146,-0.93146,1
0.072,0.93053,-0.93053,1
0.073,0.9296,-0.9296,1
0.074,0.92867,-0.92867,1
0.075,0.92774,-0.92774,1
0.076,0.92681,-0.92681,1
0.077,0.92589,-0.92589,1
0.078,0.92496,-0.92496,1
0.079,0.92404,-0.92404,1
0.08,0.92311,-0.92311,1
0.081,0.92219,-0.92219,1
0.082,0.92127,-0.92127,1
0.083,0.92035,-0.92035,1
0.084,0.91943,-0.91943,1
0.085,0.91851,-0.91851,1
0.086,0.91759,-0.91759,1
0.087,0.91667,-0.91667,1
0.088,0.91576,-0.91576,1
0.089,0.91484,-0.91484,1
0.09,0.91393,-0.91393,1
0.091,0.91301,-0.91301,1
