"time","dataOut1","dataOut2"
0,1,1
0.05,1,1
0.11,1,1
0.16,1,1
0.21,1,1
0.26,1,1
0.31,1,1
0.36,1,1
0.41,1,1
0.46,1,1
0.52,1,1
0.57,1,1
0.62,1,1
0.67,1,1
0.72,1,1
0.77,1,1
0.82,1,1
0.87,1,1
0.92,1,1
0.97,1,1
1.02,1,1
1.07,1,1
1.12,1,1
1.17,1,1
1.22,1,1
1.27,1,1
1.32,1,1
1.37,1,1
1.42,1,1
1.47,1,1
1.52,1,1
1.57,1,1
1.62,1,1
1.67,1,1
1.72,1,1
1.77,1,1
1.82,1,1
1.87,1,1
1.92,1,1
1.97,1,1
2.03,1,1
2.09,1,1
2.15,1,1
2.21,1,1
2.27,1,1
2.33,1,1
2.39,1,1
2.45,1,1
2.51,1,1
2.57,1,1
2.63,1,1
2.69,1,1
2.75,1,1
2.81,1,1
2.87,1,1
2.93,1,1
2.99,1,1
3.05,1,1
3.11,1,1
3.17,1,1
3.23,1,1
3.29,1,1
3.35,1,1
3.41,1,1
3.47,1,1
3.53,1,1
3.59,1,1
3.65,1,1
3.71,1,1
3.77,1,1
3.83,1,1
3.89,1,1
3.95,1,1
4.01,1,1
4.07,1,1
4.13,1,1
4.19,1,1
4.25,1,1
4.31,1,1
4.37,1,1
4.43,1,1
4.49,1,1
4.55,1,1
4.61,1,1
4.67,1,1
4.73,1,1
4.79,1,1
4.85,1,1
4.91,1,1
4.97,1,1
5.03,1,1
5.09,1,1
5.15,1,1
5.21,1,1
5.27,1,1
5.33,1,1
5.39,1,1
5.45,1,1
5.51,1,1
5.57,1,1
5.63,1,1
5.69,1,1
5.75,1,1
5.81,1,1
5.87,1,1
5.93,1,1
5.99,1,1
6.05,3,3
6.11,3,3
6.17,3,3
6.23,3,3
6.29,3,3
6.35,3,3
6.41,3,3
6.47,3,3
6.53,3,3
6.59,3,3
6.65,3,3
6.71,3,3
6.77,3,3
6.83,3,3
6.89,3,3
6.95,3,3
7.01,3,3
7.07,3,3
7.13,3,3
7.19,3,3
7.25,3,3
7.31,3,3
7.37,3,3
7.43,3,3
7.49,3,3
7.55,3,3
7.61,3,3
7.67,3,3
7.73,3,3
7.79,3,3
7.85,3,3
7.91,3,3
7.97,3,3
8.03,3,3
8.09,3,3
8.15,3,3
8.21,3,3
8.27,3,3
8.33,3,3
8.39,3,3
8.45,3,3
8.51,3,3
8.57,3,3
8.63,3,3
8.69,3,3
8.75,3,3
8.81,3,3
8.87,3,3
8.93,3,3
8.99,3,3
9.05,3,3
9.11,3,3
9.17,3,3
9.23,3,3
9.29,3,3
9.35,3,3
9.41,3,3
9.47,3,3
9.53,3,3
9.59,3,3
9.65,3,3
9.71,3,3
9.77,3,3
9.83,3,3
9.89,3,3
9.95,3,3
10.01,3,3
10.07,3,3
10.13,3,3
10.19,3,3
10.25,3,3
10.31,3,3
10.37,3,3
10.43,3,3
10.49,3,3
10.55,3,3
10.61,3,3
10.67,3,3
10.73,3,3
10.79,3,3
10.85,3,3
10.91,3,3
10.97,3,3
11.03,3,3
11.09,3,3
11.15,3,3
11.21,3,3
11.27,3,3
11.33,3,3
11.39,3,3
11.45,3,3
11.51,3,3
11.57,3,3
11.63,3,3
11.69,3,3
11.75,3,3
11.81,3,3
11.87,3,3
11.93,3,3
11.99,3,3
12.05,3,3
12.11,3,3
12.17,3,3
12.23,3,3
12.29,3,3
12.35,3,3
12.41,3,3
12.47,3,3
12.53,3,3
12.59,3,3
12.65,3,3
12.71,3,3
12.77,3,3
12.83,3,3
12.89,3,3
12.95,3,3
13.01,4,3
13.07,4,3
13.13,4,3
13.19,4,3
13.25,4,3
13.31,4,3
13.37,4,3
13.43,4,3
13.49,4,3
13.55,4,3
13.61,4,3
13.67,4,3
13.73,4,3
13.79,4,3
13.85,4,3
13.91,4,3
13.97,4,3
14.03,4,3
14.09,4,3
14.15,4,3
14.21,4,3
14.27,4,3
14.33,4,3
14.39,4,3
14.45,4,3
14.51,4,3
14.57,4,3
14.63,4,3
14.69,4,3
14.75,4,3
14.81,4,3
14.87,4,3
14.93,4,3
14.99,4,3
15.05,4,3
15.11,4,3
15.17,4,3
15.23,4,3
15.29,4,3
15.35,4,3
15.41,4,3
15.47,4,3
15.53,4,3
15.59,4,3
15.65,4,3
15.71,4,3
15.77,4,3
15.83,4,3
15.89,4,3
15.95,4,3
16.01,4,2
16.06,4,2
16.11,4,2
16.16,4,2
16.21,4,2
16.26,4,2
16.31,4,2
16.36,4,2
16.41,4,2
16.46,4,2
16.51,4,2
16.56,4,2
16.61,4,2
16.66,4,2
16.71,4,2
16.76,4,2
16.81,4,2
16.86,4,2
16.91,4,2
16.96,4,2
17.01,4,2
17.06,4,2
17.11,4,2
17.16,4,2
17.21,4,2
17.26,4,2
17.31,4,2
17.36,4,2
17.41,4,2
17.46,4,2
17.51,4,2
17.56,4,2
17.61,4,2
17.66,4,2
17.71,4,2
17.76,4,2
17.81,4,2
17.86,4,2
17.91,4,2
17.96,4,2
18.01,4,2
18.06,4,2
18.11,4,2
18.16,4,2
18.21,4,2
18.26,4,2
18.31,4,2
18.36,4,2
18.41,4,2
18.46,4,2
18.51,4,2
18.56,4,2
18.61,4,2
18.66,4,2
18.71,4,2
