"time","Out1[1]","Out1[2]","Out6[1]","Out6[2]","Out6[3]","Out6[4]","Out6[5]","Out6[6]","Out7","Out8.signal1","Out8.signal2","Out9","Out10","Out11","Out2","Out3","Out4","Out5"
0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,0,12,12
0.01,0,0.0099998333341666645,1,0,0,0,1,0,0,0.0099998333341666645,0,0,0,6,0,0,12,12
0.02,0,0.01999866669333308,1,0,0,0,1,0,0,0.01999866669333308,0,0,0,6,0,0,12,12
0.03,0,0.02999550020249566,1,0,0,0,1,0,0,0.02999550020249566,0,0,0,6,0,0,12,12
0.04,0,0.039989334186634161,1,0,0,0,1,0,0,0.039989334186634161,0,0,0,6,0,0,12,12
0.05,0,0.049979169270678331,1,0,0,0,1,0,0,0.049979169270678331,0,0,0,6,0,0,12,12
0.06,0,0.059964006479444595,1,0,0,0,1,0,0,0.059964006479444595,0,0,0,6,0,0,12,12
0.07,0,0.069942847337532768,1,0,0,0,1,0,0,0.069942847337532768,0,0,0,6,0,0,12,12
0.08,0,0.079914693969172695,1,0,0,0,1,0,0,0.079914693969172695,0,0,0,6,0,0,12,12
0.09,0,0.08987854919801104,1,0,0,0,1,0,0,0.08987854919801104,0,0,0,6,1,0,12,12
0.1,0,0.099833416646828155,1,0,0,0,1,0,0,0.099833416646828155,0,0,0,6,1,0,12,12
0.11,0,0.10977830083717481,1,0,0,0,1,0,0,0.10977830083717481,0,0,0.019966683329365631,6,1,0,12,12
0.12,0,0.11971220728891936,1,0,0,0,1,0,0,0.11971220728891936,0,0,0.019966683329365631,6,1,0,12,12
0.13,0,0.12963414261969486,1,0,0,0,1,0,0,0.12963414261969486,0,0,0.019966683329365631,6,1,0,12,12
0.14,0,0.13954311464423649,1,0,0,0,1,0,0,0.13954311464423649,0,0,0.019966683329365631,6,1,0,12,12
0.15,0,0.14943813247359922,1,0,0,0,1,0,0,0.14943813247359922,0,0,0.019966683329365631,6,1,0,12,12
0.16,0,0.15931820661424598,1,0,0,0,1,0,0,0.15931820661424598,0,0,0.019966683329365631,6,1,0,12,12
0.17,0,0.16918234906699603,1,0,0,0,1,0,0,0.16918234906699603,0,0,0.019966683329365631,6,2,0,12,12
0.18,0,0.17902957342582418,1,0,0,0,1,0,0,0.17902957342582418,0,0,0.019966683329365631,6,2,0,12,12
0.19,0,0.18885889497650057,1,0,0,0,1,0,0,0.18885889497650057,0,0,0.019966683329365631,6,2,0,12,12
0.2,0,0.19866933079506122,1,0,0,0,1,0,0,0.19866933079506122,0,0,0.019966683329365631,6,2,0,12,12
0.21,0,0.20845989984609956,1,0,0,0,1,0,0,0.20845989984609956,0,0,0.039733866159012247,6,2,0,12,12
0.22,0,0.21822962308086932,1,0,0,0,1,0,0,0.21822962308086932,0,0,0.039733866159012247,6,2,0,12,12
0.23,0,0.22797752353518841,1,0,0,0,1,0,0,0.22797752353518841,0,0.21822962308086932,0.039733866159012247,6,2,0,12,12
0.24,0,0.23770262642713458,1,0,0,0,1,0,0,0.23770262642713458,0,0.21822962308086932,0.039733866159012247,6,2,0,12,12
0.25,0,0.24740395925452294,1,0,0,0,1,0,0,0.24740395925452294,0,0.21822962308086932,0.039733866159012247,6,2,0,12,12
0.26,0,0.25708055189215512,1,0,0,0,1,0,0,0.25708055189215512,0,0.21822962308086932,0.039733866159012247,6,3,0,12,12
0.27,0,0.26673143668883115,1,0,0,0,1,0,0,0.26673143668883115,0,0.21822962308086932,0.039733866159012247,6,3,0,12,12
0.28,0,0.27635564856411376,1,0,0,0,1,0,0,0.27635564856411376,0,0.21822962308086932,0.039733866159012247,6,3,0,12,12
0.29,0,0.28595222510483553,1,0,0,0,1,0,0,0.28595222510483553,0,0.21822962308086932,0.039733866159012247,6,3,0,12,12
0.3,0,0.29552020666133955,1,0,0,0,1,0,0,0.29552020666133955,0,0.21822962308086932,0.039733866159012247,6,3,0,12,12
0.31,0,0.3050586364434435,1,0,0,0,1,0,0.29552020666133949,0.3050586364434435,0,0.21822962308086932,0.059104041332267904,6,3,0,12,12
0.32,0,0.31456656061611776,1,0,0,0,1,0,0.29552020666133949,0.31456656061611776,0,0.21822962308086932,0.059104041332267904,6,3,0,12,12
0.33,0,0.32404302839486837,1,0,0,0,1,0,0.29552020666133949,0.32404302839486837,0,0.21822962308086932,0.059104041332267904,6,3,0,12,12
0.34,0,0.3334870921408144,1,0,0,0,1,0,0.29552020666133949,0.3334870921408144,0,0.21822962308086932,0.059104041332267904,6,4,0,12,12
0.35,0,0.3428978074554514,1,0,0,0,1,0,0.29552020666133949,0.3428978074554514,0,0.21822962308086932,0.059104041332267904,6,4,0,12,12
0.36,0,0.35227423327508994,1,0,0,0,1,0,0.29552020666133949,0.35227423327508994,0,0.21822962308086932,0.059104041332267904,6,4,0,12,12
0.37,0,0.36161543196496199,1,0,0,0,1,0,0.29552020666133949,0.36161543196496199,0,0.21822962308086932,0.059104041332267904,6,4,0,12,12
0.38,0,0.37092046941298268,1,0,0,0,1,0,0.29552020666133949,0.37092046941298268,0,0.21822962308086932,0.059104041332267904,6,4,0,12,12
0.39,0,0.38018841512316143,1,0,0,0,1,0,0.29552020666133949,0.38018841512316143,0,0.21822962308086932,0.059104041332267904,6,4,0,12,12
0.4,0,0.38941834230865052,1,0,0,0,1,0,0.29552020666133949,0.38941834230865052,0,0.21822962308086932,0.059104041332267904,6,4,0,12,12
0.41,0,0.39860932798442295,1,0,0,0,1,0,0.29552020666133949,0.39860932798442295,0,0.21822962308086932,0.077883668461730074,6,4,0,12,12
0.42,0,0.40776045305957015,1,0,0,0,1,0,0.29552020666133949,0.40776045305957015,0,0.21822962308086932,0.077883668461730074,6,4,0,12,12
0.43,0,0.41687080242921076,1,0,0,0,1,0,0.29552020666133949,0.41687080242921076,0,0.21822962308086932,0.077883668461730074,6,5,0,12,12
0.44,0,0.42593946506599961,1,0,0,0,1,0,0.29552020666133949,0.42593946506599961,0,0.21822962308086932,0.077883668461730074,6,5,0,12,12
0.45,0,0.43496553411123023,1,0,0,0,1,0,0.29552020666133949,0.43496553411123023,0,0.42593946506599961,0.077883668461730074,6,5,0,12,12
