"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6[1]","Out6[2]","Out6[3]","Out6[4]","Out6[5]","Out6[6]","Out7","Out8[1]","Out8[2]","Out9","Out10","Out11"
0,0,0.009999833,0,0,12,12,1,0,0,0,1,0,0,0.009999833,0,0,0,6
0.01,0,0.009999833,0,0,12,12,1,0,0,0,1,0,0,0.009999833,0,0,0,6
0.01,0,0.019998667,0,0,12,12,1,0,0,0,1,0,0,0.019998667,0,0,0,6
0.02,0,0.019998667,0,0,12,12,1,0,0,0,1,0,0,0.019998667,0,0,0,6
0.02,0,0.0299955,0,0,12,12,1,0,0,0,1,0,0,0.0299955,0,0,0,6
0.03,0,0.0299955,0,0,12,12,1,0,0,0,1,0,0,0.0299955,0,0,0,6
0.03,0,0.039989334,0,0,12,12,1,0,0,0,1,0,0,0.039989334,0,0,0,6
0.04,0,0.039989334,0,0,12,12,1,0,0,0,1,0,0,0.039989334,0,0,0,6
0.04,0,0.049979169,0,0,12,12,1,0,0,0,1,0,0,0.049979169,0,0,0,6
0.05,0,0.049979169,0,0,12,12,1,0,0,0,1,0,0,0.049979169,0,0,0,6
0.05,0,0.059964006,0,0,12,12,1,0,0,0,1,0,0,0.059964006,0,0,0,6
0.06,0,0.059964006,0,0,12,12,1,0,0,0,1,0,0,0.059964006,0,0,0,6
0.06,0,0.069942847,0,0,12,12,1,0,0,0,1,0,0,0.069942847,0,0,0,6
0.07,0,0.069942847,0,0,12,12,1,0,0,0,1,0,0,0.069942847,0,0,0,6
0.07,0,0.079914694,0,0,12,12,1,0,0,0,1,0,0,0.079914694,0,0,0,6
0.08,0,0.079914694,0,0,12,12,1,0,0,0,1,0,0,0.079914694,0,0,0,6
0.08,0,0.089878549,1,0,12,12,1,0,0,0,1,0,0,0.089878549,0,0,0,6
0.09,0,0.089878549,1,0,12,12,1,0,0,0,1,0,0,0.089878549,0,0,0,6
0.09,0,0.099833417,1,0,12,12,1,0,0,0,1,0,0,0.099833417,0,0,0,6
0.1,0,0.099833417,1,0,12,12,1,0,0,0,1,0,0,0.099833417,0,0,0,6
