"time","speedVal2","axlePosition","RUN1_cycleEnd","RUN1_rotation"
0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
5.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
5.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
9.98429752066116E-02,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
1.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
1.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
1.50000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
1.50000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
1.99685950413223E-01,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
2.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
2.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
2.50000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
2.50000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
2.99528925619835E-01,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
3.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
3.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
3.50000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
3.50000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
3.99371900826446E-01,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
4.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
4.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
4.50000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
4.50000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
4.99214876033058E-01,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+00,0.00000000000000E+00
