"time","WKM1_live","FloMGT1_flourWeight","SyrMGT1_syrup1Weight","SyrMGT1_syrup2Weight","SyrMGT1_syrup3Weight","MGT1_cycleEnd","FloMGT1_weighingRequest","SyrMGT1_weighingRequest","KNEAD1_kneadingRequest","generalFaultGenFLT1"
0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0,0
0.021,0,0,0,0,0,0,0,0,0,0
0.022,0,0,0,0,0,0,0,0,0,0
0.023,0,0,0,0,0,0,0,0,0,0
0.024,0,0,0,0,0,0,0,0,0,0
0.025,0,0,0,0,0,0,0,0,0,0
0.026,0,0,0,0,0,0,0,0,0,0
0.027,0,0,0,0,0,0,0,0,0,0
0.028,0,0,0,0,0,0,0,0,0,0
0.029,0,0,0,0,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0,0,0,0
0.031,0,0,0,0,0,0,0,0,0,0
0.032,0,0,0,0,0,0,0,0,0,0
0.033,0,0,0,0,0,0,0,0,0,0
0.034,0,0,0,0,0,0,0,0,0,0
0.035,0,0,0,0,0,0,0,0,0,0
0.036,0,0,0,0,0,0,0,0,0,0
0.037,0,0,0,0,0,0,0,0,0,0
0.038,0,0,0,0,0,0,0,0,0,0
0.039,0,0,0,0,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0,0,0,0
0.041,0,0,0,0,0,0,0,0,0,0
0.042,0,0,0,0,0,0,0,0,0,0
0.043,0,0,0,0,0,0,0,0,0,0
0.044,0,0,0,0,0,0,0,0,0,0
0.045,0,0,0,0,0,0,0,0,0,0
0.046,0,0,0,0,0,0,0,0,0,0
0.047,0,0,0,0,0,0,0,0,0,0
0.048,0,0,0,0,0,0,0,0,0,0
0.049,0,0,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0,0,0
0.051,1,200,150,100,50,0,1,0,0,0
0.052,1,200,150,100,50,0,1,0,0,0
0.053,1,200,150,100,50,0,1,0,0,0
0.054,1,200,150,100,50,0,1,0,0,0
0.055,1,200,150,100,50,0,1,0,0,0
0.056,1,200,150,100,50,0,1,0,0,0
0.057,1,200,150,100,50,0,1,0,0,0
0.058,1,200,150,100,50,0,1,0,0,0
0.059,1,200,150,100,50,0,1,0,0,0
0.06,1,200,150,100,50,0,1,0,0,0
0.061,1,200,150,100,50,0,1,0,0,0
0.062,1,200,150,100,50,0,1,0,0,0
0.063,1,200,150,100,50,0,1,0,0,0
0.064,1,200,150,100,50,0,1,0,0,0
0.065,1,200,150,100,50,0,1,0,0,0
0.066,1,200,150,100,50,0,1,0,0,0
0.067,1,200,150,100,50,0,1,0,0,0
0.068,1,200,150,100,50,0,1,0,0,0
0.069,1,200,150,100,50,0,1,0,0,0
0.07,1,200,150,100,50,0,1,0,0,0
0.071,1,200,150,100,50,0,1,0,0,0
0.072,1,200,150,100,50,0,1,0,0,0
0.073,1,200,150,100,50,0,1,0,0,0
0.074,1,200,150,100,50,0,1,0,0,0
0.075,1,200,150,100,50,0,1,0,0,0
0.076,1,200,150,100,50,0,1,0,0,0
0.077,1,200,150,100,50,0,1,0,0,0
0.078,1,200,150,100,50,0,1,0,0,0
0.079,1,200,150,100,50,0,1,0,0,0
0.08,1,200,150,100,50,0,1,0,0,0
0.081,1,200,150,100,50,0,1,0,0,0
0.082,1,200,150,100,50,0,1,0,0,0
0.083,1,200,150,100,50,0,1,0,0,0
0.084,1,200,150,100,50,0,1,0,0,0
0.085,1,200,150,100,50,0,1,0,0,0
0.086,1,200,150,100,50,0,1,0,0,0
0.087,1,200,150,100,50,0,1,0,0,0
0.088,1,200,150,100,50,0,1,0,0,0
0.089,1,200,150,100,50,0,1,0,0,0
0.09,1,200,150,100,50,0,1,0,0,0
0.091,1,200,150,100,50,0,1,0,0,0
0.092,1,200,150,100,50,0,1,0,0,0
0.093,1,200,150,100,50,0,1,0,0,0
0.094,1,200,150,100,50,0,1,0,0,0
0.095,1,200,150,100,50,0,1,0,0,0
0.096,1,200,150,100,50,0,1,0,0,0
0.097,1,200,150,100,50,0,1,0,0,0
0.098,1,200,150,100,50,0,1,0,0,0
0.099,1,200,150,100,50,0,1,0,0,0
0.1,1,200,150,100,50,0,1,0,0,0
0.101,1,200,150,100,50,0,1,0,0,0
0.102,1,200,150,100,50,0,1,0,0,0
0.103,1,200,150,100,50,0,1,0,0,0
0.104,1,200,150,100,50,0,1,0,0,0
0.105,1,200,150,100,50,0,1,0,0,0
0.106,1,200,150,100,50,0,1,0,0,0
0.107,1,200,150,100,50,0,1,0,0,0
0.108,1,200,150,100,50,0,1,0,0,0
0.109,1,200,150,100,50,0,1,0,0,0
0.11,1,200,150,100,50,0,1,0,0,0
0.111,1,200,150,100,50,0,1,0,0,0
0.112,1,200,150,100,50,0,1,0,0,0
0.113,1,200,150,100,50,0,1,0,0,0
0.114,1,200,150,100,50,0,1,0,0,0
0.115,1,200,150,100,50,0,1,0,0,0
0.116,1,200,150,100,50,0,1,0,0,0
0.117,1,200,150,100,50,0,1,0,0,0
0.118,1,200,150,100,50,0,1,0,0,0
0.119,1,200,150,100,50,0,1,0,0,0
0.12,1,200,150,100,50,0,1,0,0,0
0.121,1,200,150,100,50,0,1,0,0,0
0.122,1,200,150,100,50,0,1,0,0,0
0.123,1,200,150,100,50,0,1,0,0,0
0.124,1,200,150,100,50,0,1,0,0,0
0.125,1,200,150,100,50,0,1,0,0,0
0.126,1,200,150,100,50,0,1,0,0,0
0.127,1,200,150,100,50,0,1,0,0,0
0.128,1,200,150,100,50,0,1,0,0,0
0.129,1,200,150,100,50,0,1,0,0,0
0.13,1,200,150,100,50,0,1,0,0,0
0.131,1,200,150,100,50,0,1,0,0,0
0.132,1,200,150,100,50,0,1,0,0,0
0.133,1,200,150,100,50,0,1,0,0,0
0.134,1,200,150,100,50,0,1,0,0,0
0.135,1,200,150,100,50,0,1,0,0,0
0.136,1,200,150,100,50,0,1,0,0,0
0.137,1,200,150,100,50,0,1,0,0,0
0.138,1,200,150,100,50,0,1,0,0,0
0.139,1,200,150,100,50,0,1,0,0,0
0.14,1,200,150,100,50,0,1,0,0,0
0.141,1,200,150,100,50,0,1,0,0,0
0.142,1,200,150,100,50,0,1,0,0,0
0.143,1,200,150,100,50,0,1,0,0,0
0.144,1,200,150,100,50,0,1,0,0,0
0.145,1,200,150,100,50,0,1,0,0,0
0.146,1,200,150,100,50,0,1,0,0,0
0.147,1,200,150,100,50,0,1,0,0,0
0.148,1,200,150,100,50,0,1,0,0,0
0.149,1,200,150,100,50,0,1,0,0,0
0.15,1,200,150,100,50,0,1,0,0,0
0.151,1,200,150,100,50,0,1,0,0,0
0.152,1,200,150,100,50,0,1,0,0,0
0.153,1,200,150,100,50,0,1,0,0,0
0.154,1,200,150,100,50,0,1,0,0,0
0.155,1,200,150,100,50,0,1,0,0,0
0.156,1,200,150,100,50,0,1,0,0,0
0.157,1,200,150,100,50,0,1,0,0,0
0.158,1,200,150,100,50,0,1,0,0,0
0.159,1,200,150,100,50,0,1,0,0,0
0.16,1,200,150,100,50,0,1,0,0,0
0.161,1,200,150,100,50,0,1,0,0,0
0.162,1,200,150,100,50,0,1,0,0,0
0.163,1,200,150,100,50,0,1,0,0,0
0.164,1,200,150,100,50,0,1,0,0,0
0.165,1,200,150,100,50,0,1,0,0,0
0.166,1,200,150,100,50,0,1,0,0,0
0.167,1,200,150,100,50,0,1,0,0,0
0.168,1,200,150,100,50,0,1,0,0,0
0.169,1,200,150,100,50,0,1,0,0,0
0.17,1,200,150,100,50,0,1,0,0,0
0.171,1,200,150,100,50,0,1,0,0,0
0.172,1,200,150,100,50,0,1,0,0,0
0.173,1,200,150,100,50,0,1,0,0,0
0.174,1,200,150,100,50,0,1,0,0,0
0.175,1,200,150,100,50,0,1,0,0,0
0.176,1,200,150,100,50,0,1,0,0,0
0.177,1,200,150,100,50,0,1,0,0,0
0.178,1,200,150,100,50,0,1,0,0,0
0.179,1,200,150,100,50,0,1,0,0,0
0.18,1,200,150,100,50,0,1,0,0,0
0.181,1,200,150,100,50,0,1,0,0,0
0.182,1,200,150,100,50,0,1,0,0,0
0.183,1,200,150,100,50,0,1,0,0,0
0.184,1,200,150,100,50,0,1,0,0,0
0.185,1,200,150,100,50,0,1,0,0,0
0.186,1,200,150,100,50,0,1,0,0,0
0.187,1,200,150,100,50,0,1,0,0,0
0.188,1,200,150,100,50,0,1,0,0,0
0.189,1,200,150,100,50,0,1,0,0,0
0.19,1,200,150,100,50,0,1,0,0,0
0.191,1,200,150,100,50,0,1,0,0,0
0.192,1,200,150,100,50,0,1,0,0,0
0.193,1,200,150,100,50,0,1,0,0,0
0.194,1,200,150,100,50,0,1,0,0,0
0.195,1,200,150,100,50,0,1,0,0,0
0.196,1,200,150,100,50,0,1,0,0,0
0.197,1,200,150,100,50,0,1,0,0,0
0.198,1,200,150,100,50,0,1,0,0,0
0.199,1,200,150,100,50,0,1,0,0,0
0.2,1,200,150,100,50,0,1,0,0,0
0.201,1,200,150,100,50,0,1,0,0,0
0.202,1,200,150,100,50,0,1,0,0,0
0.203,1,200,150,100,50,0,1,0,0,0
0.204,1,200,150,100,50,0,1,0,0,0
0.205,1,200,150,100,50,0,1,0,0,0
0.206,1,200,150,100,50,0,1,0,0,0
0.207,1,200,150,100,50,0,1,0,0,0
0.208,1,200,150,100,50,0,1,0,0,0
0.209,1,200,150,100,50,0,1,0,0,0
0.21,1,200,150,100,50,0,1,0,0,0
0.211,1,200,150,100,50,0,1,0,0,0
0.212,1,200,150,100,50,0,1,0,0,0
0.213,1,200,150,100,50,0,1,0,0,0
0.214,1,200,150,100,50,0,1,0,0,0
0.215,1,200,150,100,50,0,1,0,0,0
0.216,1,200,150,100,50,0,1,0,0,0
0.217,1,200,150,100,50,0,1,0,0,0
0.218,1,200,150,100,50,0,1,0,0,0
0.219,1,200,150,100,50,0,1,0,0,0
0.22,1,200,150,100,50,0,1,0,0,0
0.221,1,200,150,100,50,0,1,0,0,0
0.222,1,200,150,100,50,0,1,0,0,0
0.223,1,200,150,100,50,0,1,0,0,0
0.224,1,200,150,100,50,0,1,0,0,0
0.225,1,200,150,100,50,0,1,0,0,0
0.226,1,200,150,100,50,0,1,0,0,0
0.227,1,200,150,100,50,0,1,0,0,0
0.228,1,200,150,100,50,0,1,0,0,0
0.229,1,200,150,100,50,0,1,0,0,0
0.23,1,200,150,100,50,0,1,0,0,0
0.231,1,200,150,100,50,0,1,0,0,0
0.232,1,200,150,100,50,0,1,0,0,0
0.233,1,200,150,100,50,0,1,0,0,0
0.234,1,200,150,100,50,0,1,0,0,0
0.235,1,200,150,100,50,0,1,0,0,0
0.236,1,200,150,100,50,0,1,0,0,0
0.237,1,200,150,100,50,0,1,0,0,0
0.238,1,200,150,100,50,0,1,0,0,0
0.239,1,200,150,100,50,0,1,0,0,0
0.24,1,200,150,100,50,0,1,0,0,0
0.241,1,200,150,100,50,0,1,0,0,0
0.242,1,200,150,100,50,0,1,0,0,0
0.243,1,200,150,100,50,0,1,0,0,0
0.244,1,200,150,100,50,0,1,0,0,0
0.245,1,200,150,100,50,0,1,0,0,0
0.246,1,200,150,100,50,0,1,0,0,0
0.247,1,200,150,100,50,0,1,0,0,0
0.248,1,200,150,100,50,0,1,0,0,0
0.249,1,200,150,100,50,0,1,0,0,0
0.25,1,200,150,100,50,0,1,0,0,0
0.251,1,200,150,100,50,0,1,0,0,0
0.252,1,200,150,100,50,0,1,0,0,0
0.253,1,200,150,100,50,0,1,0,0,0
0.254,1,200,150,100,50,0,1,0,0,0
0.255,1,200,150,100,50,0,1,0,0,0
0.256,1,200,150,100,50,0,1,0,0,0
0.257,1,200,150,100,50,0,1,0,0,0
0.258,1,200,150,100,50,0,1,0,0,0
0.259,1,200,150,100,50,0,1,0,0,0
0.26,1,200,150,100,50,0,1,0,0,0
0.261,1,200,150,100,50,0,1,0,0,0
0.262,1,200,150,100,50,0,1,0,0,0
0.263,1,200,150,100,50,0,1,0,0,0
0.264,1,200,150,100,50,0,1,0,0,0
0.265,1,200,150,100,50,0,1,0,0,0
0.266,1,200,150,100,50,0,1,0,0,0
0.267,1,200,150,100,50,0,1,0,0,0
0.268,1,200,150,100,50,0,1,0,0,0
0.269,1,200,150,100,50,0,1,0,0,0
0.27,1,200,150,100,50,0,1,0,0,0
0.271,1,200,150,100,50,0,1,0,0,0
0.272,1,200,150,100,50,0,1,0,0,0
0.273,1,200,150,100,50,0,1,0,0,0
0.274,1,200,150,100,50,0,1,0,0,0
0.275,1,200,150,100,50,0,1,0,0,0
0.276,1,200,150,100,50,0,1,0,0,0
0.277,1,200,150,100,50,0,1,0,0,0
0.278,1,200,150,100,50,0,1,0,0,0
0.279,1,200,150,100,50,0,1,0,0,0
0.28,1,200,150,100,50,0,1,0,0,0
0.281,1,200,150,100,50,0,1,0,0,0
0.282,1,200,150,100,50,0,1,0,0,0
0.283,1,200,150,100,50,0,1,0,0,0
0.284,1,200,150,100,50,0,1,0,0,0
0.285,1,200,150,100,50,0,1,0,0,0
0.286,1,200,150,100,50,0,1,0,0,0
0.287,1,200,150,100,50,0,1,0,0,0
0.288,1,200,150,100,50,0,1,0,0,0
0.289,1,200,150,100,50,0,1,0,0,0
0.29,1,200,150,100,50,0,1,0,0,0
0.291,1,200,150,100,50,0,1,0,0,0
0.292,1,200,150,100,50,0,1,0,0,0
0.293,1,200,150,100,50,0,1,0,0,0
0.294,1,200,150,100,50,0,1,0,0,0
0.295,1,200,150,100,50,0,1,0,0,0
0.296,1,200,150,100,50,0,1,0,0,0
0.297,1,200,150,100,50,0,1,0,0,0
0.298,1,200,150,100,50,0,1,0,0,0
0.299,1,200,150,100,50,0,1,0,0,0
0.3,1,200,150,100,50,0,1,0,0,0
0.301,1,200,150,100,50,0,1,0,0,0
0.302,1,200,150,100,50,0,1,0,0,0
0.303,1,200,150,100,50,0,1,0,0,0
0.304,1,200,150,100,50,0,1,0,0,0
0.305,1,200,150,100,50,0,1,0,0,0
0.306,1,200,150,100,50,0,1,0,0,0
0.307,1,200,150,100,50,0,1,0,0,0
0.308,1,200,150,100,50,0,1,0,0,0
0.309,1,200,150,100,50,0,1,0,0,0
0.31,1,200,150,100,50,0,1,0,0,0
0.311,1,200,150,100,50,0,1,0,0,0
0.312,1,200,150,100,50,0,1,0,0,0
0.313,1,200,150,100,50,0,1,0,0,0
0.314,1,200,150,100,50,0,1,0,0,0
0.315,1,200,150,100,50,0,1,0,0,0
0.316,1,200,150,100,50,0,1,0,0,0
0.317,1,200,150,100,50,0,1,0,0,0
0.318,1,200,150,100,50,0,1,0,0,0
0.319,1,200,150,100,50,0,1,0,0,0
0.32,1,200,150,100,50,0,1,0,0,0
0.321,1,200,150,100,50,0,1,0,0,0
0.322,1,200,150,100,50,0,1,0,0,0
0.323,1,200,150,100,50,0,1,0,0,0
0.324,1,200,150,100,50,0,1,0,0,0
0.325,1,200,150,100,50,0,1,0,0,0
0.326,1,200,150,100,50,0,1,0,0,0
0.327,1,200,150,100,50,0,1,0,0,0
0.328,1,200,150,100,50,0,1,0,0,0
0.329,1,200,150,100,50,0,1,0,0,0
0.33,1,200,150,100,50,0,1,0,0,0
0.331,1,200,150,100,50,0,1,0,0,0
0.332,1,200,150,100,50,0,1,0,0,0
0.333,1,200,150,100,50,0,1,0,0,0
0.334,1,200,150,100,50,0,1,0,0,0
0.335,1,200,150,100,50,0,1,0,0,0
0.336,1,200,150,100,50,0,1,0,0,0
0.337,1,200,150,100,50,0,1,0,0,0
0.338,1,200,150,100,50,0,1,0,0,0
0.339,1,200,150,100,50,0,1,0,0,0
0.34,1,200,150,100,50,0,1,0,0,0
0.341,1,200,150,100,50,0,1,0,0,0
0.342,1,200,150,100,50,0,1,0,0,0
0.343,1,200,150,100,50,0,1,0,0,0
0.344,1,200,150,100,50,0,1,0,0,0
0.345,1,200,150,100,50,0,1,0,0,0
0.346,1,200,150,100,50,0,1,0,0,0
0.347,1,200,150,100,50,0,1,0,0,0
0.348,1,200,150,100,50,0,1,0,0,0
0.349,1,200,150,100,50,0,1,0,0,0
0.35,1,200,150,100,50,0,1,0,0,0
0.351,1,200,150,100,50,0,1,0,0,0
0.352,1,200,150,100,50,0,1,0,0,0
0.353,1,200,150,100,50,0,1,0,0,0
0.354,1,200,150,100,50,0,1,0,0,0
0.355,1,200,150,100,50,0,1,0,0,0
0.356,1,200,150,100,50,0,1,0,0,0
0.357,1,200,150,100,50,0,1,0,0,0
0.358,1,200,150,100,50,0,1,0,0,0
0.359,1,200,150,100,50,0,1,0,0,0
0.36,1,200,150,100,50,0,1,0,0,0
0.361,1,200,150,100,50,0,1,0,0,0
0.362,1,200,150,100,50,0,1,0,0,0
0.363,1,200,150,100,50,0,1,0,0,0
0.364,1,200,150,100,50,0,1,0,0,0
0.365,1,200,150,100,50,0,1,0,0,0
0.366,1,200,150,100,50,0,1,0,0,0
0.367,1,200,150,100,50,0,1,0,0,0
0.368,1,200,150,100,50,0,1,0,0,0
0.369,1,200,150,100,50,0,1,0,0,0
0.37,1,200,150,100,50,0,1,0,0,0
0.371,1,200,150,100,50,0,1,0,0,0
0.372,1,200,150,100,50,0,1,0,0,0
0.373,1,200,150,100,50,0,1,0,0,0
0.374,1,200,150,100,50,0,1,0,0,0
0.375,1,200,150,100,50,0,1,0,0,0
0.376,1,200,150,100,50,0,1,0,0,0
0.377,1,200,150,100,50,0,1,0,0,0
0.378,1,200,150,100,50,0,1,0,0,0
0.379,1,200,150,100,50,0,1,0,0,0
0.38,1,200,150,100,50,0,1,0,0,0
0.381,1,200,150,100,50,0,1,0,0,0
0.382,1,200,150,100,50,0,1,0,0,0
0.383,1,200,150,100,50,0,1,0,0,0
0.384,1,200,150,100,50,0,1,0,0,0
0.385,1,200,150,100,50,0,1,0,0,0
